"subject","condition","pretty_condition","study","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"1GA68","1113","cross","SGC4B","winter22","asynch","Female",22,"Spanish","Fifth","United States ","I tried my best on each question",2,3,5,"Overall very easy once I understood the graph. ","no ",12.0573166666667,1,"chrome",1368,793,10.8397435897436,1.62615815556992,6.44139194139194,0,0,11,11,9,0.846153846153846,7.38396666666667,34.0798461538462,11.876,119.842,11,2,0,0,0,0,0,0,0,-1,"Orthogonal",44.073,1,1,"Triangular",11.876,1,"Triangular",36.857,1,"Triangular",13.873,3,1,3.19871666666667,8,8,4.18525
"1KHNC","1112","arrow","SGC4B","winter22","asynch","Male",18,"English","Third","USA","I tried my best on each question",4,3,4,"the pyramid graph took a bit to get use to but did end up helping once i figured out how it could help with the breaks","No",10.32905,2,"chrome",1920,937,1.17274906466083,10.8708333333333,1.36722958414135,0,0,1,1,-9,0.0769230769230769,7.03665,32.4768461538462,6.439,98.403,2,11,0,0,0,0,0,0,0,-1,"Orthogonal",23.305,0,-1,"Orthogonal",98.403,0,"Orthogonal",9.551,0,"Triangular",17.834,0,-5,3.2238,1,-4,3.81285
"1NO19","1112","arrow","SGC4B","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question",2,5,5,"","",10.31265,1,"chrome",1440,764,11.9230769230769,0.542824822236587,7.01831501831502,0,0,12,12,11,0.923076923076923,7.34435,33.897,7.137,97.346,12,1,0,0,0,0,0,0,0,-1,"Orthogonal",28.348,1,1,"Triangular",71.748,1,"Triangular",57.991,1,"Triangular",13.434,4,3,2.7794,8,8,4.56495
"1OM2O","11111","point","SGC4B","winter22","asynch","Female",19,"English","Second","USA","I tried my best on each question",2,5,3,"","no",7.11788333333333,1,"chrome",1678,828,-0.573574464750935,11.8578431372549,-0.205074337427279,0,0,0,0,-12.5,0,4.80713333333333,22.1867692307692,4.537,59.766,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",20.05,0,-1,"Orthogonal",59.766,0,"Orthogonal",16.266,0,"Orthogonal",23.934,0,-4.5,1.85863333333333,0,-8,2.9485
"1S97U","11111","point","SGC4B","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question",3,4,4,"","No",19.94465,1,"chrome",1366,689,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,14.6093,67.4275384615385,10.01,338.352,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",34.008,0,-1,"Orthogonal",338.352,0,"Orthogonal",22.81,0,"Orthogonal",63.57,0,-5,8.69385,0,-8,5.91545
"1UNBR","11111","point","SGC4B","winter22","asynch","Female",18,"English","First","United States","I tried my best on each question",3,3,5,"","",11.2121,3,"chrome",1920,969,10.8397435897436,1.62615815556992,6.44139194139194,0,0,11,11,9,0.846153846153846,4.35433333333333,20.0969230769231,6.58,68.654,11,2,0,0,0,0,0,0,0,-1,"Orthogonal",18.24,1,1,"Triangular",12.998,1,"Triangular",21.161,1,"Triangular",13.968,3,1,2.19453333333333,8,8,2.1598
"21N5X","1112","arrow","SGC4B","winter22","asynch","Female",19,"English","Second","United States","I tried my best on most questions",3,2,2,"","no",30.3286833333333,2,"chrome",1366,768,3.09823926073926,7.40724789915966,2.75938644688645,0,0,4,4,-4.5,0.307692307692308,7.95823333333333,36.7303076923077,6.321,110.59,4,8,0,0,1,0,1,0,0,-1,"Orthogonal",110.59,0,-1,"Orthogonal",101.431,0,"Orthogonal",38.125,1,"Triangular",12.597,0,-5,4.77743333333333,4,0.5,3.1808
"2587H","1113","cross","SGC4B","winter22","asynch","Female",21,"Spanish","Fourth","United States","I tried my best on most questions",2,2,4,"","No",6.22666666666667,1.5,"chrome",1440,841,2.68291585865115,2.16684443007972,1.96982062055591,0,0,3,3,-2.5,0.230769230769231,3.75856666666667,17.3472307692308,2.891,43.202,3,3,1,0,6,1,6,0,0,-1,"Orthogonal",13.045,1,1,"Triangular",12.081,0,"frenzy",32.417,1,"Triangular",43.202,1,-0.5,1.17588333333333,2,-2,2.58268333333333
"2ANWJ","1112","arrow","SGC4B","winter22","asynch","Male",18,"English","First","United States","I tried my best on each question",2,4,1,"N/A","no",13.8635666666667,1,"chrome",1707,948,12.9333333333333,-0.540508511096746,8.08974358974359,0,0,12,12,13,0.923076923076923,9.63066666666667,44.4492307692308,10.249,100.939,13,0,0,0,0,0,0,0,1,1,"Triangular",56.4,1,1,"Triangular",100.939,1,"Triangular",35.099,1,"Triangular",98.483,5,5,3.24615,7,8,6.38451666666667
"2LJXR","1113","cross","SGC4B","winter22","asynch","Female",24,"Korean","Third","U.S.A","I tried my best on each question",4,3,2,"","No",8.69521666666667,1,"chrome",1440,693,0.429134346046111,8.06355311355311,-0.499959599224305,0,1,1,1,-9,0.0769230769230769,6.97856666666667,32.2087692307692,8.327,93.803,1,9,0,0,3,0,2,1,0,-1,"Orthogonal",14.613,1,1,"Triangular",85.775,0,"Orthogonal",20.176,0,"Orthogonal",18.039,1,-3,3.87411666666667,0,-6,3.10445
"32HTL","1113","cross","SGC4B","winter22","asynch","Female",19,"Spanish","Second","United States","I tried my best on each question",4,3,2,"n/a","n/a",10.7539833333333,1.5,"chrome",1536,714,-0.452250935339171,10.4230769230769,-0.664350355526826,0,0,0,0,-11.5,0,8.09426666666667,37.3581538461538,9.381,91.6,0,11,0,0,2,0,1,1,0,-1,"Orthogonal",25.051,0,-0.5,"?",91.6,0,"Orthogonal",25.142,0,"Orthogonal",49.454,0,-3.5,2.50673333333333,0,-8,5.58753333333333
"37106","11111","point","SGC4B","winter22","asynch","Female",20,"Spanish","Third","Mexico","I tried my best on most questions",4,4,5,"I dont know","None",9.8757,1,"chrome",1440,789,-0.605660026248262,11.8605769230769,-0.229584141348847,0,0,0,0,-12.5,0,6.27178333333333,28.9466923076923,9.156,50.887,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",22.894,0,-1,"Orthogonal",41.154,0,"Orthogonal",19.46,0,"Orthogonal",44.942,0,-5,2.28441666666667,0,-7.5,3.98736666666667
"3B0R3","11111","point","SGC4B","winter22","asynch","Male",21,"English","Third","United States","I tried my best on most questions",2,4,3,"checklist in alphabetical order would make more sense for selecting!","Nope
",8.19591666666667,2,"chrome",1920,937,-0.514750935339171,11.9230769230769,-0.723173884938591,0,0,0,0,-12.5,0,5.20401666666667,24.0185384615385,6.512,51.412,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",12.845,0,-0.5,"?",31.055,0,"Orthogonal",24.75,0,"Orthogonal",29.029,0,-4.5,2.00903333333333,0,-8,3.19498333333333
"3LEDW","1113","cross","SGC4B","winter22","asynch","Male",22,"Spanish","Fourth","United States of America","I tried my best on each question",3,2,3,"I have nothing else to say about this experience. thank you ","No",9.53118333333333,2,"chrome",2560,1361,3.10998168498169,4.20889625080802,1.4532967032967,0,0,3,3,-3,0.230769230769231,4.44678333333333,20.5236153846154,7.109,32.745,4,5,0,0,4,0,4,0,0,-1,"Orthogonal",20.951,1,1,"Triangular",19.105,0,"Orthogonal",20.708,1,"Triangular",27.737,1,-2,1.57526666666667,2,-1,2.87151666666667
"42N56","1112","arrow","SGC4B","winter22","asynch","Male",22,"English","Third","USA","I tried my best on each question",3,5,4,"","no",7.37378333333333,1,"chrome",1920,1001,-0.389750935339171,10.9230769230769,-0.601850355526826,0,0,0,0,-12.5,0,6.01041666666667,27.7403846153846,7.751,73.372,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",13.735,0,-0.5,"?",73.372,0,"Orthogonal",12.269,0,"Orthogonal",51.672,0,-4.5,2.33296666666667,0,-8,3.67745
"47M5Q","1112","arrow","SGC4B","winter22","asynch","Female",20,"English","Third","United States","I tried my best on each question",2,4,3,"It was confusing at first but then I got a hang for it after. The hardest one was probably the one that was like begins before B then ends after X or something like that, which was kind of just confusing because there were so many parts.","",8.33338333333333,1,"chrome",1200,697,11.8125,-0.603008511096746,8.02724358974359,0,0,11,11,12.5,0.846153846153846,3.8426,17.7350769230769,5.58,58.642,12,0,1,0,0,1,0,0,1,1,"Triangular",26.875,1,1,"Triangular",23.225,0,"Tversky",13.712,1,"Triangular",8.652,5,5,1.46833333333333,6,7.5,2.37426666666667
"48TKQ","1113","cross","SGC4B","winter22","asynch","Female",20,"X-Other","Second","USA","I tried my best on most questions",1,4,3,"","",4.78081666666667,1,"chrome",1680,939,0.741844430079724,5.07864414996768,-0.507487610428787,0,0,1,1,-6.5,0.0769230769230769,3.15941666666667,14.5819230769231,3.245,40.034,2,6,0,0,5,0,5,0,0,-1,"Orthogonal",13.722,1,1,"Triangular",8.447,0,"Orthogonal",16.018,0,"?",13.819,1,-2,1.14866666666667,0,-4.5,2.01075
"4EOL2","1112","arrow","SGC4B","winter22","asynch","Female",21,"Cantonese","Third","United States","I tried my best on each question",3,3,3,"","",13.02365,1,"chrome",1440,694,1.61782482223659,4.84699148890325,1.45697317388494,0,0,2,2,-5,0.153846153846154,7.11965,32.8599230769231,15.428,87.32,2,5,1,0,5,1,5,0,0,-1,"Orthogonal",62.729,1,1,"Triangular",33.174,0,"Orthogonal",51.613,1,"Triangular",26.821,1,-2,2.55543333333333,1,-3,4.56421666666667
"4HKVT","1112","arrow","SGC4B","winter22","asynch","Female",21,"English","Third","US","I tried my best on each question",5,3,5,"","",6.26953333333333,1,"chrome",1440,732,0.57615815556992,9.27724358974359,-0.723173884938591,0,0,1,1,-10,0.0769230769230769,4.68813333333333,21.6375384615385,6.221,50.159,1,10,0,0,2,0,2,0,0,-1,"Orthogonal",25.259,1,1,"Triangular",50.159,0,"Orthogonal",13.404,0,"Orthogonal",12.567,1,-2.5,2.30436666666667,0,-7.5,2.38376666666667
"4KY4F","1113","cross","SGC4B","winter22","asynch","Female",19,"English","First","United States","I tried my best on each question",3,4,5,"","",10.3194833333333,1,"chrome",1440,821,-0.598084268672504,8.67724358974359,-0.312917474682181,0,0,0,0,-11,0,7.85858333333333,36.2703846153846,7.994,86.848,0,9,0,0,4,0,4,0,0,-1,"Orthogonal",29.428,0,-0.5,"?",76.299,0,"Orthogonal",22.893,0,"Orthogonal",47.753,0,-3.5,2.3024,0,-7.5,5.55618333333333
"4MS2Q","1112","arrow","SGC4B","winter22","asynch","Male",12,"English","Second","United States","I tried my best on each question",1,5,5,"","No.",6.75403333333333,1,"chrome",1591,1034,13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,4.2098,19.4298461538462,6.102,59.153,13,0,0,0,0,0,0,0,1,1,"Triangular",49.933,1,1,"Triangular",8.684,1,"Triangular",47.797,1,"Triangular",10.167,5,5,1.5641,8,8,2.6457
"4R2H3","1112","arrow","SGC4B","winter22","asynch","Male",22,"English","Fourth","us","I tried my best on most questions",3,3,3,"","",3.93728333333333,2.5,"chrome",1680,907,2.20164835164835,5.03032482223659,1.34300258564964,0,1,3,3,-4,0.230769230769231,2.71455,12.5286923076923,4.899,28.323,3,6,0,0,4,0,2,2,0,-1,"Orthogonal",13.045,1,1,"Triangular",7.163,0,"Orthogonal",15.743,0,"Orthogonal",4.899,1,-2.5,1.17808333333333,2,-1.5,1.53646666666667
"4SAFP","1113","cross","SGC4B","winter22","asynch","Female",20,"English","Third","United States","I tried my best on each question",2,5,5,"took me to a white screen the first time.. then i refreshed and started over","no",3.56298333333333,1,"chrome",1440,821,13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,2.25666666666667,10.4153846153846,4.406,27.359,13,0,0,0,0,0,0,0,1,1,"Triangular",5.984,1,1,"Triangular",8.025,1,"Triangular",25.733,1,"Triangular",9.513,5,5,0.614466666666667,8,8,1.6422
"4U13Q","1113","cross","SGC4B","winter22","asynch","Female",20,"X-Other","Third","United States","I tried my best on each question",4,2,3,"I was a bit confused with the set up of the graph and thought a legend would be helpful but overall it was a good experiment set up.","no",7.6794,1,"chrome",1440,789,-0.2437552643435,8.42850678733032,0.139463477698772,0,0,0,0,-10,0,5.20706666666667,24.0326153846154,10.954,48.305,1,10,0,0,2,0,2,0,0,-1,"Orthogonal",20.761,0,-0.5,"?",18.267,0,"Orthogonal",26.324,0,"Orthogonal",21.047,0,-4,1.55168333333333,0,-6,3.65538333333333
"4UK5M","1113","cross","SGC4B","winter22","asynch","Male",21,"Mandarin","Fourth","China","I tried my best on most questions",2,4,3,"","No",9.02966666666667,1,"chrome",1920,937,-0.452250935339171,11.4230769230769,-0.664350355526826,0,0,0,0,-12.5,0,4.58951666666667,21.1823846153846,4.113,57.126,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",18.978,0,-0.5,"?",57.126,0,"Orthogonal",13.425,0,"Orthogonal",22.436,0,-4.5,1.91311666666667,0,-8,2.6764
"545HR","11111","point","SGC4B","winter22","asynch","Female",19,"English","First","USA","I tried my best on each question",4,3,3,"that i did not fully understand the directions until about a third of the way through so a lot of my earlier answers were based on faulty logic.","NO",10.5891333333333,2,"chrome",1440,821,0.421396250808016,8.58498168498168,-0.461269123033829,0,0,1,1,-9.5,0.0769230769230769,5.78926666666667,26.7196923076923,7.628,76.04,1,9,0,0,3,0,3,0,0,-1,"Orthogonal",12.761,1,1,"Triangular",17.229,0,"Orthogonal",14.638,0,"Orthogonal",37.8,1,-2,1.58721666666667,0,-7.5,4.20205
"5C6EA","1113","cross","SGC4B","winter22","asynch","Male",19,"English","Second","United States","I tried my best on each question",3,4,3,"It was really easy to determine start times between shifts, but it was difficult to determine how end dates and middle-of-shifts lined up.","No",9.89656666666667,1,"chrome",1512,865,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,6.04883333333333,27.9176923076923,7.085,82.486,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",30.699,0,-1,"Orthogonal",82.486,0,"Orthogonal",20.927,0,"Orthogonal",35.172,0,-5,2.85571666666667,0,-8,3.19311666666667
"5EA7J","11111","point","SGC4B","winter22","asynch","Female",18,"X-Other","First","USA","I tried my best on each question",2,5,3,"","No",15.89335,2,"chrome",1440,821,-0.688993359581595,10.7397435897436,1.18067226890756,0,0,0,0,-11,0,12.17245,56.1805384615385,10.064,224.482,0,11,1,0,1,1,1,0,0,-1,"Orthogonal",18.955,0,-1,"Orthogonal",224.482,0,"Orthogonal",45.545,0,"Orthogonal",122.828,0,-3,6.00045,0,-8,6.172
"5HHA7","11111","point","SGC4B","winter22","asynch","Male",20,"Cantonese","Third","Hong Kong","I tried my best on each question",2,4,3,"","",9.14826666666667,1,"chrome",1212,739,-0.852250935339171,11.5714285714286,-0.0837508080155139,0,0,0,0,-11.5,0,6.95423333333333,32.0964615384615,4.931,91.063,0,11,0,0,2,0,1,1,0,-1,"Orthogonal",27.338,0,-1,"Orthogonal",62.301,0,"Orthogonal",24.106,0,"Orthogonal",36.204,0,-5,3.65246666666667,0,-6.5,3.30176666666667
"637XQ","1113","cross","SGC4B","winter22","asynch","Female",20,"English","Third","United States of America","I tried my best on each question",4,4,3,"","No",7.01366666666667,1,"chrome",1397,726,-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,4.9164,22.6910769230769,4.769,41.216,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",13.921,0,-1,"Orthogonal",41.216,0,"Orthogonal",23.278,0,"Orthogonal",23.211,0,-5,2.01826666666667,0,-8,2.89813333333333
"63XK4","11111","point","SGC4B","winter22","asynch","Male",20,"English","Third","United States","I tried my best on each question",3,4,3,"It was interesting because I felt like the 1st set of questions were harder than the second
","NO",12.1010666666667,1,"chrome",1920,979,-0.669512840101075,10.8605769230769,0.190974466709761,0,0,0,0,-11,0,8.95163333333333,41.3152307692308,8.892,96.306,0,11,1,0,1,1,1,0,0,-1,"Orthogonal",55.044,0,-0.5,"?",96.306,0,"Orthogonal",44.366,0,"Orthogonal",47.044,0,-4.5,4.85966666666667,0,-6.5,4.09196666666667
"66SXG","1112","arrow","SGC4B","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on most questions",4,4,2,"","",10.193,1,"chrome",1440,689,-0.452250935339171,11.4230769230769,-0.664350355526826,0,0,0,0,-12.5,0,7.20196666666667,33.2398461538462,9.83,56.088,0,12,0,0,1,0,1,0,0,-1,"Orthogonal",30.163,0,-0.5,"?",56.088,0,"Orthogonal",48.602,0,"Orthogonal",48.805,0,-4.5,2.87955,0,-8,4.32241666666667
"6JZMM","11111","point","SGC4B","winter22","asynch","Female",19,"X-Other","Second","United States","I tried my best on most questions",2,3,1,"","",8.14766666666667,1,"chrome",1440,820,-1.52232669291493,4.99734432234432,3.03162034044387,0,0,0,0,-6.5,0,5.7923,26.7336923076923,4.581,59.749,0,6,3,0,4,3,4,0,0,-1,"Orthogonal",9.768,0,-0.5,"?",59.749,0,"Orthogonal",18.138,0,"Tversky",21.479,0,-4,2.53801666666667,0,-2.5,3.25428333333333
"6MML6","1112","arrow","SGC4B","winter22","asynch","Male",21,"English","Fourth","USA","I tried my best on each question",2,4,4,"","",6.58841666666667,1,"chrome",1920,979,13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,3.58325,16.5380769230769,7.093,39.719,13,0,0,0,0,0,0,0,1,1,"Triangular",26.862,1,1,"Triangular",14.578,1,"Triangular",18.536,1,"Triangular",17.832,5,5,1.25221666666667,8,8,2.33103333333333
"6SRFD","1113","cross","SGC4B","winter22","asynch","Female",20,"English","Third","United States","I tried my best on each question",4,2,3,"It was a little confusing navigating when shifts started to when they ended","N/A",11.1901333333333,1,"chrome",1440,789,3.14666363048716,0.338763197586727,3.27474486298016,0,0,4,4,0,0.307692307692308,8.6426,39.8889230769231,6.88,132.948,4,2,1,0,6,1,5,1,0,-1,"Orthogonal",32.862,0,-0.5,"?",36.438,1,"Triangular",45.925,0,"?",132.948,1,-1.5,3.0964,3,1.5,5.5462
"71YSR","11111","point","SGC4B","winter22","asynch","Female",21,"English","Third","United States","I tried my best on each question",3,4,3,"I got better as reading the graph as time went on","No",13.2338833333333,1,"chrome",1440,764,-0.452250935339171,12.5,-0.0874272786037492,0,0,0,0,-13,0,8.211,37.8969230769231,11.587,81.989,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",15.755,0,-1,"Orthogonal",81.989,0,"Orthogonal",15.982,0,"Orthogonal",66.333,0,-5,2.97701666666667,0,-8,5.23398333333333
