"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m","reason"
"S2QNZ","SGC4B","1113","cross","wi22sona","2217","43239","sona","asynch","TRUE","I tried my best on most questions",3,5,3,"N/A",21,"USA","English","Fourth","Math or Computer Sciences","Male","N/A","chrome",1280,720,"Windows 10","2022-03-05T21:13:49.246Z","success","winter22",8,0,306.565416666667,"exceeded-violations"
"RBMQR","SGC4B","1113","cross","wi22sona","2218","42847","sona","asynch","TRUE","I tried my best on each question",2,4,3,"",18,"US","English","First","Math or Computer Sciences","Female","","chrome",1517,721,"Windows 10","2022-03-09T21:59:51.960Z","success","winter22",4,0,11.2722666666667,"exceeded-violations"
"DVLTO","SGC4B","1112","arrow","wi22sona","2218","38450","sona","asynch","TRUE","I tried my best on each question",4,3,4,"",20,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1240,726,"Mac OS","2022-03-09T20:53:05.536Z","success","winter22",5,0,11.8302666666667,"exceeded-violations"
"BTNT2","SGC4B","1112","arrow","wi22sona","2218","35414","sona","asynch","TRUE","I tried my best on each question",2,5,3,"",21,"China","Mandarin","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1368,769,"Windows 10","2022-03-09T20:12:33.376Z","success","winter22",4,10,9.87656666666667,"exceeded-violations"
"M3EKH","SGC4B","1112","arrow","wi22sona","2218","36516","sona","asynch","TRUE","I tried my best on most questions",4,2,2,"",22,"USA","X-Other","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1792,1041,"Mac OS","2022-03-09T15:41:17.578Z","success","winter22",6,1,16.2505833333333,"exceeded-violations"
"7295A","SGC4B","1113","cross","wi22sona","2217","28697","sona","asynch","TRUE","I tried my best on each question",3,4,3,"The description of the x-axis was a bit confusing if it was the start or end time showing.",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","No.","chrome",1440,821,"Mac OS","2022-03-06T05:05:20.546Z","success","winter22",13,0,171.357866666667,"exceeded-violations"
"MFC9C","SGC4B","1113","cross","wi22sona","2217","38039","sona","asynch","TRUE","I tried my best on each question",4,2,3,"",20,"United States","English","Third","Biomedical & Health Sciences","Female","no","chrome",1440,719,"Mac OS","2022-03-04T20:17:27.969Z","success","winter22",4,2,9.22163333333333,"exceeded-violations"
"C7ZU7","SGC4B","1112","arrow","wi22sona","2217","42856","sona","asynch","TRUE","I tried my best on each question",4,3,4,"",18,"United States","English","First","Natural Sciences","Male","","chrome",1920,969,"Windows 10","2022-03-05T04:02:59.451Z","success","winter22",6,5,7.49453333333333,"exceeded-violations"
"ECBKO","SGC4B","1112","arrow","wi22sona","2218","36719","sona","asynch","TRUE","I tried my best on most questions",4,3,2,"",20,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1233,722,"Mac OS","2022-03-09T21:12:27.732Z","success","winter22",10.5,0,9.22455,"exceeded-violations"
"P7FJR","SGC4B","1112","arrow","wi22sona","2217","35642","sona","asynch","TRUE","I tried my best on most questions",4,2,2,"",20,"China","Mandarin","Second","Fine Arts","Female","","chrome",1792,911,"Mac OS","2022-03-05T09:32:15.576Z","success","winter22",8,1,31.1532833333333,"exceeded-violations"
"JBY7K","SGC4B","1113","cross","wi22sona","2217","38081","sona","asynch","TRUE","I tried my best on most questions",3,3,4,"",23,"CHINA","X-Other","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-03-05T04:02:40.327Z","success","winter22",6.5,1,23.9292166666667,"exceeded-violations"
"NUNW6","SGC4B","1112","arrow","wi22sona","2217","36330","sona","asynch","TRUE","I tried my best on each question",3,4,2,"",19,"United States","English","Second","Humanities","Female","","chrome",1440,821,"Mac OS","2022-03-06T03:56:47.921Z","success","winter22",4,0,10.41375,"exceeded-violations"
"9SXL3","SGC4B","1112","arrow","wi22sona","2217","40073","sona","asynch","TRUE","I tried my best on each question",2,5,4,"",18,"United States","English","First","Math or Computer Sciences","Male","","chrome",1920,937,"Windows 10","2022-03-06T00:05:56.912Z","success","winter22",3.5,9,7.20266666666667,"exceeded-violations"
"JW51F","SGC4B","1113","cross","wi22sona","2217","43199","sona","asynch","TRUE","I tried my best on each question",4,4,2,"",21,"China","Mandarin","Third","Social Sciences (incl. CogSci)","Male","","chrome",1600,762,"Windows 10","2022-03-04T08:03:22.164Z","success","winter22",5,0,23.9121,"exceeded-violations"
"2UZ93","SGC4B","1113","cross","wi22sona","2217","37490","sona","asynch","TRUE","I tried my best on each question",1,5,5,"",20,"US","English","Second","Natural Sciences","Male","No","chrome",1920,912,"Mac OS","2022-03-03T08:52:09.883Z","success","winter22",4,12,11.9603833333333,"exceeded-violations"
"GJWSD","SGC4B","1113","cross","wi22sona","2217","43203","sona","asynch","TRUE","I tried my best on most questions",2,2,4,"",19,"China","Mandarin","Second","Math or Computer Sciences","Male","","chrome",1536,857,"Windows 10","2022-03-03T22:18:23.916Z","success","winter22",5,0,20.4843166666667,"exceeded-violations"
"KT65J","SGC4B","1112","arrow","wi22sona","2218","37571","sona","asynch","TRUE","I tried my best on most questions",4,4,2,"",19,"China","Mandarin","Second","Social Sciences (incl. CogSci)","Female","","chrome",1536,722,"Windows 10","2022-03-09T19:49:34.880Z","success","winter22",4,10,6.3479,"exceeded-violations"
"L5O4P","SGC4B","11111","point","wi22sona","2218","34425","sona","asynch","TRUE","I started out trying hard, but gave up at some point",5,3,1,"Difficult",21,"USA","English","Fourth","Social Sciences (incl. CogSci)","Male","none","chrome",2558,1369,"Windows 10","2022-03-07T03:47:31.754Z","success","winter22",3.5,1,5.51533333333333,"exceeded-violations"
"W6U86","SGC4B","11111","point","wi22sona","2218","41759","sona","asynch","TRUE","I tried my best on most questions",3,1,3,"",23,"china","Mandarin","Third","Social Sciences (incl. CogSci)","Female","","chrome",1920,1089,"Mac OS","2022-03-08T19:20:47.515Z","success","winter22",7,0,47.14325,"exceeded-violations"
"O6BKW","SGC4B","11111","point","wi22sona","2218","43171","sona","asynch","TRUE","I tried my best on each question",4,4,4,"",19,"South Korea","Korean","First","Engineering","Male","No","chrome",2560,1297,"Windows 10","2022-03-06T07:09:49.667Z","success","winter22",5,0,24.4456166666667,"exceeded-violations"
"5PM5X","SGC4B","11111","point","wi22sona","2218","31474","sona","asynch","TRUE","I tried my best on each question",2,5,2,"nothing much",20,"USA","English","Third","Social Sciences (incl. CogSci)","Male","no","chrome",1536,746,"Windows 10","2022-03-08T23:13:47.781Z","success","winter22",3.5,0,8.38061666666667,"exceeded-violations"
"O06WG","SGC4B","11111","point","wi22sona","2218","27651","sona","asynch","TRUE","I started out trying hard, but gave up at some point",2,3,2,"",22,"US","X-Other","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-03-09T00:19:52.521Z","success","winter22",4.5,0,14.09935,"exceeded-violations"
"KMT0C","SGC4B","11111","point","wi22sona","2218","35387","sona","asynch","TRUE","I tried my best on each question",2,4,5,"",23,"China","Mandarin","Fourth","Humanities","Female","","chrome",1288,748,"Mac OS","2022-03-09T04:59:12.916Z","success","winter22",4.5,1,12.29375,"exceeded-violations"
"500S4","SGC4B","11111","point","wi22sona","2218","39883","sona","asynch","TRUE","I started out trying hard, but gave up at some point",5,1,2,"",19,"United States","X-Other","Second","Social Sciences (incl. CogSci)","Female","","chrome",1536,714,"Windows 10","2022-03-08T17:41:54.506Z","success","winter22",25.5,1,37.3206166666667,"exceeded-violations"
"4EQY4","SGC4B","1113","cross","wi22sona","2218","38666","sona","asynch","TRUE","I started out trying hard, but gave up at some point",4,3,3,"",22,"U.S.A","Spanish","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1200,777,"Mac OS","2022-03-09T17:36:39.264Z","success","winter22",1,1,6.859,"selfrated-effort"
"5Q43C","SGC4B","1112","arrow","wi22sona","2217","39517","sona","asynch","FALSE","I started out trying hard, but gave up at some point",4,1,3,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1366,768,"Chrome OS","2022-03-03T08:15:47.394Z","success","winter22",1,0,33.7031333333333,"selfrated-effort"
"G423D","SGC4B","1112","arrow","wi22sona","2217","40445","sona","asynch","FALSE","I didn't try very hard, or rushed through the questions",3,3,3,"",18,"United States","English","First","Biomedical & Health Sciences","Female","","chrome",1500,867,"Windows 10","2022-03-04T23:07:24.119Z","success","winter22",1,2,2.19266666666667,"selfrated-effort"
"7CZKE","SGC4B","1113","cross","wi22sona","2217","27257","sona","asynch","TRUE","I started out trying hard, but gave up at some point",4,2,3,"",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1440,764,"Mac OS","2022-03-05T08:10:06.338Z","success","winter22",1,1,13.0012166666667,"selfrated-effort"
"X6AAD","SGC4B","1112","arrow","wi22sona","2217","43053","sona","asynch","FALSE","I started out trying hard, but gave up at some point",5,1,1,"",19,"China","Mandarin","First","Math or Computer Sciences","Male","No","chrome",1440,821,"Mac OS","2022-03-03T18:05:27.307Z","success","winter22",1,0,4.52398333333333,"selfrated-effort"
"WVW0D","SGC4B","1112","arrow","wi22sona","2217","42588","sona","asynch","FALSE","I started out trying hard, but gave up at some point",4,2,2,"",20,"United States","English","Second","Social Sciences (incl. CogSci)","Male","","chrome",2560,1289,"Windows 10","2022-03-06T01:45:42.016Z","success","winter22",1,2,1.34893333333333,"selfrated-effort"
"GVRVQ","SGC4B","1113","cross","wi22sona","2218","38316","sona","asynch","TRUE","I started out trying hard, but gave up at some point",4,2,3,"",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,722,"Mac OS","2022-03-09T18:12:39.167Z","success","winter22",1,0,9.48588333333333,"selfrated-effort"
"GSH7A","SGC4B","1112","arrow","wi22sona","2218","43340","sona","asynch","TRUE","I started out trying hard, but gave up at some point",4,2,3,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1440,821,"Mac OS","2022-03-09T20:40:27.268Z","success","winter22",2,3,7.10686666666667,"selfrated-effort"
"TX2W0","SGC4B","1113","cross","wi22sona","2218","35011","sona","asynch","FALSE","I started out trying hard, but gave up at some point",4,1,1,"feel like a class assignment",22,"China","Mandarin","Fourth","Math or Computer Sciences","Female","no","chrome",1307,766,"Mac OS","2022-03-09T17:51:13.560Z","success","winter22",1,0,3.99376666666667,"selfrated-effort"
"CEAR2","SGC4B","1113","cross","wi22sona","2217","32956","sona","asynch","FALSE","I didn't try very hard, or rushed through the questions",3,1,1,"",20,"United States","Spanish","Third","Biomedical & Health Sciences","Male","","chrome",1600,722,"Windows 10","2022-03-04T03:38:18.470Z","success","winter22",1,0,4.31638333333333,"selfrated-effort"
"T9ZUZ","SGC4B","1113","cross","wi22sona","2217","42438","sona","asynch","FALSE","I started out trying hard, but gave up at some point",3,2,1,"",18,"United States","Spanish","First","Biomedical & Health Sciences","Female","","chrome",1280,689,"Windows 10","2022-03-06T05:05:08.564Z","success","winter22",2,0,10.8855833333333,"selfrated-effort"
"QK4LV","SGC4B","1113","cross","wi22sona","2217","43053","sona","asynch","FALSE","I started out trying hard, but gave up at some point",4,2,2,"no",19,"China","Mandarin","First","Math or Computer Sciences","Male","no","chrome",1283,748,"Mac OS","2022-03-04T19:43:45.710Z","success","winter22",1,0,2.18221666666667,"selfrated-effort"
"GYNX8","SGC4B","1112","arrow","wi22sona","2218","43332","sona","asynch","TRUE","I started out trying hard, but gave up at some point",5,1,1,"explain the tasks of the experiment and its relevance ",23,"United States","X-Other","Third","Humanities","Female","no ","chrome",1440,821,"Mac OS","2022-03-09T19:18:16.783Z","success","winter22",1,2,8.39125,"selfrated-effort"
"BWMFO","SGC4B","1112","arrow","wi22sona","2217","43212","sona","asynch","TRUE","I started out trying hard, but gave up at some point",3,2,5,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1440,789,"Mac OS","2022-03-04T03:14:06.589Z","success","winter22",1,2,9.10511666666667,"selfrated-effort"
"89AL6","SGC4B","1112","arrow","wi22sona","2218","35777","sona","asynch","TRUE","I started out trying hard, but gave up at some point",5,2,3,"I think it would have been helpful to describe the diagram in more detail because I thought I understood it initially, but when more questions were asked, I realized that I misinterpreted the diagram. Even after I realized my mistake, I was still confused. ",21,"United States","X-Other","Third","Social Sciences (incl. CogSci)","Female","No.","chrome",1600,734,"Mac OS","2022-03-09T08:08:05.504Z","success","winter22",2,1,9.30245,"selfrated-effort"
"6NSJC","SGC4B","1112","arrow","wi22sona","2218","40785","sona","asynch","FALSE","I didn't try very hard, or rushed through the questions",4,1,1,"",18,"USA","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1333,731,"Mac OS","2022-03-09T19:20:49.080Z","success","winter22",1,0,8.4273,"selfrated-effort"
"MNM0F","SGC4B","1113","cross","wi22sona","2217","43216","sona","asynch","FALSE","I didn't try very hard, or rushed through the questions",3,1,1,"",19,"USA","English","Second","Biomedical & Health Sciences","Female","No","chrome",1440,708,"Mac OS","2022-03-06T00:39:33.268Z","success","winter22",1,0,1.15386666666667,"selfrated-effort"
"EBAN0","SGC4B","1113","cross","wi22sona","2217","41980","sona","asynch","FALSE","I didn't try very hard, or rushed through the questions",1,1,2,"This is my second time taking it since I did not receive credit for it the first time ",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1440,821,"Mac OS","2022-03-05T21:26:16.210Z","success","winter22",1,0,2.11563333333333,"selfrated-effort"
"PY07T","SGC4B","1113","cross","wi22sona","2218","37745","sona","asynch","FALSE","I didn't try very hard, or rushed through the questions",3,1,4,"",18,"United States","English","Second","Social Sciences (incl. CogSci)","Male","","chrome",1440,764,"Mac OS","2022-03-09T08:35:58.367Z","success","winter22",1,2,2.98585,"selfrated-effort"
"9HH7A","SGC4B","1112","arrow","wi22sona","2217","27159","sona","asynch","TRUE","I started out trying hard, but gave up at some point",4,2,3,"Last questions were confusing",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","NO","chrome",1440,821,"Mac OS","2022-03-03T19:27:03.374Z","success","winter22",1,1,6.09418333333333,"selfrated-effort"
"ZF3N9","SGC4B","1112","arrow","wi22sona","2218","33305","sona","asynch","TRUE","I started out trying hard, but gave up at some point",3,4,2,"",24,"United States","Spanish","Fifth","Social Sciences (incl. CogSci)","Female","No","chrome",1440,744,"Mac OS","2022-03-09T20:22:59.922Z","success","winter22",1,0,5.72698333333333,"selfrated-effort"
"RMBTL","SGC4B","1112","arrow","wi22sona","2218","42434","sona","asynch","TRUE","I started out trying hard, but gave up at some point",3,3,4,"",18,"Spain","Spanish","First","Math or Computer Sciences","Male","","chrome",1440,821,"Mac OS","2022-03-09T19:24:24.406Z","success","winter22",1,0,7.39965,"selfrated-effort"
"K7YBG","SGC4B","11111","point","wi22sona","2218","43294","sona","asynch","TRUE","I started out trying hard, but gave up at some point",3,2,2,"",19,"United States","English","First","Math or Computer Sciences","Male","","chrome",1536,754,"Windows 10","2022-03-08T22:05:04.188Z","success","winter22",1.5,1,8.53028333333333,"selfrated-effort"
"SD4VK","SGC4B","11111","point","wi22sona","2218","43116","sona","asynch","TRUE","I started out trying hard, but gave up at some point",4,2,3,"Make it more engaging. ",19,"USA","English","First","Social Sciences (incl. CogSci)","Male","No","chrome",1440,789,"Mac OS","2022-03-09T03:22:39.490Z","success","winter22",1,1,5.51765,"selfrated-effort"
"TD1J6","SGC4B","11111","point","wi22sona","2218","42448","sona","asynch","TRUE","I started out trying hard, but gave up at some point",3,3,4,"The basic questions such as ""what shifts start at 12"" I enjoyed answering. Others such as, ""what shifts ended at 12"" or "" what shifts share a coffee break, were harder and less enjoyable. ",18,"USA","English","First","Social Sciences (incl. CogSci)","Female","No","chrome",1600,762,"Windows 10","2022-03-07T06:59:29.115Z","success","winter22",1,1,12.3538833333333,"selfrated-effort"
"VL4EY","SGC4B","11111","point","wi22sona","2218","41746","sona","asynch","FALSE","I started out trying hard, but gave up at some point",2,2,1,"",19,"China","Mandarin","Third","Humanities","Female","no","chrome",1400,718,"Mac OS","2022-03-09T00:30:53.483Z","success","winter22",1,0,8.76915,"selfrated-effort"
"L9124","SGC4B","11111","point","wi22sona","2218","40597","sona","asynch","FALSE","I started out trying hard, but gave up at some point",3,3,3,"",18,"US","Mandarin","First","Social Sciences (incl. CogSci)","Female","","chrome",1200,736,"Mac OS","2022-03-09T00:15:33.817Z","success","winter22",2,0,21.3454666666667,"selfrated-effort"
"XTT38","SGC4B","11111","point","wi22sona","2218","36470","sona","asynch","TRUE","I started out trying hard, but gave up at some point",4,2,1,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-03-09T04:54:52.903Z","success","winter22",1,0,7.2994,"selfrated-effort"
"3B3KO","SGC4B","11111","point","wi22sona","2218","42047","sona","asynch","TRUE","I started out trying hard, but gave up at some point",5,1,3,"",20,"united states","English","Third","Social Sciences (incl. CogSci)","Female","2 houra of sleep and an eight hour work shift ","chrome",1440,726,"Mac OS","2022-03-07T02:47:32.060Z","success","winter22",2,0,10.73135,"selfrated-effort"
"ZB711","SGC4B","11111","point","wi22sona","2218","34705","sona","asynch","TRUE","I started out trying hard, but gave up at some point",3,3,3,"",21,"United States","English","Third","Biomedical & Health Sciences","Female","","chrome",1440,703,"Mac OS","2022-03-09T07:06:54.189Z","success","winter22",2,2,6.29756666666667,"selfrated-effort"
"9VRTA","SGC4B","11111","point","wi22sona","2218","33768","sona","asynch","FALSE","I didn't try very hard, or rushed through the questions",2,3,4,"",21,"2","Mandarin","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-07T04:46:39.309Z","success","winter22",1,1,1.64275,"selfrated-effort"
"X11LP","SGC4B","11111","point","wi22sona","2218","42884","sona","asynch","TRUE","I started out trying hard, but gave up at some point",2,4,3,"Nothing!",18,"USA","English","First","Biomedical & Health Sciences","Female","Nope!","chrome",1368,801,"Windows 10","2022-03-09T06:44:15.312Z","success","winter22",1,1,4.13696666666667,"selfrated-effort"
"ZOPCY","SGC4B","11111","point","wi22sona","2218","43288","sona","asynch","FALSE","I started out trying hard, but gave up at some point",2,2,2,"",18,"China","Mandarin","First","Social Sciences (incl. CogSci)","Male","","chrome",1440,732,"Mac OS","2022-03-09T04:41:55.865Z","success","winter22",1,1,2.55856666666667,"selfrated-effort"
"8XDQ2","SGC4B","11111","point","wi22sona","2218","38589","sona","asynch","TRUE","I started out trying hard, but gave up at some point",3,3,2,"",20,"USA","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1510,746,"Mac OS","2022-03-06T20:41:14.126Z","success","winter22",1,0,5.62093333333333,"selfrated-effort"
"C2WBE","SGC4B","11111","point","wi22sona","2217","34306","sona","asynch","TRUE","I started out trying hard, but gave up at some point",3,2,3,"",21,"United States","English","Third","Engineering","Female","Visual Problems lately","chrome",1440,821,"Mac OS","2022-03-09T20:46:11.816Z","success","winter22",1,1,9.79151666666667,"selfrated-effort"
"WC1SR","SGC4B","11111","point","wi22sona","2217","37781","sona","asynch","TRUE","I started out trying hard, but gave up at some point",2,2,3,"",19,"USA","Spanish","Second","Social Sciences (incl. CogSci)","Female","","chrome",1772,892,"Mac OS","2022-03-09T21:57:45.533Z","success","winter22",1,1,5.78961666666667,"selfrated-effort"
"VZBBV","SGC4B","1113","cross","wi22sona","2218","39730","sona","asynch","FALSE","I tried my best on each question",3,3,5,"",21,"China","Mandarin","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-03-09T09:03:25.523Z","success","winter22",1,0,1.40361666666667,"failed-attnchk"
"TU9C4","SGC4B","1112","arrow","wi22sona","2218","33495","sona","asynch","FALSE","I tried my best on each question",4,3,5,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1368,761,"Windows 10","2022-03-09T17:12:33.045Z","success","winter22",1,1,9.06481666666667,"failed-attnchk"
"0DSY0","SGC4B","1113","cross","wi22sona","2218","40224","sona","asynch","FALSE","I tried my best on most questions",3,1,3,"I realized i was reading the graph wrong halfway through im so sorryyyy",18,"USA","Spanish","First","Math or Computer Sciences","Male","","chrome",1512,866,"Mac OS","2022-03-09T08:47:20.817Z","success","winter22",1,0,11.89145,"failed-attnchk"
"SMTA7","SGC4B","1112","arrow","wi22sona","2217","27623","sona","asynch","FALSE","I tried my best on each question",4,3,3,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",2560,1297,"Windows 10","2022-03-06T02:03:58.766Z","success","winter22",1,0,11.65095,"failed-attnchk"
"8AJ7K","SGC4B","1112","arrow","wi22sona","2218","42323","sona","asynch","FALSE","I tried my best on each question",4,2,3,"",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-09T19:53:39.218Z","success","winter22",1.5,0,2.46981666666667,"failed-attnchk"
"62Q6T","SGC4B","1113","cross","wi22sona","2217","41956","sona","asynch","FALSE","I tried my best on each question",4,3,4,"read the graph better",23,"US","Spanish","Fourth","Natural Sciences","Female","no","chrome",1440,821,"Mac OS","2022-03-03T18:13:41.258Z","success","winter22",1,0,10.7307166666667,"failed-attnchk"
"ZLC7Z","SGC4B","1112","arrow","wi22sona","2217","43237","sona","asynch","FALSE","I tried my best on each question",4,3,1,"It was difficult to interpret the data on the graph I tried my best though",21,"United States of America","Spanish","Fourth","Biomedical & Health Sciences","Male","no","chrome",1753,1235,"Mac OS","2022-03-05T21:15:14.011Z","success","winter22",2,7,13.8879166666667,"failed-attnchk"
"0FR0W","SGC4B","1113","cross","wi22sona","2217","38530","sona","asynch","FALSE","I tried my best on most questions",3,3,4,"At first I didn't understand the hourly section until I looked at the graph better!",20,"United States","Spanish","Second","Humanities","Female","no","chrome",1422,722,"Mac OS","2022-03-06T00:13:27.162Z","success","winter22",1,1,8.19155,"failed-attnchk"
"U6TKX","SGC4B","1113","cross","wi22sona","2217","31650","sona","asynch","FALSE","I tried my best on most questions",5,3,4,"If the instructions were made available, I would be able to refer to them when in doubt. ",21,"USA","English","Fourth","Social Sciences (incl. CogSci)","Male","Slow laptop.","chrome",1368,769,"Windows 10","2022-03-06T04:08:39.304Z","success","winter22",2,0,14.3434166666667,"failed-attnchk"
"41PXO","SGC4B","1112","arrow","wi22sona","2217","41736","sona","asynch","FALSE","I tried my best on each question",4,3,5,"I went diagonally for shifts.",21,"USA","English","Fourth","Biomedical & Health Sciences","Male","No","chrome",1504,860,"Windows 10","2022-03-03T23:55:00.012Z","success","winter22",1.5,0,7.6344,"failed-attnchk"
"ZXSMS","SGC4B","1112","arrow","wi22sona","2218","37508","sona","asynch","FALSE","I tried my best on each question",4,4,2,"I felt it me took more time than if  i didn't have ssri in system.",30,"US","English","Fourth","Social Sciences (incl. CogSci)","Male","ADHD, depression, anxiety ","chrome",1523,1161,"Mac OS","2022-03-09T08:49:06.229Z","success","winter22",1,0,39.1578166666667,"failed-attnchk"
