"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m","reason"
"QOG8M","SGC4A","114","Orth-Sparse","wi22sona","2218","39636","sona","asynch","TRUE","look at which events align with 12 pm on the x axis","I tried my best on most questions",3,3,5,"",21,"United States","English","Fourth","Biomedical & Health Sciences","Female","n/a","chrome",1564,932,"Windows 10","2022-03-01T21:22:07.090Z","success","winter22",3.5,0,10.5541666666667,"exceeded-violations"
"94M54","SGC4A","113","Tri-Sparse","wi22sona","2218","43087","sona","asynch","TRUE","By looking at the graph, the points that are formed (B, F, etc) create a triangle. The three vertices on the triangle tell you different information. The top vertex tells you the shift (letter), the bottom left vertex states the time the shift starts, and the bottom right vertex states the time the shift ends. By going to the 12 PM mark on the bottom axis and following the line diagonally right, you can trace the other shifts that start at 12PM. ","I tried my best on each question",4,4,5,"I personally have never seen a graph of data like the one shown in this study. It threw me off guard but allowed me to actually fully participate and pay full attention to the study. ",18,"United States of America","English","First","Biomedical & Health Sciences","Female","No. ","chrome",1920,937,"Windows 10","2022-03-01T08:59:34.590Z","success","winter22",4.5,12,16.9536666666667,"exceeded-violations"
"F9SFZ","SGC4A","115","Orth-Grid","wi22sona","2218","37159","sona","asynch","TRUE","i read the x axis and chose whatever letter is on the y=12 ","I started out trying hard, but gave up at some point",5,2,1,"i dont think i got it im sorry ",20,"United States","Spanish","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1440,789,"Mac OS","2022-02-28T00:29:30.068Z","success","winter22",4,0,9.42043333333333,"exceeded-violations"
"QRO1B","SGC4A","115","Orth-Grid","wi22sona","2218","43240","sona","asynch","TRUE","Start at 12 pm on the x axis, then move up the y axis and note any letters that have 12 pm as an x coordinate.","I tried my best on each question",2,4,3,"The shape of the graph was unfamiliar so moving up and down the axis to count the hours was confusing at first and required double checking that I was counting the correct number of hours.",20,"United States","English","Second","Biomedical & Health Sciences","Male","No","chrome",1536,721,"Windows 10","2022-03-06T00:15:28.024Z","success","winter22",6,0,19.89405,"exceeded-violations"
"MZQXC","SGC4A","113","Tri-Sparse","wi22sona","2218","34011","sona","asynch","TRUE","whichever is diagonal to 12 pm heading to the right","I tried my best on each question",5,1,5,"my screen turned off once and tab got minimized in the beginning but it was not intentional",20,"United States","X-Other","Third","Biomedical & Health Sciences","Female","no","chrome",1536,754,"Windows 10","2022-03-03T01:26:32.833Z","success","winter22",7,0,8.536,"exceeded-violations"
"4D8FH","SGC4A","115","Orth-Grid","wi22sona","2218","38740","sona","asynch","TRUE","I assumed all events on the x-axis were starting times, so I looked at the 12 PM tick and anything on that column would be the answer - in this case, F and B.","I tried my best on most questions",3,3,3,"Didn't understand what was meant by the x-axis being both start and end times, I just assumed the x-axis was when they started and the shift length and thus the end time was determined by the y-axis.",19,"USA","English","Second","Biomedical & Health Sciences","Female","No.","chrome",1920,905,"Windows 10","2022-02-28T20:35:05.089Z","success","winter22",9,0,27.5585833333333,"exceeded-violations"
"RA49W","SGC4A","113","Tri-Sparse","wi22sona","2218","39709","sona","asynch","TRUE","Follow the X-Axis to 12PM, and find the dots above it","I tried my best on most questions",2,3,3,"At first, I thought the diagonal lines would trace back to their respective marks on the X-axis",22,"USA","English","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1920,969,"Windows 10","2022-03-01T21:25:30.005Z","success","winter22",8,0,18.2487833333333,"exceeded-violations"
"XVBD6","SGC4A","113","Tri-Sparse","wi22sona","2218","37980","sona","asynch","TRUE","Look at bottom of chart at 12PM and look up in a straight line ","I tried my best on most questions",4,3,3,"Maybe time spent on each question? But having a visible timer might cause others to rush.  ",21,"United States","English","Third","Natural Sciences","Female","No","chrome",1368,811,"Windows 10","2022-03-07T22:26:09.229Z","success","winter22",5,1,16.5091333333333,"exceeded-violations"
"2YJGQ","SGC4A","114","Orth-Sparse","wi22sona","2217","34174","sona","asynch","TRUE","look at the x-axis where start and end time are marked and look at where it says 12pm. look above that marker and find the events that are marked with a black dot and letter","I tried my best on each question",3,4,5,"",21,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1224,796,"Mac OS","2022-03-09T20:14:09.469Z","success","winter22",6.5,0,71.3801666666667,"exceeded-violations"
"7M1YE","SGC4A","115","Orth-Grid","wi22sona","2218","34796","sona","asynch","TRUE","Events that start at 12pm are directly vertically above the 12pm hash mark at the bottom of the x axis on the chart. ","I tried my best on each question",3,5,4,"I thought of another way to see the schedule halfway through the study (on a more diagonal, non-linear plane) but continued with my previously established way of charting it.  ",23,"United States","English","Fifth","Social Sciences (incl. CogSci)","Female","None","chrome",1564,843,"Windows 10","2022-03-04T23:39:43.549Z","success","winter22",5,0,20.9563333333333,"exceeded-violations"
"OU0LK","SGC4A","114","Orth-Sparse","wi22sona","2218","42824","sona","asynch","TRUE","look at the bottom of the graph","I started out trying hard, but gave up at some point",2,2,1,"",19,"US","English","Second","Social Sciences (incl. CogSci)","Male","","chrome",1600,711,"Windows 10","2022-03-04T04:13:31.194Z","success","winter22",5.5,2,4.7714,"exceeded-violations"
"F005Z","SGC4A","11111","Orth-Full","wi22sona","2218","37443","sona","asynch","TRUE","look at the dot(S) that is above the 12 pm mark","I tried my best on most questions",4,2,1,"",19,"US","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1420,687,"Mac OS","2022-03-08T22:12:15.090Z","success","winter22",4.5,1,73.4364666666667,"exceeded-violations"
"3R94J","SGC4A","11111","Orth-Full","wi22sona","2218","38128","sona","asynch","FALSE","","I started out trying hard, but gave up at some point",3,2,3,"",21,"United States","English","Second","Math or Computer Sciences","Male","","chrome",1436,796,"Mac OS","2022-03-09T02:15:00.700Z","success","winter22",6.5,0,261.8255,"exceeded-violations"
"BEROO","SGC4A","11111","Orth-Full","wi22sona","2218","43301","sona","asynch","TRUE","Check the time stamp at the bottom of the graph, and see which events line up at 12pm. ","I tried my best on most questions",4,2,2,"",19,"United States","Spanish","Second","Biomedical & Health Sciences","Other-Not Listed","","chrome",1536,746,"Windows 10","2022-03-08T21:43:52.016Z","success","winter22",5,0,18.5138666666667,"exceeded-violations"
"ACA5L","SGC4A","11111","Orth-Full","wi22sona","2218","37714","sona","asynch","TRUE","Start at the x axis of 12pm and then see what points occur on the y axis by drawing an imaginary line upward","I tried my best on most questions",3,3,4,"I am doing this really late and am exhausted so I might not have done as well as I could have",21,"United States","English","Fourth","Fine Arts","Male","","chrome",1600,753,"Linux","2022-03-07T07:06:38.933Z","success","winter22",5,0,19.35825,"exceeded-violations"
"Z0NYF","SGC4A","11111","Orth-Full","wi22sona","2218","37784","sona","asynch","TRUE","see what dots perpendicular at 12 pm","I tried my best on each question",2,4,3,"",23,"China","Mandarin","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,696,"Mac OS","2022-03-08T09:15:43.328Z","success","winter22",5,1,8.99488333333333,"exceeded-violations"
"D16DW","SGC4A","11111","Orth-Full","wi22sona","2218","42185","sona","asynch","FALSE","","I tried my best on most questions",3,3,3,"",20,"China","Mandarin","First","Social Sciences (incl. CogSci)","Female","","chrome",1271,706,"Mac OS","2022-03-06T21:27:02.666Z","success","winter22",4,0,6.97888333333333,"exceeded-violations"
"1MD0B","SGC4A","11111","Orth-Full","wi22sona","2218","43315","sona","asynch","FALSE","no sure exactly.","I started out trying hard, but gave up at some point",4,2,4,"I think I got the wrong direction for the beginning.",22,"china","Mandarin","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-03-09T02:01:43.834Z","success","winter22",5,0,4.97128333333333,"exceeded-violations"
"33LFP","SGC4A","11111","Orth-Full","wi22sona","2218","32159","sona","asynch","TRUE","go to 12 pm on the x axis and move directly up until you see a point with that x value","I tried my best on each question",2,4,4,"",20,"United States","X-Other","Third","Social Sciences (incl. CogSci)","Female","","chrome",1252,739,"Mac OS","2022-03-08T19:48:08.628Z","success","winter22",5,0,22.408,"exceeded-violations"
"BKFLW","SGC4A","11111","Orth-Full","wi22sona","2218","38871","sona","asynch","TRUE","Look at the points above 12 pm on the graph","I tried my best on most questions",4,2,4,"The graph was kind of hard to understand, but I guess that was the point. ",21,"United States","English","Third","Biomedical & Health Sciences","Male","No","chrome",1174,870,"Mac OS","2022-03-07T00:58:17.048Z","success","winter22",6,9,8.19446666666667,"exceeded-violations"
"9TM78","SGC4A","11111","Orth-Full","wi22sona","2218","43227","sona","asynch","TRUE","12pm and right line","I tried my best on each question",4,4,4,"",18,"United States","English","First","Math or Computer Sciences","Male","","chrome",1920,929,"Windows 10","2022-03-08T22:26:16.659Z","success","winter22",4,9,6.7683,"exceeded-violations"
"O7NMU","SGC4A","11111","Orth-Full","wi22sona","2218","27702","sona","asynch","TRUE","Look at 12pm on the X-axis. Then follow the diagonal line to the right to see what events start at 12pm.","I tried my best on most questions",2,4,4,"",21,"US","English","Fourth","Biomedical & Health Sciences","Female","No","chrome",1920,937,"Windows 10","2022-03-06T07:23:16.849Z","success","winter22",8,10,8.85038333333333,"exceeded-violations"
"TSGOL","SGC4A","113","Tri-Sparse","wi22sona","2218","37072","sona","asynch","TRUE","follow line from 12 pm mark","I started out trying hard, but gave up at some point",2,2,2,"",19,"United States","English","Second","Natural Sciences","Female","N/A","chrome",1433,724,"Mac OS","2022-03-01T07:57:03.893Z","success","winter22",2.5,10,8.32845,"selfrated-effort"
"TFU1F","SGC4A","114","Orth-Sparse","wi22sona","2218","41690","sona","asynch","FALSE","Whichever line corresponds with the time, thats how you know what events start at 12 pm","I started out trying hard, but gave up at some point",3,2,1,"pay attention to the first instructions ",21,"America","English","Fourth","Social Sciences (incl. CogSci)","Female","no ","chrome",1440,764,"Mac OS","2022-03-05T01:12:43.068Z","success","winter22",1,0,7.52346666666667,"selfrated-effort"
"2X9KJ","SGC4A","114","Orth-Sparse","wi22sona","2218","31795","sona","asynch","TRUE","","I started out trying hard, but gave up at some point",5,1,2,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1280,720,"Windows 10","2022-03-02T22:30:23.308Z","success","winter22",2,0,11.4614833333333,"selfrated-effort"
"AW0KU","SGC4A","115","Orth-Grid","wi22sona","2218","37888","sona","asynch","TRUE","You look at the x and y axis, determine the duration of the shift","I started out trying hard, but gave up at some point",4,1,3,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1280,720,"Windows 10","2022-03-05T22:14:18.618Z","success","winter22",2,0,8.69988333333333,"selfrated-effort"
"EYJPF","SGC4A","113","Tri-Sparse","wi22sona","2218","39477","sona","asynch","TRUE","by follwing 12pm and going up
","I started out trying hard, but gave up at some point",4,2,1,"",19,"United States","English","Second","Humanities","Female","","chrome",1440,821,"Mac OS","2022-03-01T02:59:05.610Z","success","winter22",1,0,6.83086666666667,"selfrated-effort"
"DOSAL","SGC4A","115","Orth-Grid","wi22sona","2218","41551","sona","asynch","TRUE","you look at the start and end time bar and the dot shows when it begins","I started out trying hard, but gave up at some point",5,2,3,"",20,"usa","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1280,689,"Mac OS","2022-03-03T22:40:25.226Z","success","winter22",1,0,5.45378333333333,"selfrated-effort"
"UKRM7","SGC4A","113","Tri-Sparse","wi22sona","2218","43172","sona","asynch","TRUE","Locate 12pm of the base of the pyramid and imagine a line coming out of that point. Whatever intersects that line are the events that start at 12pm.","I started out trying hard, but gave up at some point",4,2,1,"Clarify whether there is one correct answer, multiple correct answers, or no correct answers for each question.",21,"USA","English","Third","Social Sciences (incl. CogSci)","Male","NO","chrome",1440,821,"Mac OS","2022-03-02T17:00:52.435Z","success","winter22",1,0,14.5116333333333,"selfrated-effort"
"DNTJY","SGC4A","113","Tri-Sparse","wi22sona","2218","42961","sona","asynch","TRUE","Find 12pm on X axis, then follow the V shape.","I started out trying hard, but gave up at some point",5,1,3,"",20,"USA","Mandarin","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,969,"Windows 10","2022-03-01T08:51:35.446Z","success","winter22",3,1,20.1214166666667,"selfrated-effort"
"SW0XW","SGC4A","114","Orth-Sparse","wi22sona","2218","37005","sona","asynch","TRUE","B and F begin their shifts.
J ends their shift. 
","I started out trying hard, but gave up at some point",3,3,2,"",21,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-05T23:53:15.279Z","success","winter22",1,0,15.0437833333333,"selfrated-effort"
"A5Q9W","SGC4A","115","Orth-Grid","wi22sona","2218","37631","sona","asynch","FALSE","","I started out trying hard, but gave up at some point",1,2,2,"",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,697,"Mac OS","2022-03-05T04:02:34.193Z","success","winter22",1,1,2.24656666666667,"selfrated-effort"
"THRRE","SGC4A","114","Orth-Sparse","wi22sona","2218","33988","sona","asynch","FALSE","B and F looking at the x axis
","I started out trying hard, but gave up at some point",2,3,4,"",21,"United States","Arabic","Fourth","Biomedical & Health Sciences","Male","","chrome",1440,789,"Mac OS","2022-03-04T21:18:53.639Z","success","winter22",1,0,3.65995,"selfrated-effort"
"NG5YN","SGC4A","115","Orth-Grid","wi22sona","2218","42130","sona","asynch","TRUE","I'm not entirely sure how to read the chart but I look for the points starting at 12 across the x axis ","I started out trying hard, but gave up at some point",4,1,2,"",19,"United States","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1276,796,"Mac OS","2022-02-28T01:14:56.560Z","success","winter22",3,0,11.0685,"selfrated-effort"
"V3Z8T","SGC4A","114","Orth-Sparse","wi22sona","2218","36396","sona","asynch","TRUE","You look at what's about the 12 pm point.","I started out trying hard, but gave up at some point",4,2,2,"",19,"United States","Spanish","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-05T03:55:58.038Z","success","winter22",1,1,9.79908333333333,"selfrated-effort"
"4BV54","SGC4A","113","Tri-Sparse","wi22sona","2218","28458","sona","asynch","TRUE","look at the letters that are directly above 12pm","I started out trying hard, but gave up at some point",4,3,2,"",22,"United States","X-Other","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1536,722,"Windows 10","2022-03-01T06:09:45.803Z","success","winter22",1,0,8.6467,"selfrated-effort"
"DGHTG","SGC4A","113","Tri-Sparse","wi22sona","2218","41707","sona","asynch","FALSE","I check horizontally what is on the 12Pm line","I started out trying hard, but gave up at some point",5,1,2,"",18,"India","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-02-28T19:21:36.932Z","success","winter22",1,2,8.8852,"selfrated-effort"
"1AKAQ","SGC4A","115","Orth-Grid","wi22sona","2218","41412","sona","asynch","FALSE","M
","I started out trying hard, but gave up at some point",2,3,1,"",21,"US","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1280,696,"Mac OS","2022-03-04T07:04:38.876Z","success","winter22",1,0,3.9087,"selfrated-effort"
"D2C53","SGC4A","113","Tri-Sparse","wi22sona","2217","43338","sona","asynch","FALSE","look at B and F","I started out trying hard, but gave up at some point",4,2,2,"",21,"United States","X-Other","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1440,821,"Mac OS","2022-03-09T18:52:09.629Z","success","winter22",1,0,4.24776666666667,"selfrated-effort"
"L7O2W","SGC4A","115","Orth-Grid","wi22sona","2218","42541","sona","asynch","TRUE","Add the during to starting time","I started out trying hard, but gave up at some point",4,1,3,"",19,"China","Mandarin","Second","Humanities","Female","","chrome",1440,752,"Mac OS","2022-03-03T06:48:32.017Z","success","winter22",1,0,5.95116666666667,"selfrated-effort"
"W20Q4","SGC4A","113","Tri-Sparse","wi22sona","2218","41854","sona","asynch","TRUE","Find 12 PM on the x-axis and see which shifts the dots on that x-axis line correlate with. ","I started out trying hard, but gave up at some point",3,2,4,"",23,"USA","Mandarin","Third","Social Sciences (incl. CogSci)","Female","","chrome",1300,733,"Mac OS","2022-03-03T04:24:03.608Z","success","winter22",1,0,9.86323333333333,"selfrated-effort"
"OL6M8","SGC4A","113","Tri-Sparse","wi22sona","2218","43162","sona","asynch","FALSE","Using the diagram, you can notice at which particular time, the dot (representing the time) starts.","I started out trying hard, but gave up at some point",4,3,4,"I enjoyed the first part, but found the second part very confusing when it came to shift ending comparisons.
.",18,"UAE","English","First","Biomedical & Health Sciences","Female","None","chrome",1200,697,"Mac OS","2022-03-02T07:44:29.359Z","success","winter22",1,1,9.1939,"selfrated-effort"
"FDWGE","SGC4A","114","Orth-Sparse","wi22sona","2218","34561","sona","asynch","FALSE","events with their left line endpoint at 12pm","I started out trying hard, but gave up at some point",4,3,3,"",22,"China","Mandarin","Third","Math or Computer Sciences","Male","","chrome",1920,937,"Windows 10","2022-03-05T01:46:00.799Z","success","winter22",1,1,4.22255,"selfrated-effort"
"SJU7E","SGC4A","115","Orth-Grid","wi22sona","2218","33214","sona","asynch","FALSE","5","I didn't try very hard, or rushed through the questions",2,3,2,"",20,"united states of america","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1243,743,"Mac OS","2022-03-03T23:08:30.616Z","success","winter22",2.5,0,2.22571666666667,"selfrated-effort"
"RKF4T","SGC4A","113","Tri-Sparse","wi22sona","2218","41718","sona","asynch","FALSE","if it is un line with the 12pm start","I started out trying hard, but gave up at some point",4,1,1,"",18,"America","English","First","Biomedical & Health Sciences","Female","","chrome",1777,932,"Mac OS","2022-03-08T01:38:23.437Z","success","winter22",1,1,6.83111666666667,"selfrated-effort"
"DOOSH","SGC4A","113","Tri-Sparse","wi22sona","2218","35466","sona","asynch","FALSE","B and F are at the 12pm point which is when it begins.","I started out trying hard, but gave up at some point",5,1,3,"",20,"USA","Spanish","Third","Social Sciences (incl. CogSci)","Female","","chrome",1600,805,"Mac OS","2022-03-04T05:12:00.188Z","success","winter22",1,1,10.5809333333333,"selfrated-effort"
"FQME4","SGC4A","115","Orth-Grid","wi22sona","2218","22603","sona","asynch","FALSE","Look at the dot at 12 pm","I started out trying hard, but gave up at some point",5,1,3,"",24,"USA","English","Fifth","Social Sciences (incl. CogSci)","Male","","chrome",1211,730,"Mac OS","2022-03-06T00:12:57.203Z","success","winter22",2,1,3.02268333333333,"selfrated-effort"
"ZK0UG","SGC4A","115","Orth-Grid","wi22sona","2218","41352","sona","asynch","TRUE","look to see the dots that are vertical or above 12 PM","I started out trying hard, but gave up at some point",3,4,2,"",18,"USA","X-Other","First","Social Sciences (incl. CogSci)","Female","no","chrome",1440,821,"Mac OS","2022-03-03T09:20:11.464Z","success","winter22",1,0,10.9096,"selfrated-effort"
"XSZGB","SGC4A","11111","Orth-Full","wi22sona","2218","31762","sona","asynch","TRUE","Look at the tick mark for 12 pm and see which dots lie on the vertical line through it","I started out trying hard, but gave up at some point",4,2,4,"",20,"USA","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1680,939,"Mac OS","2022-03-06T07:07:43.699Z","success","winter22",1,0,18.9822166666667,"selfrated-effort"
"1XYPS","SGC4A","11111","Orth-Full","wi22sona","2218","35590","sona","asynch","TRUE","The start and end time are plotted on the graph in respect to duration in hours","I started out trying hard, but gave up at some point",4,1,2,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1440,821,"Mac OS","2022-03-07T06:41:21.087Z","success","winter22",1,0,7.31808333333333,"selfrated-effort"
"RLP62","SGC4A","11111","Orth-Full","wi22sona","2217","42778","sona","asynch","FALSE","G","I started out trying hard, but gave up at some point",3,2,3,"No idea",21,"China","Mandarin","Third","Math or Computer Sciences","Male","No idea","chrome",2560,1289,"Windows 10","2022-03-09T21:36:43.585Z","success","winter22",1,0,2.14741666666667,"selfrated-effort"
"7A5L3","SGC4A","11111","Orth-Full","wi22sona","2218","43149","sona","asynch","TRUE","Look up at the graph","I didn't try very hard, or rushed through the questions",1,1,1,"",19,"US","English","First","Engineering","Female","","chrome",1489,874,"Mac OS","2022-03-09T04:17:18.697Z","success","winter22",2,1,4.46813333333333,"selfrated-effort"
"SQGVP","SGC4A","11111","Orth-Full","wi22sona","2218","41599","sona","asynch","TRUE","whatever number is over the x axis ","I didn't try very hard, or rushed through the questions",3,1,1,"",19,"america","English","Second","Social Sciences (incl. CogSci)","Male","","chrome",2560,1297,"Windows 10","2022-03-09T06:21:24.218Z","success","winter22",1,1,2.90311666666667,"selfrated-effort"
"ZCJ4R","SGC4A","11111","Orth-Full","wi22sona","2218","35705","sona","asynch","TRUE","M, L","I started out trying hard, but gave up at some point",1,3,2,"It's a lot and very repetitive.",21,"China","Mandarin","Second","Math or Computer Sciences","Male","","chrome",1386,706,"Mac OS","2022-03-07T03:32:52.528Z","success","winter22",2,5,70.4094333333333,"selfrated-effort"
"A1DBN","SGC4A","11111","Orth-Full","wi22sona","2218","43247","sona","asynch","TRUE","You find out what start's at 12 pm by looking at the x axis, and seeing which points align with 12pm","I started out trying hard, but gave up at some point",4,2,1,"",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","Nope","chrome",1336,927,"Windows 10","2022-03-06T23:57:14.673Z","success","winter22",1.5,0,5.842,"selfrated-effort"
"KBGH8","SGC4A","11111","Orth-Full","wi22sona","2218","40662","sona","asynch","TRUE","look at the horizontal axis where it states 12 pm","I started out trying hard, but gave up at some point",3,3,1,"",19,"United States","English","First","Social Sciences (incl. CogSci)","Female","no","chrome",1440,769,"Mac OS","2022-03-09T04:54:13.021Z","success","winter22",2,0,18.8603666666667,"selfrated-effort"
"SK0LH","SGC4A","115","Orth-Grid","wi22sona","2218","32254","sona","asynch","FALSE","By looking at the bottom horizontal axis  and checking which ones are placed vertically on the 12pm point.","I tried my best on each question",4,2,4,"",20,"United States","Spanish","Third","Social Sciences (incl. CogSci)","Female","","chrome",1280,720,"Windows 10","2022-03-01T22:15:11.198Z","success","winter22",1,1,25.3548,"failed-attnchk"
"Y6S2B","SGC4A","113","Tri-Sparse","wi22sona","2218","35173","sona","asynch","FALSE","From the 12pm tick mark, I create an imaginary line upward through the pyramid","I tried my best on most questions",4,2,2,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1278,711,"Mac OS","2022-03-06T01:46:56.361Z","success","winter22",2,1,13.2592,"failed-attnchk"
"VHPYT","SGC4A","114","Orth-Sparse","wi22sona","2218","34941","sona","asynch","FALSE","X axis shows","I tried my best on each question",3,4,4,"",21,"US","English","Third","Social Sciences (incl. CogSci)","Other-Not Listed","na","chrome",1920,1057,"Windows 10","2022-03-04T23:45:53.622Z","success","winter22",1,0,3.37828333333333,"failed-attnchk"
"SJC0J","SGC4A","113","Tri-Sparse","wi22sona","2218","36564","sona","asynch","FALSE","Looking at the horizontal axis (time of day), find 12pm and look vertically up to see that shifts B and F start at 12pm.","I tried my best on most questions",4,2,4,"I definitely had to switch the way I interpret the graph at some points when one interpretation answered the question where another interpretation did not provide a reasonable answer.",20,"USA","X-Other","Second","Social Sciences (incl. CogSci)","Female","n/a","chrome",1500,849,"Windows 10","2022-03-02T21:10:38.769Z","success","winter22",1,1,14.0112333333333,"failed-attnchk"
"XLXST","SGC4A","114","Orth-Sparse","wi22sona","2217","40856","sona","asynch","FALSE","look at which points are directly above the 12 PM mark","I tried my best on most questions",4,1,3,"nothing",18,"United States","English","First","Natural Sciences","Female","no","chrome",1440,764,"Mac OS","2022-03-09T12:30:24.107Z","success","winter22",1,1,7.18341666666667,"failed-attnchk"
