"subject","mode","pretty_condition","question","score","ROTATION","SHAPE"
"MLNH1","asynch","ORTH-45",13,6,"45","ORTH"
"67Z0V","asynch","ORTH-45",1,0,"45","ORTH"
"67Z0V","asynch","ORTH-45",2,0,"45","ORTH"
"67Z0V","asynch","ORTH-45",3,0,"45","ORTH"
"67Z0V","asynch","ORTH-45",4,0,"45","ORTH"
"67Z0V","asynch","ORTH-45",5,0,"45","ORTH"
"67Z0V","asynch","ORTH-45",6,0,"45","ORTH"
"67Z0V","asynch","ORTH-45",7,0,"45","ORTH"
"67Z0V","asynch","ORTH-45",8,0,"45","ORTH"
"67Z0V","asynch","ORTH-45",9,0,"45","ORTH"
"67Z0V","asynch","ORTH-45",10,0,"45","ORTH"
"67Z0V","asynch","ORTH-45",11,0,"45","ORTH"
"67Z0V","asynch","ORTH-45",12,0,"45","ORTH"
"67Z0V","asynch","ORTH-45",13,0,"45","ORTH"
"UEETV","asynch","ORTH-45",1,1,"45","ORTH"
"UEETV","asynch","ORTH-45",2,2,"45","ORTH"
"UEETV","asynch","ORTH-45",3,3,"45","ORTH"
"UEETV","asynch","ORTH-45",4,4,"45","ORTH"
"UEETV","asynch","ORTH-45",5,5,"45","ORTH"
"UEETV","asynch","ORTH-45",6,6,"45","ORTH"
"UEETV","asynch","ORTH-45",7,7,"45","ORTH"
"UEETV","asynch","ORTH-45",8,8,"45","ORTH"
"UEETV","asynch","ORTH-45",9,9,"45","ORTH"
"UEETV","asynch","ORTH-45",10,10,"45","ORTH"
"UEETV","asynch","ORTH-45",11,11,"45","ORTH"
"UEETV","asynch","ORTH-45",12,12,"45","ORTH"
"UEETV","asynch","ORTH-45",13,13,"45","ORTH"
"0PAWH","asynch","ORTH-45",1,1,"45","ORTH"
"0PAWH","asynch","ORTH-45",2,2,"45","ORTH"
"0PAWH","asynch","ORTH-45",3,3,"45","ORTH"
"0PAWH","asynch","ORTH-45",4,4,"45","ORTH"
"0PAWH","asynch","ORTH-45",5,5,"45","ORTH"
"0PAWH","asynch","ORTH-45",6,6,"45","ORTH"
"0PAWH","asynch","ORTH-45",7,6,"45","ORTH"
"0PAWH","asynch","ORTH-45",8,7,"45","ORTH"
"0PAWH","asynch","ORTH-45",9,8,"45","ORTH"
"0PAWH","asynch","ORTH-45",10,9,"45","ORTH"
"0PAWH","asynch","ORTH-45",11,10,"45","ORTH"
"0PAWH","asynch","ORTH-45",12,11,"45","ORTH"
"0PAWH","asynch","ORTH-45",13,12,"45","ORTH"
"L5L85","asynch","ORTH-45",1,0,"45","ORTH"
"L5L85","asynch","ORTH-45",2,0,"45","ORTH"
"L5L85","asynch","ORTH-45",3,0,"45","ORTH"
"L5L85","asynch","ORTH-45",4,0,"45","ORTH"
"L5L85","asynch","ORTH-45",5,0,"45","ORTH"
"L5L85","asynch","ORTH-45",6,0,"45","ORTH"
"L5L85","asynch","ORTH-45",7,0,"45","ORTH"
"L5L85","asynch","ORTH-45",8,0,"45","ORTH"
"L5L85","asynch","ORTH-45",9,0,"45","ORTH"
"L5L85","asynch","ORTH-45",10,0,"45","ORTH"
"L5L85","asynch","ORTH-45",11,0,"45","ORTH"
"L5L85","asynch","ORTH-45",12,0,"45","ORTH"
"L5L85","asynch","ORTH-45",13,0,"45","ORTH"
"O9T8H","asynch","ORTH-45",1,0,"45","ORTH"
"O9T8H","asynch","ORTH-45",2,0,"45","ORTH"
"O9T8H","asynch","ORTH-45",3,0,"45","ORTH"
"O9T8H","asynch","ORTH-45",4,0,"45","ORTH"
"O9T8H","asynch","ORTH-45",5,0,"45","ORTH"
"O9T8H","asynch","ORTH-45",6,0,"45","ORTH"
"O9T8H","asynch","ORTH-45",7,0,"45","ORTH"
"O9T8H","asynch","ORTH-45",8,1,"45","ORTH"
"O9T8H","asynch","ORTH-45",9,1,"45","ORTH"
"O9T8H","asynch","ORTH-45",10,1,"45","ORTH"
"O9T8H","asynch","ORTH-45",11,1,"45","ORTH"
"O9T8H","asynch","ORTH-45",12,1,"45","ORTH"
"O9T8H","asynch","ORTH-45",13,1,"45","ORTH"
"7C7KM","asynch","ORTH-45",1,0,"45","ORTH"
"7C7KM","asynch","ORTH-45",2,0,"45","ORTH"
"7C7KM","asynch","ORTH-45",3,0,"45","ORTH"
"7C7KM","asynch","ORTH-45",4,0,"45","ORTH"
"7C7KM","asynch","ORTH-45",5,1,"45","ORTH"
"7C7KM","asynch","ORTH-45",6,1,"45","ORTH"
"7C7KM","asynch","ORTH-45",7,1,"45","ORTH"
"7C7KM","asynch","ORTH-45",8,1,"45","ORTH"
"7C7KM","asynch","ORTH-45",9,1,"45","ORTH"
"7C7KM","asynch","ORTH-45",10,1,"45","ORTH"
"7C7KM","asynch","ORTH-45",11,1,"45","ORTH"
"7C7KM","asynch","ORTH-45",12,1,"45","ORTH"
"7C7KM","asynch","ORTH-45",13,2,"45","ORTH"
"GD2OK","asynch","ORTH-45",1,0,"45","ORTH"
"GD2OK","asynch","ORTH-45",2,0,"45","ORTH"
"GD2OK","asynch","ORTH-45",3,0,"45","ORTH"
"GD2OK","asynch","ORTH-45",4,0,"45","ORTH"
"GD2OK","asynch","ORTH-45",5,0,"45","ORTH"
"GD2OK","asynch","ORTH-45",6,0,"45","ORTH"
"GD2OK","asynch","ORTH-45",7,0,"45","ORTH"
"GD2OK","asynch","ORTH-45",8,0,"45","ORTH"
"GD2OK","asynch","ORTH-45",9,0,"45","ORTH"
"GD2OK","asynch","ORTH-45",10,0,"45","ORTH"
"GD2OK","asynch","ORTH-45",11,0,"45","ORTH"
"GD2OK","asynch","ORTH-45",12,0,"45","ORTH"
"GD2OK","asynch","ORTH-45",13,0,"45","ORTH"
"SCB5T","asynch","ORTH-45",1,0,"45","ORTH"
"SCB5T","asynch","ORTH-45",2,0,"45","ORTH"
"SCB5T","asynch","ORTH-45",3,0,"45","ORTH"
"SCB5T","asynch","ORTH-45",4,0,"45","ORTH"
"SCB5T","asynch","ORTH-45",5,1,"45","ORTH"
"SCB5T","asynch","ORTH-45",6,1,"45","ORTH"
"SCB5T","asynch","ORTH-45",7,1,"45","ORTH"
"SCB5T","asynch","ORTH-45",8,1,"45","ORTH"
"SCB5T","asynch","ORTH-45",9,1,"45","ORTH"
"SCB5T","asynch","ORTH-45",10,1,"45","ORTH"
"SCB5T","asynch","ORTH-45",11,1,"45","ORTH"
"SCB5T","asynch","ORTH-45",12,1,"45","ORTH"
"SCB5T","asynch","ORTH-45",13,1,"45","ORTH"
"0KDXV","asynch","ORTH-45",1,0,"45","ORTH"
"0KDXV","asynch","ORTH-45",2,0,"45","ORTH"
"0KDXV","asynch","ORTH-45",3,0,"45","ORTH"
"0KDXV","asynch","ORTH-45",4,0,"45","ORTH"
"0KDXV","asynch","ORTH-45",5,0,"45","ORTH"
"0KDXV","asynch","ORTH-45",6,0,"45","ORTH"
"0KDXV","asynch","ORTH-45",7,0,"45","ORTH"
"0KDXV","asynch","ORTH-45",8,0,"45","ORTH"
"0KDXV","asynch","ORTH-45",9,0,"45","ORTH"
"0KDXV","asynch","ORTH-45",10,0,"45","ORTH"
"0KDXV","asynch","ORTH-45",11,0,"45","ORTH"
"0KDXV","asynch","ORTH-45",12,0,"45","ORTH"
"0KDXV","asynch","ORTH-45",13,0,"45","ORTH"
"WHNRQ","asynch","ORTH-45",1,0,"45","ORTH"
"WHNRQ","asynch","ORTH-45",2,0,"45","ORTH"
"WHNRQ","asynch","ORTH-45",3,0,"45","ORTH"
"WHNRQ","asynch","ORTH-45",4,0,"45","ORTH"
"WHNRQ","asynch","ORTH-45",5,0,"45","ORTH"
"WHNRQ","asynch","ORTH-45",6,0,"45","ORTH"
"WHNRQ","asynch","ORTH-45",7,0,"45","ORTH"
"WHNRQ","asynch","ORTH-45",8,0,"45","ORTH"
"WHNRQ","asynch","ORTH-45",9,0,"45","ORTH"
"WHNRQ","asynch","ORTH-45",10,0,"45","ORTH"
"WHNRQ","asynch","ORTH-45",11,0,"45","ORTH"
"WHNRQ","asynch","ORTH-45",12,0,"45","ORTH"
"WHNRQ","asynch","ORTH-45",13,0,"45","ORTH"
"YZN1M","asynch","ORTH-45",1,1,"45","ORTH"
"YZN1M","asynch","ORTH-45",2,2,"45","ORTH"
"YZN1M","asynch","ORTH-45",3,3,"45","ORTH"
"YZN1M","asynch","ORTH-45",4,4,"45","ORTH"
"YZN1M","asynch","ORTH-45",5,4,"45","ORTH"
"YZN1M","asynch","ORTH-45",6,5,"45","ORTH"
"YZN1M","asynch","ORTH-45",7,6,"45","ORTH"
"YZN1M","asynch","ORTH-45",8,7,"45","ORTH"
"YZN1M","asynch","ORTH-45",9,8,"45","ORTH"
"YZN1M","asynch","ORTH-45",10,9,"45","ORTH"
"YZN1M","asynch","ORTH-45",11,10,"45","ORTH"
"YZN1M","asynch","ORTH-45",12,11,"45","ORTH"
"YZN1M","asynch","ORTH-45",13,12,"45","ORTH"
"CBCXK","asynch","ORTH-45",1,0,"45","ORTH"
"CBCXK","asynch","ORTH-45",2,0,"45","ORTH"
"CBCXK","asynch","ORTH-45",3,0,"45","ORTH"
"CBCXK","asynch","ORTH-45",4,0,"45","ORTH"
"CBCXK","asynch","ORTH-45",5,0,"45","ORTH"
"CBCXK","asynch","ORTH-45",6,0,"45","ORTH"
"CBCXK","asynch","ORTH-45",7,0,"45","ORTH"
"CBCXK","asynch","ORTH-45",8,0,"45","ORTH"
"CBCXK","asynch","ORTH-45",9,0,"45","ORTH"
"CBCXK","asynch","ORTH-45",10,0,"45","ORTH"
"CBCXK","asynch","ORTH-45",11,0,"45","ORTH"
"CBCXK","asynch","ORTH-45",12,0,"45","ORTH"
"CBCXK","asynch","ORTH-45",13,0,"45","ORTH"
