"subject","condition","term","mode","q","response","question"
"A9CZD","111","spring18","lab-synch",16,"There are two diagonal lines leading away from 12PM. The one towards the left means any events ending at 12pm and one towards the right is any events starting at 12pm. You can follow the right line to see that M and L both start at 12pm since they are both on this line.","Please describe how to determine what event(s) start at 12pm?"
"Q8EDD","111","spring18","lab-synch",16,"you look at the time on the bottom and then look at what dots are on that line","Please describe how to determine what event(s) start at 12pm?"
"W7EBS","111","spring18","lab-synch",16,"Find the point of 12 PM at x axis and the line that begins at this point and positive","Please describe how to determine what event(s) start at 12pm?"
"EGP0T","111","spring18","lab-synch",16,"lOOK AT THE X-AXIS FOR 12 PM AND SEE THE DOTS THAT MATCH UP WITH IT.","Please describe how to determine what event(s) start at 12pm?"
"CK5DF","111","spring18","lab-synch",16,"Read the x axis indicated start and end time. Upon reaching the 12 pm marker read vertically upward. The dots that fall on this line are those starting at 12 pm. They end at a time indicated by the y axis which reads duration (in hours).","Please describe how to determine what event(s) start at 12pm?"
"9BBMD","111","spring18","lab-synch",16,"find 12pm on the x axis and see which plot points are above it","Please describe how to determine what event(s) start at 12pm?"
"UX4QZ","111","spring18","lab-synch",16,"look up 12 on the x axis and then follow from that point up the y axis.","Please describe how to determine what event(s) start at 12pm?"
"GQ35Z","111","spring18","lab-synch",16,"Any event that is on a positive sloped line intersecting 12pm or any event whose x-coordinate shifted to the left by their (y-coordinate divided by 2) is 12pm.","Please describe how to determine what event(s) start at 12pm?"
"WKBNA","111","spring18","lab-synch",16,"Start at 12 PM on the horizontal axis and then follow the line angled toward the right.","Please describe how to determine what event(s) start at 12pm?"
"F3GZE","111","spring18","lab-synch",16,"Start at 12 from the bottom of the graph (x-axis) and follow the line that goes up and towards the right.","Please describe how to determine what event(s) start at 12pm?"
"X9PTQ","111","spring18","lab-synch",16,"By looking at the X axis of the graph","Please describe how to determine what event(s) start at 12pm?"
"5GELG","113","spring18","lab-synch",16,"Look at where 12 pm is and the events lined up along that vertical axis start at 12 pm","Please describe how to determine what event(s) start at 12pm?"
"FJV2A","113","spring18","lab-synch",16,"Look at the x-axis and then look at the point; the x-coordinate of the point. For example look at 12 pm on the x-axis and then follow it straight up and once you reach the points those points start at 12 pm. So for 12 pm it would be shifts B and F.","Please describe how to determine what event(s) start at 12pm?"
"J1JP6","111","spring18","lab-synch",16,"I would look along the x- axis until i see 12pm. Then I look up the y-axis to see which shift would begin at that time.","Please describe how to determine what event(s) start at 12pm?"
"ELUPZ","113","spring18","lab-synch",16,"You determine what events start at 12 pm by looking at whether there is a black dot there which signifies that someone started a shift at that time or you trace the duration of hours along with the black dots at different hours to see if someone is supposed to have a break there.","Please describe how to determine what event(s) start at 12pm?"
"6Y93F","111","spring18","lab-synch",16,"By looking at the x axis and seeing which point coincides with the time 12pm","Please describe how to determine what event(s) start at 12pm?"
"93XU7","113","spring18","lab-synch",16,"Each shift starts at 8am to 8pm and we look at the start and end time specifically at 12. We noticed that B and F are lined up making them the start","Please describe how to determine what event(s) start at 12pm?"
"DK1EM","113","spring18","lab-synch",16,"F and B make a vertical line at 12pm and look for the points in the line.","Please describe how to determine what event(s) start at 12pm?"
"8FE87","113","spring18","lab-synch",16,"Events that have a dot that is directly vertical to the 12pm mark.","Please describe how to determine what event(s) start at 12pm?"
"CSU5Z","113","spring18","lab-synch",16,"whatever event(s) is/are directly above 12 pm start(s) at 12 pm","Please describe how to determine what event(s) start at 12pm?"
"SQ6AK","113","spring18","lab-synch",16,"In one case I could ignore the given lines and base it off of imaginary lines I made that follow the marks on the X-axis vertically. In another case I could follow the lines of the graph which leads to that specific event. (In this case M). I had trouble in the process interpreting the graph and have done both ways....","Please describe how to determine what event(s) start at 12pm?"
"0CR6Z","113","spring18","lab-synch",16,"spot the 12pm mark on the horizontal axis trace the line that begins from 12pm mark in the triangle that is oriented towards the right any letter dots that falls along this particular line start at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"X2QZK","113","spring18","lab-synch",16,"Look at the bottom axis of the graph that says START & END TIME. Find 12PM and look directly above it to see if any events land within that area. For this graph events B and F start at 12PM.","Please describe how to determine what event(s) start at 12pm?"
"083AY","113","winter22","asynch",16,"To look at 12 pm on the X axis and see if the letter connects on the left side. Or to look at the right line connected to 12 pm ","Please describe how to determine what event(s) start at 12pm?"
"94K5U","114","winter22","asynch",16,"look at any number that lies on the x axis","Please describe how to determine what event(s) start at 12pm?"
"RC56M","113","winter22","asynch",16,"Look at 12 PM, then look at the points directly above it. ","Please describe how to determine what event(s) start at 12pm?"
"0PWK1","114","winter22","asynch",16,"Look at dot","Please describe how to determine what event(s) start at 12pm?"
"7LZSC","113","winter22","asynch",16,"The points on the graph describes the midpoint of the shift. For example, shift F has a midpoint of 12pm, and a duration of 4 hours. The left leg of triangle formed by shift F is the start time, and the right leg of this triangle is the end time. So, the shifts that start at 12pm will have 12pm as the left leg of their respective triangles. Such events are shifts M and L. (this took me a little while to understand LOL)","Please describe how to determine what event(s) start at 12pm?"
"CWH23","115","winter22","asynch",16,"find which points' x coordinate is at 12pm","Please describe how to determine what event(s) start at 12pm?"
"4B6X2","113","winter22","asynch",16,"See which dots line up on the 12pm axis, those are the ones that start at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"FPRRA","114","winter22","asynch",16,"By looking for the dots that are above 12pm on the x-axis","Please describe how to determine what event(s) start at 12pm?"
"8AUHN","114","winter22","asynch",16,"By looking at the graph, move up vertically from where twelve starts.","Please describe how to determine what event(s) start at 12pm?"
"O6GWD","115","winter22","asynch",16,"Look for the dots that are in the same column as 12pm","Please describe how to determine what event(s) start at 12pm?"
"VHPYT","114","winter22","asynch",16,"X axis shows","Please describe how to determine what event(s) start at 12pm?"
"P9X0D","115","winter22","asynch",16,"Find '12pm' on x axis, and then track straight upwards.","Please describe how to determine what event(s) start at 12pm?"
"FL59D","115","winter22","asynch",16,"look for points (12,y)","Please describe how to determine what event(s) start at 12pm?"
"YNU5W","115","winter22","asynch",16,"look at the 12pm mark on the x-axis, and go up that line to find which events start at 12pm - F and B.","Please describe how to determine what event(s) start at 12pm?"
"2Q0L8","115","winter22","asynch",16,"look directly above the 12PM marker on the x-axis","Please describe how to determine what event(s) start at 12pm?"
"Z8FS2","114","winter22","asynch",16,"By looking at the x-axis where 12 PM is","Please describe how to determine what event(s) start at 12pm?"
"E6XLL","115","winter22","asynch",16,"Anything that calls within the line within 12pm","Please describe how to determine what event(s) start at 12pm?"
"G1HAT","115","winter22","asynch",16,"look for 12pm on the x-axis and then look which points on the graph line up with it","Please describe how to determine what event(s) start at 12pm?"
"TZWD6","114","winter22","asynch",16,"The event(s) that start at 12pm are the one's where the half-time point is on the line of 12pm. So M for instance has it's break at 12:30 pm and ends at 1pm but the start time is 12pm. L also starts at 12pm, and it's half-way mark is at 3:30 pm and then ends at 7pm.","Please describe how to determine what event(s) start at 12pm?"
"WDBTE","113","winter22","asynch",16,"I check where the triangle begins after a point.","Please describe how to determine what event(s) start at 12pm?"
"48K15","114","winter22","asynch",16,"Two events start at 12. To determine which ones, I looked for the time of day and moved up","Please describe how to determine what event(s) start at 12pm?"
"TV3OW","115","winter22","asynch",16,"Look at the vertical line at 12 PM","Please describe how to determine what event(s) start at 12pm?"
"GKW6O","115","winter22","asynch",16,"look the 12pm on x axis, and look the right line start from 12pm","Please describe how to determine what event(s) start at 12pm?"
"EJOHQ","113","winter22","asynch",16,"Look at the x-axis and look for what shifts start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"FPNC8","115","winter22","asynch",16,"points that are located above 12pm ","Please describe how to determine what event(s) start at 12pm?"
"EMTF9","114","winter22","asynch",16,"","Please describe how to determine what event(s) start at 12pm?"
"L1F8V","113","winter22","asynch",16,"you go to 12pm on the x axis, and then go up to the right. so m and l start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"XLXST","114","winter22","asynch",16,"look at which points are directly above the 12 PM mark","Please describe how to determine what event(s) start at 12pm?"
"HW7XP","113","winter22","asynch",16,"The events that are on the rightwards diagonal line from 12pm","Please describe how to determine what event(s) start at 12pm?"
"HKBZP","114","winter22","asynch",16,"The dots that line up vertically with the 12 pm on the horizontal axis","Please describe how to determine what event(s) start at 12pm?"
"R6HT7","114","winter22","asynch",16,"To determine what events start at 12 pm, we must look along the axis of the start and end time and navigate upward from the tick labeled 12 pm. ","Please describe how to determine what event(s) start at 12pm?"
"1TMX1","114","winter22","asynch",16,"You can go to the x axis and see what time the event starts. At 12pm is where you can see which event starts.","Please describe how to determine what event(s) start at 12pm?"
"LUAJV","114","winter22","asynch",16,"Look at the 12pm at the x-axis and then go straight up to see if any event points line up.","Please describe how to determine what event(s) start at 12pm?"
"MC1SJ","115","winter22","asynch",16,"Find ""12pm"" on the x-axis and follow the line upwards until you see if any dots fall on that line. ","Please describe how to determine what event(s) start at 12pm?"
"WKLV8","114","winter22","asynch",16,"Look at 12 pm and go upwards and see which dots land on that time ","Please describe how to determine what event(s) start at 12pm?"
"0YUQD","115","winter22","asynch",16,"Look at the diamond that has the bottom corner at 12 pm on the x axis; look at any points that are on the ends of the diamonds on top of it","Please describe how to determine what event(s) start at 12pm?"
"P4CNG","114","winter22","asynch",16,"move vertically from 12","Please describe how to determine what event(s) start at 12pm?"
"5N02T","115","winter22","asynch",16,"look at the x axis","Please describe how to determine what event(s) start at 12pm?"
"U9386","113","winter22","asynch",16,"I looked for 12pm on the x-axis then followed what was directly above it","Please describe how to determine what event(s) start at 12pm?"
"FGQ0U","115","winter22","asynch",16,"Look at the x axis for time and follow it up the y axis","Please describe how to determine what event(s) start at 12pm?"
"O3FRB","113","winter22","asynch",16,"follow the right line dividing from 12pm at the bottom and look at the shifts sharing the line ","Please describe how to determine what event(s) start at 12pm?"
"LYQ1C","114","winter22","asynch",16,"Look at the 12 pm mark on the x axis and move your cursor up to see which points land on it","Please describe how to determine what event(s) start at 12pm?"
"W6JFA","115","winter22","asynch",16,"Find 12PM on the x-axis and then draw a perpendicular line to the x-axis at 12pm point. All points that intercept with the perpendicular line are the events.","Please describe how to determine what event(s) start at 12pm?"
"ZP1H3","113","winter22","asynch",16,"i check the letter thats diagonally from the start time and check the other before it by looking at start time and duration hours to determine all","Please describe how to determine what event(s) start at 12pm?"
"VM0LE","114","winter22","asynch",16,"if the dot is at the 12pm point","Please describe how to determine what event(s) start at 12pm?"
"LS40A","114","winter22","asynch",16,"By looking at which black dot falls on the horizontal line of the graph","Please describe how to determine what event(s) start at 12pm?"
"XSQFF","115","winter22","asynch",16,"go up from 12 PM at the x=axis and you see that both F and B points fall on that line","Please describe how to determine what event(s) start at 12pm?"
"65T7K","115","winter22","asynch",16,"You have to look at the x-axis which is what time of day the shifts start/finish. Once you find 12pm, you look straight up and see which letters start at 12. ","Please describe how to determine what event(s) start at 12pm?"
"2XJVP","115","winter22","asynch",16,"look at x axis and find the 12 pm follow up to view point that start at that time","Please describe how to determine what event(s) start at 12pm?"
"O22H1","113","winter22","asynch",16,"look at 12 PM on the x-axis and move straight up from there","Please describe how to determine what event(s) start at 12pm?"
"B29JJ","114","winter22","asynch",16,"Find 12pm, follow right diagonal line upwards","Please describe how to determine what event(s) start at 12pm?"
"X96N8","113","winter22","asynch",16,"reading the titles of the x and y axis","Please describe how to determine what event(s) start at 12pm?"
"2CD0Y","114","winter22","asynch",16,"By looking at the starting and end times line (x-axis).","Please describe how to determine what event(s) start at 12pm?"
"LC4NL","114","winter22","asynch",16,"M and L start at 12 because the line moves upwards diagonally","Please describe how to determine what event(s) start at 12pm?"
"WVFVS","113","winter22","asynch",16,"You follow the diagonal line slanting to the right that is starting at the 12pm marker; all nodes along that line begin at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"G1N7P","114","winter22","asynch",16,"You look at 12 pm and draw a line straight up","Please describe how to determine what event(s) start at 12pm?"
"MJQ8K","114","winter22","asynch",16,"Just look at the points above 12pm on the x axis","Please describe how to determine what event(s) start at 12pm?"
"WA4UC","113","winter22","asynch",16,"By looking at the x-axis, which is where it tells the start and end time of the day and where there are bullets with letters to determine the the start of shifts.","Please describe how to determine what event(s) start at 12pm?"
"20LM4","113","winter22","asynch",16,"Go straight up from 12 pm and count (F and B)","Please describe how to determine what event(s) start at 12pm?"
"07FGZ","114","winter22","asynch",16,"scan directly above 12pm on the x axis","Please describe how to determine what event(s) start at 12pm?"
"FTSLP","114","winter22","asynch",16,"12pm X-axis, a dot at that point means it starts at 12pm","Please describe how to determine what event(s) start at 12pm?"
"GE074","113","winter22","asynch",16,"find 12pm on the bottom axis and follow the diagonal line that goes up and to the right. all points on this line start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"9VRD5","115","winter22","asynch",16,"I look at the x-axis (which is labelled with Start and End Time) and identify which point says 12 PM and look at the points whose x-coordinate is 12 PM (which is F and B)","Please describe how to determine what event(s) start at 12pm?"
"EK80Y","113","winter22","asynch",16,"Follow where the dots are all the way down to the point on the x-axis, for example B and F both line up at 12PM vertically","Please describe how to determine what event(s) start at 12pm?"
"0W4LT","115","winter22","asynch",16,"Draw a vertical line at the 12pm mark (x-axis) then see which points meet the vertical line.","Please describe how to determine what event(s) start at 12pm?"
"MWKLJ","115","winter22","asynch",16,"You look at the bottom, where it says Start and End Time (Time of Day). From there, look for 12pm and find on the graph going up the y axis.","Please describe how to determine what event(s) start at 12pm?"
"THY2W","114","winter22","asynch",16,"Whichever letters are above the 12pm tick","Please describe how to determine what event(s) start at 12pm?"
"E9RR1","114","winter22","asynch",16,"Look at the graph.","Please describe how to determine what event(s) start at 12pm?"
"VB72C","114","winter22","asynch",16,"Look at x = 12 and find the number of points located there","Please describe how to determine what event(s) start at 12pm?"
"2Q16G","113","winter22","asynch",16,"I look at the 12pm on X axis and follow the line upward and count the dots in that ""line"" I make with my finger","Please describe how to determine what event(s) start at 12pm?"
"XAV9T","114","winter22","asynch",16,"Check the X axis and then see which one aligns vertically with 12pm","Please describe how to determine what event(s) start at 12pm?"
"CSJL3","113","winter22","asynch",16,"Look at the horizontal axis where the graph says 'start and end time'","Please describe how to determine what event(s) start at 12pm?"
"7116F","113","winter22","asynch",16,"The two that are vertically positioned above 12 (F and B)","Please describe how to determine what event(s) start at 12pm?"
"0L78J","113","winter22","asynch",16,"we have to consider the duration of shifts that have started prior to 12 pm to see if anyone is due for their coffee break","Please describe how to determine what event(s) start at 12pm?"
"3UG8D","113","winter22","asynch",16,"You find the 12pm mark on the horizontal axis, any points on the vertical line going up from that 12pm mark represent events that start then.","Please describe how to determine what event(s) start at 12pm?"
"ANTK9","114","winter22","asynch",16,"Look at the bottom and see the time listed.","Please describe how to determine what event(s) start at 12pm?"
"2PQSA","113","winter22","asynch",16,"look for the dots on the liner that starts at 12pm and going up to the right","Please describe how to determine what event(s) start at 12pm?"
"6JR8O","115","winter22","asynch",16,"Using the diagonal lines: using the right slanted line I infer that M and L start their work shift; while B and F are taking their coffee break, indicated by the break in the halfway point lines. ","Please describe how to determine what event(s) start at 12pm?"
"5R6NL","114","winter22","asynch",16,"the dots that are above 12pm ","Please describe how to determine what event(s) start at 12pm?"
"HQDQA","115","winter22","asynch",16,"At 12pm B and F start their shifts","Please describe how to determine what event(s) start at 12pm?"
"CKA0U","113","winter22","asynch",16,"Find 12pm at bottom of pyramid, then any letters directly above start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"EZNZE","115","winter22","asynch",16,"looking at x diagonally","Please describe how to determine what event(s) start at 12pm?"
"WYEDM","113","winter22","asynch",16,"The dots indicate the start times for the factory workers. Where they are placed on the graph are the duration of the shift time that they have.","Please describe how to determine what event(s) start at 12pm?"
"A3KVH","115","winter22","asynch",16,"Look at 12 pm on x axis and go up from theew","Please describe how to determine what event(s) start at 12pm?"
"ZE04Q","115","winter22","asynch",16,"pBy finding points that align with 12 pm on the x-axis. So finding 12 pm on the x-axis and draws a vertical line upward. The points that are on this vertical line start at 12 pm. ","Please describe how to determine what event(s) start at 12pm?"
"TJ0BP","114","winter22","asynch",16,"We look at the 12pm mark and follow it v ertically
","Please describe how to determine what event(s) start at 12pm?"
"U8NSH","114","winter22","asynch",16,"find points that are at 12pm on the x-axis (start and end time, time of day)","Please describe how to determine what event(s) start at 12pm?"
"AK4Z3","114","winter22","asynch",16,"check the point in the vertical line of 12 PM","Please describe how to determine what event(s) start at 12pm?"
"9QTG7","114","winter22","asynch",16,"i been about the patarens ","Please describe how to determine what event(s) start at 12pm?"
"MC4Z2","115","winter22","asynch",16,"By looking at the x axis ","Please describe how to determine what event(s) start at 12pm?"
"2EPNM","115","winter22","asynch",16,"Find 12 on the x-axis then go up the y-axis to see which points intersect ","Please describe how to determine what event(s) start at 12pm?"
"KD07H","115","winter22","asynch",16,"Go on the x-axis to find 12pm and travel up the y-axis to find the plots at that time (B & F)  ","Please describe how to determine what event(s) start at 12pm?"
"WL6L1","114","winter22","asynch",16,"on the x-axis it tell us the time when the shifts start and anything on the vertical line of that will be starting their shifts at the same time.","Please describe how to determine what event(s) start at 12pm?"
"5012K","113","winter22","asynch",16,"Events that start at 12pm have an x-coordinate of 12pm, regardless of the y-coordinate on the graph. So, once you have located 12pm on the x-axis, any shift directly above it starts then.","Please describe how to determine what event(s) start at 12pm?"
"U2F64","113","winter22","asynch",16,"Both F and B will begin their respective shifts ","Please describe how to determine what event(s) start at 12pm?"
"PN87Q","115","winter22","asynch",16,"the line on 12pm that shoots out to the right","Please describe how to determine what event(s) start at 12pm?"
"6G4E2","114","winter22","asynch",16,"BY checking who is working and where are they working at.","Please describe how to determine what event(s) start at 12pm?"
"702QC","113","winter22","asynch",16,"look to the start of day at the bottom and trace up","Please describe how to determine what event(s) start at 12pm?"
"HFQY1","114","winter22","asynch",16,"Follow the right diagonal line at the 12 PM x-coordinate and see which points fall on that line (M and L).","Please describe how to determine what event(s) start at 12pm?"
"JJ8JL","113","winter22","asynch",16,"go to 12 on the start and end axis and follow the line going up and to the right. any of the points on that line start at 12","Please describe how to determine what event(s) start at 12pm?"
"BA0WS","115","winter22","asynch",16,"Look at bottom (12PM) then look up","Please describe how to determine what event(s) start at 12pm?"
"RT8OF","113","winter22","asynch",16,"Look up from 12pm on the bottom axis
","Please describe how to determine what event(s) start at 12pm?"
"1S6DV","113","winter22","asynch",16,"By looking at the x (horizontal) axis and see which dots are aligned with the 12 p.m point on said axis","Please describe how to determine what event(s) start at 12pm?"
"L627C","115","winter22","asynch",16,"I first look at for the beginning time (12:00 pm) on the x-axis and then see which events are placed to begin along that x value","Please describe how to determine what event(s) start at 12pm?"
"PKTN1","113","winter22","asynch",16,"You look down at the x axis to find 12 pm. Any dots vertically above this time, start at this time.","Please describe how to determine what event(s) start at 12pm?"
"AOTXC","113","winter22","asynch",16,"The line that falls in 12pm","Please describe how to determine what event(s) start at 12pm?"
"075KR","115","winter22","asynch",16,"B,F","Please describe how to determine what event(s) start at 12pm?"
"U951F","115","winter22","asynch",16,"Look at the shifts that are at 12 PM on the x axis","Please describe how to determine what event(s) start at 12pm?"
"PQ57O","115","winter22","asynch",16,"looking at the x axis for the time and going looking at the dots vertically that line up with 12 pm","Please describe how to determine what event(s) start at 12pm?"
"ZD2Q8","115","winter22","asynch",16,"See availability for 12pm first. ","Please describe how to determine what event(s) start at 12pm?"
"N3APK","113","winter22","asynch",16,"locate 12pm on x axis and find shift on graph ","Please describe how to determine what event(s) start at 12pm?"
"5O1D5","114","winter22","asynch",16,"You look at the x axis and see where the points lie based on the times on the axis. ","Please describe how to determine what event(s) start at 12pm?"
"Q77EC","113","winter22","asynch",16,"Starting from the bottom of the graph, find 12pm and looking vertically up you can find if there are any dots there and if there are then that means the event starts at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"O1ULC","114","winter22","asynch",16,"look at the x-axis line and find 12 pm then move diagonally to the right line and see which letters are on that line","Please describe how to determine what event(s) start at 12pm?"
"Y7K66","114","winter22","asynch",16,"look up the vertical axis at 12 pm on the x axis
","Please describe how to determine what event(s) start at 12pm?"
"XS4C2","114","winter22","asynch",16,"observe the pyramid
","Please describe how to determine what event(s) start at 12pm?"
"1NXAS","115","winter22","asynch",16,"Look at the time at the bottom and see what shifts (letters) align","Please describe how to determine what event(s) start at 12pm?"
"WVWN4","113","winter22","asynch",16,"you look for 12 PM on the x-axis and move up that line. when going up, you see that the data point for both B and F land on the line for shifts that start at 12 PM","Please describe how to determine what event(s) start at 12pm?"
"TSTSC","114","winter22","asynch",16,"following the diagonal line that starts at 12 and goes upward - the events that start at 12 are dots that fall on that line ","Please describe how to determine what event(s) start at 12pm?"
"7FMA3","115","winter22","asynch",16,"locate 12 pm on the axis and follow along up the y axis to find the coordinates
","Please describe how to determine what event(s) start at 12pm?"
"CO93T","114","winter22","asynch",16,"Which events are horizontally aligned with 12pm's position on the x-axis","Please describe how to determine what event(s) start at 12pm?"
"Y6HX2","114","winter22","asynch",16,"Look at the points that align at with 12PM on the x-axis.","Please describe how to determine what event(s) start at 12pm?"
"HUXZ9","114","winter22","asynch",16,"To determine the events that start at 12pm, you look along the X-axis (Start and End time) till you see 12pm then go up and if there's a dot that means there is an event during that time.","Please describe how to determine what event(s) start at 12pm?"
"4VG00","115","winter22","asynch",16,"look at the y-axis of the graph
","Please describe how to determine what event(s) start at 12pm?"
"EMDA3","113","winter22","asynch",16,"because the graph is based on diagonals, you go to the 12pm mark on the x-axis and then travel up and right on the diagonal from that point until you reach a point.","Please describe how to determine what event(s) start at 12pm?"
"UWK3M","114","winter22","asynch",16,"Follow 12pm from the X axis up and see which letters correspond","Please describe how to determine what event(s) start at 12pm?"
"UJUMO","114","winter22","asynch",16,"Find 12pm, look at the diagonal line that goes from 12pm to the right-top. Any point on this line starts at 12pm.","Please describe how to determine what event(s) start at 12pm?"
"VRF74","115","winter22","asynch",16,"F and B shifts start at 12 pm, by following the time axis going all the way up and see its intersections with any shift","Please describe how to determine what event(s) start at 12pm?"
"1QH5E","115","winter22","asynch",16,"You look at which letters have a dot point at 12pm. ","Please describe how to determine what event(s) start at 12pm?"
"M5UZ2","114","winter22","asynch",16,"You go to the start and end time x axis and find 12pm, then follow the little hashmark straight up until you find dots that correspond to the designated time. ","Please describe how to determine what event(s) start at 12pm?"
"8DH5Q","113","winter22","asynch",16,"Use the bottom of the graph and scale up.","Please describe how to determine what event(s) start at 12pm?"
"YQWHV","115","winter22","asynch",16,"go to 12pm on x axis
","Please describe how to determine what event(s) start at 12pm?"
"E8SFZ","115","winter22","asynch",16,"the x axis","Please describe how to determine what event(s) start at 12pm?"
"HYHQ0","114","winter22","asynch",16,"You look at the X-axis and find the 12 pm mark. Then you go up vertically to see which dots fall on the imaginary line that marks 12 pm. The two that would are F and B. ","Please describe how to determine what event(s) start at 12pm?"
"B40T1","114","winter22","asynch",16,"I just look at the x-axis, but actually I do not really know how to ","Please describe how to determine what event(s) start at 12pm?"
"DTCXX","115","winter22","asynch",16,"look at 12pm and look up","Please describe how to determine what event(s) start at 12pm?"
"NUUUY","113","winter22","asynch",16,"I followed the lines connected to 12pm till I found points M and L since the line connected to the points was the furthest to the left I assumed that was the start time.","Please describe how to determine what event(s) start at 12pm?"
"T1CDA","115","winter22","asynch",16,"Looking at the Y-Axis in alignment with 12pm on the X-Axis","Please describe how to determine what event(s) start at 12pm?"
"DXD82","115","winter22","asynch",16,"look at 12pm on the x-axis and follow the graph up","Please describe how to determine what event(s) start at 12pm?"
"NTBWZ","113","winter22","asynch",16,"You look at the bottom of the pyramid, find 12 pm, and then see which dots lay above 12 pm.","Please describe how to determine what event(s) start at 12pm?"
"2QTH0","114","winter22","asynch",16,"B and F start at 12pm","Please describe how to determine what event(s) start at 12pm?"
"35MZ0","115","winter22","asynch",16,"You follow the x-axis and find the unit marked at 12 PM. Each point on y when x = 12 PM is an event","Please describe how to determine what event(s) start at 12pm?"
"100LQ","113","winter22","asynch",16,"I look at the 12 pm along the x-axis and then see which dots land along that point vertically.","Please describe how to determine what event(s) start at 12pm?"
"SQZ9U","113","winter22","asynch",16,"Look at an imaginary line that goes directly up from 12.","Please describe how to determine what event(s) start at 12pm?"
"8V2SA","113","winter22","asynch",16,"you look along the line at 12 that goes diagonally up and to the right ","Please describe how to determine what event(s) start at 12pm?"
"MD90A","114","winter22","asynch",16,"find 12pm on the horizontal axis, then go up until you find the letters on that line, i.e. f and b","Please describe how to determine what event(s) start at 12pm?"
"LR36O","115","winter22","asynch",16,"you look at the x-axis as it is labeled start and end time and look at what points are aligned to 12 pm on the x axis.","Please describe how to determine what event(s) start at 12pm?"
"KC3AQ","114","winter22","asynch",16,"where the marker is","Please describe how to determine what event(s) start at 12pm?"
"1NKF3","115","winter22","asynch",16,"Look at the x-axis of the graph and see which event lies at 12pm","Please describe how to determine what event(s) start at 12pm?"
"QN1M5","115","winter22","asynch",16,"IMagining a vertical line that passes vertically through the 12pm mark on the horizontal axis","Please describe how to determine what event(s) start at 12pm?"
