"subject","condition","pretty_condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_mode","s_TRI","s_ORTH","s_TVERSKY","s_SATISFICE","s_REF","s_ABS","s_NABS","s_SCALED","DV_percent_NABS","rt_m","item_avg_rt","item_min_rt","item_max_rt","item_n_TRI","item_n_ORTH","item_n_TV","item_n_SAT","item_n_OTHER","item_n_POS","item_n_NEG","item_n_NEUTRAL","item_q1_NABS","item_q1_SCALED","item_q1_interpretation","item_q1_rt","item_q5_NABS","item_q5_SCALED","item_q5_interpretation","item_q5_rt","item_q7_NABS","item_q7_interpretation","item_q7_rt","item_q15_NABS","item_q15_interpretation","item_q15_rt","item_scaffold_NABS","item_scaffold_SCALED","item_scaffold_rt","item_test_NABS","item_test_SCALED","item_test_rt"
"2B605","114","Orth-Sparse","summer22","asynch","Female",20,"Mandarin","Third","China","I tried my best on each question","3","3","4","I think it's most difficult to calculate which two share the same coffee break because I have to go back and look at each event to calculate their coffee break time.","No",7.95653333333333,"1","chrome","1511","694","online-replication",-0.514750935339171,12.4333333333333,0.157320620555915,0,0,0,0,-13,0,4.66275,21.5203846153846,4.871,40.015,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",11.649,0,-1,"Orthogonal",34.768,0,"Orthogonal",20.898,0,"Orthogonal",40.015,0,-5,1.65141666666667,0,-8,3.01133333333333
"2BBZ9","111","Orth-Full","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.39085,"NULL","NULL","NULL","NULL","laboratory",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,9.53566666666667,44.0107692307692,12.437,156.974,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",23.208,0,-1,"Orthogonal",156.974,0,"Orthogonal",20.594,0,"Orthogonal",26.737,0,-5,5.95416666666667,0,-8,3.5815
"2CD0Y","114","Orth-Sparse","winter22","asynch","Female",19,"Spanish","First","U.S.","I tried my best on each question","2","4","4","","",12.4818333333333,"1","chrome","1440","764","online-replication",0.110249064660829,10.8564102564103,-0.272193492781728,0,0,0,1,-10.5,0.0769230769230769,7.90975,36.5065384615385,3.373,165.033,1,11,0,0,1,0,1,0,0,-1,"Orthogonal",14.751,0,-0.5,"?",165.033,0,"Orthogonal",41.56,1,"Triangular",3.373,0,-4.5,4.82421666666667,1,-6,3.08553333333333
"2EPNM","115","Orth-Grid","winter22","asynch","Female",21,"English","Fourth","USA","I tried my best on most questions","2","3","3","","",8.75601666666667,"1","chrome","1440","755","online-replication",0.409491488903254,9.63974358974359,-0.889840551605257,0,0,1,1,-10,0.0769230769230769,6.16228333333333,28.4413076923077,6.969,63.382,1,10,0,0,2,0,2,0,0,-1,"Orthogonal",10.47,1,1,"Triangular",21.706,0,"Orthogonal",18.97,0,"Orthogonal",58.346,1,-2,1.81443333333333,0,-8,4.34785
"2F0D6","114","Orth-Sparse","winter22","asynch","Female",20,"English","Third","United States","I tried my best on each question","4","3","3","","I have a learning disability that impacts spelling and memorization. I sometimes have a hard time with word processing.",11.9207333333333,"2","chrome","1536","754","online-replication",0.476320493232258,8.19391025641026,0.267897543632838,0,0,1,1,-9,0.0769230769230769,6.44308333333333,29.7373076923077,10.02,74.113,1,9,0,0,3,0,2,1,0,-1,"Orthogonal",18.588,0,-0.5,"?",74.113,0,"Orthogonal",19.971,0,"Orthogonal",42.885,0,-3,2.34011666666667,1,-6,4.10296666666667
"2FRZX","111","Orth-Full","winter22","asynch","Female",21,"English","Fourth","USA","I tried my best on each question","3","4","4","The questions or instructions could have been a bit more clear to understand what is being asked better.","No",12.5145,"1","chrome","1920","969","online-replication",0.330487159898925,10.7461538461538,-0.538192199956906,0,0,0,0,-11,0,7.93118333333333,36.6054615384615,8.204,95.358,0,11,1,0,1,1,1,0,0,-1,"Orthogonal",17.643,0,-0.5,"?",95.358,0,"Orthogonal",20.136,0,"Orthogonal",40.219,0,-3,3.63835,0,-8,4.29283333333333
"2JRT6","111","Orth-Full","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",23.8553666666667,"NULL","NULL","NULL","NULL","laboratory",8.50115815556992,-1.18385585003232,5.81113984055161,0,0,4,4,2,0.307692307692308,16.26485,75.0685384615385,11.51,223.726,4,1,3,0,5,3,5,0,0,-1,"Orthogonal",37.902,1,1,"Triangular",29.908,1,"Triangular",68.712,1,"Triangular",13.077,2,1,5.41825,2,1,10.8466
"2KQFZ","111","Orth-Full","winter22","asynch","Female",21,"X-Other","Fourth","United States","I tried my best on each question","5","4","3","","",9.48961666666667,"1","chrome","1536","746","online-replication",-0.452250935339171,10.9230769230769,-0.660673884938591,0,0,0,0,-11.5,0,7.61588333333333,35.1502307692308,6.695,124.784,0,11,0,0,2,0,1,1,0,-1,"Orthogonal",23.474,0,-0.5,"?",124.784,0,"Orthogonal",31.895,0,"Orthogonal",26.268,0,-4.5,3.45533333333333,0,-7,4.16055
"2KWJH","114","Orth-Sparse","winter22","asynch","Male",21,"Mandarin","Fourth","Hong Kong","I tried my best on each question","3","4","4","","",5.32573333333333,"3","chrome","1440","707","online-replication",-0.514750935339171,13,-0.146250808015514,0,0,0,0,-13,0,3.5447,16.3601538461538,3.591,50.982,0,13,0,0,0,0,0,0,0,-1,"Orthogonal",10.598,0,-1,"Orthogonal",50.982,0,"Orthogonal",14.945,0,"Orthogonal",21.088,0,-5,1.52293333333333,0,-8,2.02176666666667
"2PQSA","113","Tri-Sparse","winter22","asynch","Male",18,"English","First","United States","I tried my best on each question","3","4","2","","",8.4372,"3","chrome","1920","961","online-replication",12.9333333333333,-0.611937082525318,8.08974358974359,0,0,12,12,12.5,0.923076923076923,4.80693333333333,22.1858461538462,7.058,70.912,12,0,1,0,0,1,0,0,1,1,"Triangular",38.398,1,1,"Triangular",20.12,1,"Triangular",35.07,1,"Triangular",12.958,5,5,1.82306666666667,7,7.5,2.98386666666667
"2Q0L8","115","Orth-Grid","winter22","asynch","Male",18,"English","Third","USA","I tried my best on most questions","3","3","2","","No",6.2114,"1","chrome","1440","789","online-replication",0.818420060331825,6.25641025641026,-0.138264921353157,0,0,1,1,-5,0.0769230769230769,3.7921,17.502,3.323,51.212,1,6,1,0,5,1,1,4,0,-1,"Orthogonal",11.962,1,1,"Triangular",11.335,0,"Orthogonal",15.19,0,"blank",8.376,1,-0.5,0.9995,0,-4.5,2.7926
"2Q16G","113","Tri-Sparse","winter22","asynch","Female",20,"English","Third","United States","I tried my best on most questions","4","2","2","This graph hurts my brain","no",15.2078833333333,"1","chrome","1194","710","online-replication",-0.023084268672504,9.76071428571429,0.478749191984486,0,0,0,0,-11.5,0,11.2748833333333,52.0379230769231,9.781,111.739,0,10,0,0,3,0,3,0,0,-1,"Orthogonal",34.698,0,-1,"Orthogonal",100.813,0,"frenzy",38.159,0,"Orthogonal",45.191,0,-5,4.91621666666667,0,-6.5,6.35866666666667
"2QTH0","114","Orth-Sparse","winter22","asynch","Female",21,"Mandarin","Third","China","I tried my best on most questions","3","3","3","","",4.62723333333333,"2","chrome","1364","685","online-replication",-0.473412127088598,2.97314964447317,1.78004471019177,0,0,1,1,-5.5,0.0769230769230769,2.2228,10.2590769230769,2.955,21.229,1,5,2,0,5,2,5,0,0,-0.5,"?",11.963,0,-0.5,"?",5.68,0,"Orthogonal",11.029,0,"Orthogonal",2.955,0,-1,1.0837,1,-4.5,1.1391
"2TZNG","115","Orth-Grid","summer22","asynch","Female",19,"X-Other","Second","USA","I tried my best on each question","2","5","5","","Not that I know of",6.91931666666667,"1.5","chrome","1194","839","online-replication",12.9230769230769,-0.62384184443008,8.08974358974359,0,0,12,12,12.5,0.923076923076923,3.57598333333333,16.5045384615385,5.359,51.982,12,0,1,0,0,1,0,0,0,0.5,"Tversky",38.831,1,1,"Triangular",13.802,1,"Triangular",13.541,1,"Triangular",11.926,4,4.5,1.6265,8,8,1.94948333333333
"2WLTY","113","Tri-Sparse","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question","5","1","5","","",9.5947,"2.5","chrome","1536","722","online-replication",4.24331501831502,-0.164913273001508,4.98573926073926,0,0,3,5,4,0.384615384615385,6.93608333333333,32.0126923076923,7.396,68.018,5,1,3,0,4,3,3,1,0,0.5,"Tversky",47.714,1,1,"Triangular",41.094,0,"Orthogonal",68.018,1,"Triangular",38.847,2,2.5,2.32503333333333,3,1.5,4.61105
"2X99M","114","Orth-Sparse","summer22","asynch","Male",21,"English","Third","USA","I tried my best on most questions","4","3","4","The graph was pretty hard to read in the beginning but got easier by the end after some practice.","No",8.08588333333333,"1","chrome","1920","937","online-replication",9.68290043290043,-0.72384184443008,6.94047619047619,0,0,10,10,9.5,0.769230769230769,4.59921666666667,21.2271538461538,8.441,54.982,10,0,1,0,2,1,2,0,1,1,"Triangular",26.804,0,0.5,"Tversky",54.982,1,"Triangular",34.876,1,"Triangular",10.743,2,1.5,2.36878333333333,8,8,2.23043333333333
"2XJVP","115","Orth-Grid","winter22","asynch","Female",19,"Spanish","Second","United States","I tried my best on most questions","3","1","3","","no",14.99165,"1","chrome","1440","789","online-replication",1.04774906466083,11.2939102564103,1.21722958414135,0,0,0,0,-9.5,0,10.7976333333333,49.8352307692308,11.221,159.473,0,10,1,0,2,2,1,0,0,-1,"Orthogonal",42.497,0,0.5,"both tri + orth",159.473,0,"Orthogonal",37.038,0,"?",41.581,0,-3.5,5.10268333333333,0,-6,5.69495
"2Y8XK","114","Orth-Sparse","winter22","asynch","Female",18,"Spanish","First","United States of America","I tried my best on each question","3","4","5","","No",27.2512166666667,"2","chrome","1536","746","online-replication",13,-0.540508511096746,8.08974358974359,0,0,13,13,13,1,16.39575,75.6726923076923,13.334,536.387,13,0,0,0,0,0,0,0,1,1,"Triangular",536.387,1,1,"Triangular",50.854,1,"Triangular",49.063,1,"Triangular",48.755,5,5,11.1664166666667,8,8,5.22933333333333
"304O6","113","Tri-Sparse","winter22","asynch","Female",30,"English","Third","United States","I tried my best on each question","5","2","1","The grid of the time pyramid diagram caused severe eye strain and triggered a migraine.","eye sensitivity problem distinguishing fine lines.",35.9273666666667,"2","chrome","1536","714","online-replication",0.755920060331825,6.73333333333333,1.953081232493,0,0,1,1,-6,0.0769230769230769,24.8496,114.690461538462,20.214,268.308,1,7,1,0,4,1,1,3,0,-1,"Orthogonal",67.8,0,0,"blank",268.308,0,"Orthogonal",77.174,0,"blank",146.951,1,0,11.6264166666667,0,-6,13.2231833333333
