"subject","mode","condition","question","score"
"SKPWA","asynch","111",13,0
"76UV0","asynch","111",1,0
"76UV0","asynch","111",2,0
"76UV0","asynch","111",3,0
"76UV0","asynch","111",4,1
"76UV0","asynch","111",5,2
"76UV0","asynch","111",6,3
"76UV0","asynch","111",7,3
"76UV0","asynch","111",8,4
"76UV0","asynch","111",9,5
"76UV0","asynch","111",10,6
"76UV0","asynch","111",11,6
"76UV0","asynch","111",12,7
"76UV0","asynch","111",13,8
"94FR9","asynch","111",1,0
"94FR9","asynch","111",2,0
"94FR9","asynch","111",3,0
"94FR9","asynch","111",4,1
"94FR9","asynch","111",5,2
"94FR9","asynch","111",6,2
"94FR9","asynch","111",7,2
"94FR9","asynch","111",8,2
"94FR9","asynch","111",9,2
"94FR9","asynch","111",10,2
"94FR9","asynch","111",11,2
"94FR9","asynch","111",12,2
"94FR9","asynch","111",13,2
"X7HS7","asynch","121",1,0
"X7HS7","asynch","121",2,0
"X7HS7","asynch","121",3,0
"X7HS7","asynch","121",4,0
"X7HS7","asynch","121",5,1
"X7HS7","asynch","121",6,1
"X7HS7","asynch","121",7,1
"X7HS7","asynch","121",8,2
"X7HS7","asynch","121",9,3
"X7HS7","asynch","121",10,4
"X7HS7","asynch","121",11,5
"X7HS7","asynch","121",12,6
"X7HS7","asynch","121",13,7
"UJFX9","asynch","121",1,0
"UJFX9","asynch","121",2,0
"UJFX9","asynch","121",3,0
"UJFX9","asynch","121",4,0
"UJFX9","asynch","121",5,0
"UJFX9","asynch","121",6,0
"UJFX9","asynch","121",7,0
"UJFX9","asynch","121",8,0
"UJFX9","asynch","121",9,0
"UJFX9","asynch","121",10,0
"UJFX9","asynch","121",11,0
"UJFX9","asynch","121",12,0
"UJFX9","asynch","121",13,0
"G1GGZ","asynch","121",1,0
"G1GGZ","asynch","121",2,0
"G1GGZ","asynch","121",3,0
"G1GGZ","asynch","121",4,0
"G1GGZ","asynch","121",5,0
"G1GGZ","asynch","121",6,0
"G1GGZ","asynch","121",7,0
"G1GGZ","asynch","121",8,0
"G1GGZ","asynch","121",9,0
"G1GGZ","asynch","121",10,0
"G1GGZ","asynch","121",11,0
"G1GGZ","asynch","121",12,0
"G1GGZ","asynch","121",13,0
"7OYPU","asynch","111",1,1
"7OYPU","asynch","111",2,2
"7OYPU","asynch","111",3,3
"7OYPU","asynch","111",4,4
"7OYPU","asynch","111",5,5
"7OYPU","asynch","111",6,6
"7OYPU","asynch","111",7,7
"7OYPU","asynch","111",8,8
"7OYPU","asynch","111",9,9
"7OYPU","asynch","111",10,10
"7OYPU","asynch","111",11,10
"7OYPU","asynch","111",12,11
"7OYPU","asynch","111",13,12
"P189K","asynch","121",1,1
"P189K","asynch","121",2,2
"P189K","asynch","121",3,3
"P189K","asynch","121",4,4
"P189K","asynch","121",5,4
"P189K","asynch","121",6,5
"P189K","asynch","121",7,6
"P189K","asynch","121",8,7
"P189K","asynch","121",9,8
"P189K","asynch","121",10,9
"P189K","asynch","121",11,10
"P189K","asynch","121",12,11
"P189K","asynch","121",13,12
"6HUZT","asynch","121",1,0
"6HUZT","asynch","121",2,1
"6HUZT","asynch","121",3,2
"6HUZT","asynch","121",4,3
"6HUZT","asynch","121",5,4
"6HUZT","asynch","121",6,5
"6HUZT","asynch","121",7,6
"6HUZT","asynch","121",8,7
"6HUZT","asynch","121",9,8
"6HUZT","asynch","121",10,9
"6HUZT","asynch","121",11,10
"6HUZT","asynch","121",12,11
"6HUZT","asynch","121",13,12
"UN7PD","asynch","111",1,0
"UN7PD","asynch","111",2,0
"UN7PD","asynch","111",3,0
"UN7PD","asynch","111",4,1
"UN7PD","asynch","111",5,2
"UN7PD","asynch","111",6,3
"UN7PD","asynch","111",7,4
"UN7PD","asynch","111",8,5
"UN7PD","asynch","111",9,6
"UN7PD","asynch","111",10,7
"UN7PD","asynch","111",11,8
"UN7PD","asynch","111",12,9
"UN7PD","asynch","111",13,10
"PVRS1","asynch","121",1,0
"PVRS1","asynch","121",2,0
"PVRS1","asynch","121",3,0
"PVRS1","asynch","121",4,0
"PVRS1","asynch","121",5,0
"PVRS1","asynch","121",6,0
"PVRS1","asynch","121",7,0
"PVRS1","asynch","121",8,0
"PVRS1","asynch","121",9,0
"PVRS1","asynch","121",10,0
"PVRS1","asynch","121",11,0
"PVRS1","asynch","121",12,0
"PVRS1","asynch","121",13,0
"YV1XZ","asynch","111",1,0
"YV1XZ","asynch","111",2,0
"YV1XZ","asynch","111",3,0
"YV1XZ","asynch","111",4,0
"YV1XZ","asynch","111",5,0
"YV1XZ","asynch","111",6,0
"YV1XZ","asynch","111",7,0
"YV1XZ","asynch","111",8,0
"YV1XZ","asynch","111",9,0
"YV1XZ","asynch","111",10,0
"YV1XZ","asynch","111",11,0
"YV1XZ","asynch","111",12,0
"YV1XZ","asynch","111",13,0
"M3E87","asynch","121",1,0
"M3E87","asynch","121",2,0
"M3E87","asynch","121",3,0
"M3E87","asynch","121",4,0
"M3E87","asynch","121",5,0
"M3E87","asynch","121",6,0
"M3E87","asynch","121",7,0
"M3E87","asynch","121",8,0
"M3E87","asynch","121",9,0
"M3E87","asynch","121",10,0
"M3E87","asynch","121",11,0
"M3E87","asynch","121",12,0
"M3E87","asynch","121",13,0
"4GC8J","asynch","121",1,1
"4GC8J","asynch","121",2,2
"4GC8J","asynch","121",3,3
"4GC8J","asynch","121",4,4
"4GC8J","asynch","121",5,5
"4GC8J","asynch","121",6,6
"4GC8J","asynch","121",7,7
"4GC8J","asynch","121",8,8
"4GC8J","asynch","121",9,9
"4GC8J","asynch","121",10,10
"4GC8J","asynch","121",11,11
"4GC8J","asynch","121",12,12
"4GC8J","asynch","121",13,13
"ML0PA","asynch","121",1,0
"ML0PA","asynch","121",2,0
"ML0PA","asynch","121",3,0
"ML0PA","asynch","121",4,0
"ML0PA","asynch","121",5,0
"ML0PA","asynch","121",6,0
"ML0PA","asynch","121",7,0
"ML0PA","asynch","121",8,0
"ML0PA","asynch","121",9,0
"ML0PA","asynch","121",10,0
"ML0PA","asynch","121",11,0
"ML0PA","asynch","121",12,0
"ML0PA","asynch","121",13,0
"WOJNW","asynch","121",1,0
"WOJNW","asynch","121",2,1
"WOJNW","asynch","121",3,2
"WOJNW","asynch","121",4,3
"WOJNW","asynch","121",5,4
"WOJNW","asynch","121",6,5
"WOJNW","asynch","121",7,6
"WOJNW","asynch","121",8,7
"WOJNW","asynch","121",9,8
"WOJNW","asynch","121",10,9
"WOJNW","asynch","121",11,9
"WOJNW","asynch","121",12,10
"WOJNW","asynch","121",13,11
"C2AHN","asynch","111",1,0
"C2AHN","asynch","111",2,0
"C2AHN","asynch","111",3,0
"C2AHN","asynch","111",4,0
"C2AHN","asynch","111",5,0
"C2AHN","asynch","111",6,0
"C2AHN","asynch","111",7,0
"C2AHN","asynch","111",8,0
"C2AHN","asynch","111",9,0
"C2AHN","asynch","111",10,0
"C2AHN","asynch","111",11,0
"C2AHN","asynch","111",12,0
"C2AHN","asynch","111",13,0
"T8OB0","asynch","111",1,1
"T8OB0","asynch","111",2,2
"T8OB0","asynch","111",3,3
"T8OB0","asynch","111",4,4
"T8OB0","asynch","111",5,5
"T8OB0","asynch","111",6,6
"T8OB0","asynch","111",7,7
"T8OB0","asynch","111",8,8
"T8OB0","asynch","111",9,9
"T8OB0","asynch","111",10,10
"T8OB0","asynch","111",11,11
"T8OB0","asynch","111",12,12
"T8OB0","asynch","111",13,13
"JDHT2","asynch","111",1,0
"JDHT2","asynch","111",2,0
"JDHT2","asynch","111",3,0
"JDHT2","asynch","111",4,0
"JDHT2","asynch","111",5,1
"JDHT2","asynch","111",6,1
"JDHT2","asynch","111",7,1
"JDHT2","asynch","111",8,1
"JDHT2","asynch","111",9,1
"JDHT2","asynch","111",10,1
"JDHT2","asynch","111",11,1
"JDHT2","asynch","111",12,1
"JDHT2","asynch","111",13,1
"WBJ2T","asynch","121",1,1
"WBJ2T","asynch","121",2,1
"WBJ2T","asynch","121",3,1
"WBJ2T","asynch","121",4,1
"WBJ2T","asynch","121",5,2
"WBJ2T","asynch","121",6,3
"WBJ2T","asynch","121",7,3
"WBJ2T","asynch","121",8,3
"WBJ2T","asynch","121",9,4
"WBJ2T","asynch","121",10,5
"WBJ2T","asynch","121",11,5
"WBJ2T","asynch","121",12,5
"WBJ2T","asynch","121",13,5
"ZMRMB","asynch","121",1,0
"ZMRMB","asynch","121",2,0
"ZMRMB","asynch","121",3,0
"ZMRMB","asynch","121",4,0
"ZMRMB","asynch","121",5,1
"ZMRMB","asynch","121",6,1
"ZMRMB","asynch","121",7,1
"ZMRMB","asynch","121",8,1
"ZMRMB","asynch","121",9,1
"ZMRMB","asynch","121",10,1
"ZMRMB","asynch","121",11,1
"ZMRMB","asynch","121",12,1
"ZMRMB","asynch","121",13,1
"91D56","asynch","111",1,0
"91D56","asynch","111",2,0
"91D56","asynch","111",3,0
"91D56","asynch","111",4,0
"91D56","asynch","111",5,0
"91D56","asynch","111",6,0
"91D56","asynch","111",7,0
"91D56","asynch","111",8,0
"91D56","asynch","111",9,0
"91D56","asynch","111",10,0
"91D56","asynch","111",11,0
"91D56","asynch","111",12,0
"91D56","asynch","111",13,0
"EH3ED","asynch","121",1,0
"EH3ED","asynch","121",2,0
"EH3ED","asynch","121",3,1
"EH3ED","asynch","121",4,1
"EH3ED","asynch","121",5,1
"EH3ED","asynch","121",6,1
"EH3ED","asynch","121",7,1
"EH3ED","asynch","121",8,1
"EH3ED","asynch","121",9,1
"EH3ED","asynch","121",10,1
"EH3ED","asynch","121",11,1
"EH3ED","asynch","121",12,1
"EH3ED","asynch","121",13,1
"BBPLJ","asynch","121",1,0
"BBPLJ","asynch","121",2,0
"BBPLJ","asynch","121",3,0
"BBPLJ","asynch","121",4,0
"BBPLJ","asynch","121",5,0
"BBPLJ","asynch","121",6,0
"BBPLJ","asynch","121",7,0
"BBPLJ","asynch","121",8,0
"BBPLJ","asynch","121",9,0
"BBPLJ","asynch","121",10,0
"BBPLJ","asynch","121",11,0
"BBPLJ","asynch","121",12,0
"BBPLJ","asynch","121",13,0
"9XEMK","asynch","111",1,0
"9XEMK","asynch","111",2,0
"9XEMK","asynch","111",3,0
"9XEMK","asynch","111",4,0
"9XEMK","asynch","111",5,0
"9XEMK","asynch","111",6,0
"9XEMK","asynch","111",7,0
"9XEMK","asynch","111",8,0
"9XEMK","asynch","111",9,0
"9XEMK","asynch","111",10,0
"9XEMK","asynch","111",11,0
"9XEMK","asynch","111",12,0
"9XEMK","asynch","111",13,0
"RVTK3","asynch","111",1,1
"RVTK3","asynch","111",2,2
"RVTK3","asynch","111",3,3
"RVTK3","asynch","111",4,4
"RVTK3","asynch","111",5,5
"RVTK3","asynch","111",6,6
"RVTK3","asynch","111",7,7
"RVTK3","asynch","111",8,8
"RVTK3","asynch","111",9,9
"RVTK3","asynch","111",10,10
"RVTK3","asynch","111",11,11
"RVTK3","asynch","111",12,12
"RVTK3","asynch","111",13,13
"4KH27","asynch","111",1,0
"4KH27","asynch","111",2,0
"4KH27","asynch","111",3,0
"4KH27","asynch","111",4,0
"4KH27","asynch","111",5,0
"4KH27","asynch","111",6,0
"4KH27","asynch","111",7,0
"4KH27","asynch","111",8,0
"4KH27","asynch","111",9,0
"4KH27","asynch","111",10,0
"4KH27","asynch","111",11,0
"4KH27","asynch","111",12,0
"4KH27","asynch","111",13,1
"TCS5Z","asynch","121",1,0
"TCS5Z","asynch","121",2,0
"TCS5Z","asynch","121",3,0
"TCS5Z","asynch","121",4,0
"TCS5Z","asynch","121",5,0
"TCS5Z","asynch","121",6,0
"TCS5Z","asynch","121",7,0
"TCS5Z","asynch","121",8,0
"TCS5Z","asynch","121",9,0
"TCS5Z","asynch","121",10,0
"TCS5Z","asynch","121",11,1
"TCS5Z","asynch","121",12,1
"TCS5Z","asynch","121",13,1
"HF78R","asynch","121",1,1
"HF78R","asynch","121",2,2
"HF78R","asynch","121",3,2
"HF78R","asynch","121",4,2
"HF78R","asynch","121",5,3
"HF78R","asynch","121",6,3
"HF78R","asynch","121",7,4
"HF78R","asynch","121",8,4
"HF78R","asynch","121",9,5
"HF78R","asynch","121",10,6
"HF78R","asynch","121",11,6
"HF78R","asynch","121",12,6
"HF78R","asynch","121",13,6
"JMZMZ","asynch","121",1,0
"JMZMZ","asynch","121",2,0
"JMZMZ","asynch","121",3,0
"JMZMZ","asynch","121",4,0
"JMZMZ","asynch","121",5,0
"JMZMZ","asynch","121",6,0
"JMZMZ","asynch","121",7,0
"JMZMZ","asynch","121",8,0
"JMZMZ","asynch","121",9,0
"JMZMZ","asynch","121",10,0
"JMZMZ","asynch","121",11,0
"JMZMZ","asynch","121",12,0
"JMZMZ","asynch","121",13,0
"H0HHM","asynch","121",1,1
"H0HHM","asynch","121",2,2
"H0HHM","asynch","121",3,3
"H0HHM","asynch","121",4,4
"H0HHM","asynch","121",5,5
"H0HHM","asynch","121",6,6
"H0HHM","asynch","121",7,7
"H0HHM","asynch","121",8,8
"H0HHM","asynch","121",9,9
"H0HHM","asynch","121",10,10
"H0HHM","asynch","121",11,11
"H0HHM","asynch","121",12,12
"H0HHM","asynch","121",13,13
"2KS3T","asynch","121",1,0
"2KS3T","asynch","121",2,0
"2KS3T","asynch","121",3,0
"2KS3T","asynch","121",4,0
"2KS3T","asynch","121",5,1
"2KS3T","asynch","121",6,1
"2KS3T","asynch","121",7,1
"2KS3T","asynch","121",8,1
"2KS3T","asynch","121",9,1
"2KS3T","asynch","121",10,1
"2KS3T","asynch","121",11,1
"2KS3T","asynch","121",12,1
"2KS3T","asynch","121",13,1
"1HLEP","asynch","121",1,0
"1HLEP","asynch","121",2,0
"1HLEP","asynch","121",3,0
"1HLEP","asynch","121",4,0
"1HLEP","asynch","121",5,0
"1HLEP","asynch","121",6,0
"1HLEP","asynch","121",7,0
"1HLEP","asynch","121",8,0
"1HLEP","asynch","121",9,0
"1HLEP","asynch","121",10,0
"1HLEP","asynch","121",11,0
"1HLEP","asynch","121",12,0
"1HLEP","asynch","121",13,0
"EBSJV","asynch","111",1,0
"EBSJV","asynch","111",2,0
"EBSJV","asynch","111",3,0
"EBSJV","asynch","111",4,0
"EBSJV","asynch","111",5,0
"EBSJV","asynch","111",6,0
"EBSJV","asynch","111",7,0
"EBSJV","asynch","111",8,0
"EBSJV","asynch","111",9,0
"EBSJV","asynch","111",10,0
"EBSJV","asynch","111",11,0
"EBSJV","asynch","111",12,0
"EBSJV","asynch","111",13,0
"QWPKO","asynch","121",1,1
"QWPKO","asynch","121",2,2
"QWPKO","asynch","121",3,2
"QWPKO","asynch","121",4,3
"QWPKO","asynch","121",5,4
"QWPKO","asynch","121",6,4
"QWPKO","asynch","121",7,5
"QWPKO","asynch","121",8,6
"QWPKO","asynch","121",9,7
"QWPKO","asynch","121",10,8
"QWPKO","asynch","121",11,9
"QWPKO","asynch","121",12,10
"QWPKO","asynch","121",13,10
"NEK50","asynch","111",1,0
"NEK50","asynch","111",2,0
"NEK50","asynch","111",3,0
"NEK50","asynch","111",4,0
"NEK50","asynch","111",5,0
"NEK50","asynch","111",6,0
"NEK50","asynch","111",7,0
"NEK50","asynch","111",8,0
"NEK50","asynch","111",9,0
"NEK50","asynch","111",10,0
"NEK50","asynch","111",11,0
"NEK50","asynch","111",12,0
"NEK50","asynch","111",13,0
"43L8M","asynch","121",1,0
"43L8M","asynch","121",2,0
"43L8M","asynch","121",3,0
"43L8M","asynch","121",4,1
"43L8M","asynch","121",5,2
"43L8M","asynch","121",6,3
"43L8M","asynch","121",7,4
"43L8M","asynch","121",8,5
"43L8M","asynch","121",9,6
"43L8M","asynch","121",10,7
"43L8M","asynch","121",11,8
"43L8M","asynch","121",12,9
"43L8M","asynch","121",13,10
"23WXV","asynch","121",1,1
"23WXV","asynch","121",2,2
"23WXV","asynch","121",3,3
"23WXV","asynch","121",4,4
"23WXV","asynch","121",5,5
"23WXV","asynch","121",6,6
"23WXV","asynch","121",7,6
"23WXV","asynch","121",8,7
"23WXV","asynch","121",9,8
"23WXV","asynch","121",10,9
"23WXV","asynch","121",11,10
"23WXV","asynch","121",12,10
"23WXV","asynch","121",13,11
"34FAZ","asynch","121",1,0
"34FAZ","asynch","121",2,0
"34FAZ","asynch","121",3,0
"34FAZ","asynch","121",4,0
"34FAZ","asynch","121",5,0
"34FAZ","asynch","121",6,0
"34FAZ","asynch","121",7,0
"34FAZ","asynch","121",8,0
"34FAZ","asynch","121",9,0
"34FAZ","asynch","121",10,0
"34FAZ","asynch","121",11,0
"34FAZ","asynch","121",12,0
"34FAZ","asynch","121",13,0
"JHTYA","asynch","111",1,0
"JHTYA","asynch","111",2,0
"JHTYA","asynch","111",3,0
"JHTYA","asynch","111",4,0
"JHTYA","asynch","111",5,1
"JHTYA","asynch","111",6,1
"JHTYA","asynch","111",7,1
"JHTYA","asynch","111",8,1
"JHTYA","asynch","111",9,1
"JHTYA","asynch","111",10,1
"JHTYA","asynch","111",11,1
"JHTYA","asynch","111",12,2
"JHTYA","asynch","111",13,2
"853JQ","asynch","111",1,0
"853JQ","asynch","111",2,0
"853JQ","asynch","111",3,0
"853JQ","asynch","111",4,0
"853JQ","asynch","111",5,0
"853JQ","asynch","111",6,0
"853JQ","asynch","111",7,0
"853JQ","asynch","111",8,0
"853JQ","asynch","111",9,0
"853JQ","asynch","111",10,0
"853JQ","asynch","111",11,0
"853JQ","asynch","111",12,0
"853JQ","asynch","111",13,0
"A3QHP","asynch","111",1,0
"A3QHP","asynch","111",2,0
"A3QHP","asynch","111",3,0
"A3QHP","asynch","111",4,0
"A3QHP","asynch","111",5,0
"A3QHP","asynch","111",6,0
"A3QHP","asynch","111",7,0
"A3QHP","asynch","111",8,0
"A3QHP","asynch","111",9,0
"A3QHP","asynch","111",10,0
"A3QHP","asynch","111",11,0
"A3QHP","asynch","111",12,0
"A3QHP","asynch","111",13,0
"EBSH0","asynch","111",1,0
"EBSH0","asynch","111",2,0
"EBSH0","asynch","111",3,0
"EBSH0","asynch","111",4,0
"EBSH0","asynch","111",5,1
"EBSH0","asynch","111",6,1
"EBSH0","asynch","111",7,1
"EBSH0","asynch","111",8,1
"EBSH0","asynch","111",9,1
"EBSH0","asynch","111",10,1
"EBSH0","asynch","111",11,1
"EBSH0","asynch","111",12,1
"EBSH0","asynch","111",13,1
"DMJ14","asynch","121",1,0
"DMJ14","asynch","121",2,0
"DMJ14","asynch","121",3,0
"DMJ14","asynch","121",4,0
"DMJ14","asynch","121",5,1
"DMJ14","asynch","121",6,1
"DMJ14","asynch","121",7,1
"DMJ14","asynch","121",8,1
"DMJ14","asynch","121",9,1
"DMJ14","asynch","121",10,1
"DMJ14","asynch","121",11,1
"DMJ14","asynch","121",12,1
"DMJ14","asynch","121",13,1
"05EWA","asynch","121",1,1
"05EWA","asynch","121",2,2
"05EWA","asynch","121",3,2
"05EWA","asynch","121",4,2
"05EWA","asynch","121",5,2
"05EWA","asynch","121",6,2
"05EWA","asynch","121",7,2
"05EWA","asynch","121",8,2
"05EWA","asynch","121",9,3
"05EWA","asynch","121",10,3
"05EWA","asynch","121",11,3
"05EWA","asynch","121",12,3
"05EWA","asynch","121",13,3
"TAEHJ","asynch","121",1,0
"TAEHJ","asynch","121",2,0
"TAEHJ","asynch","121",3,0
"TAEHJ","asynch","121",4,0
"TAEHJ","asynch","121",5,1
"TAEHJ","asynch","121",6,1
"TAEHJ","asynch","121",7,1
"TAEHJ","asynch","121",8,1
"TAEHJ","asynch","121",9,1
"TAEHJ","asynch","121",10,1
"TAEHJ","asynch","121",11,1
"TAEHJ","asynch","121",12,1
"TAEHJ","asynch","121",13,1
"RDYS7","asynch","111",1,0
"RDYS7","asynch","111",2,0
"RDYS7","asynch","111",3,0
"RDYS7","asynch","111",4,0
"RDYS7","asynch","111",5,0
