"subject","condition","pretty_condition","study","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","ROTATION","SHAPE"
"UXUG2","11111221","ORTH-45","SGC4C","summer22","asynch","Female",27,"English",NA,"United Sates of America","I tried my best on each question","3","5","5","","no",52.91575,"5.5","chrome","1692","908","45","ORTH"
"P18KW","11311331","TRI-90","SGC4C","summer22","asynch","Female",60,"English",NA,"United States","I tried my best on each question","5","3","1","The chart was too small and hard to see the letters. ","No",15.2836666666667,"2","chrome","1366","695","90","TRI"
"GD2OK","111112","ORTH-45","SGC4C","summer22","asynch","Female",25,"English",NA,"United States of America","I tried my best on each question","2","4","4","","No",14.75555,"2","chrome","1920","969","45","ORTH"
"55QDU","11111221","ORTH-45","SGC4C","summer22","asynch","Male",20,"English",NA,"United States","I tried my best on each question","4","4","5","","",11.4821333333333,"1","chrome","1920","937","45","ORTH"
"GC47R","113112","TRI-45","SGC4C","summer22","asynch","Female",22,"English",NA,"United States","I tried my best on most questions","4","2","2","","no",18.1592,"3","chrome","1242","698","45","TRI"
"VVDBP","11311221","TRI-45","SGC4C","summer22","asynch","Female",26,"English",NA,"United States","I tried my best on each question","3","4","4","It took a minute to get the hang of the graph but I think I got better at it as I got more practice working with it ","I have ADHD, but I have taken my meds today so I don't think it would have influenced my performance meaningfully",12.6783333333333,"3","chrome","1536","714","45","TRI"
"1W9FS","11311331","TRI-90","SGC4C","summer22","asynch","Female",22,"English",NA,"United States","I tried my best on each question","3","4","4","","No",13.4373833333333,"1","chrome","1440","789","90","TRI"
"4TALN","11311331","TRI-90","SGC4C","summer22","asynch","Male",33,"English",NA,"USA","I tried my best on each question","3","5","1","No options on the rightmost row were clickable. I tried everything but nothing worked. Thankfully, this only interfered with one of my answers.","No",15.10555,"2","chrome","1920","969","90","TRI"
"UEETV","111112","ORTH-45","SGC4C","summer22","asynch","Male",25,"English",NA,"United States","I tried my best on each question","1","5","5","Very cool way of representing shifts","No",3.37018333333333,"1","chrome","1408","764","45","ORTH"
"GE5M4","11311331","TRI-90","SGC4C","summer22","asynch","Female",22,"English",NA,"USA","I tried my best on each question","2","4","4","n/a","none",7.55303333333333,"1","chrome","1259","721","90","TRI"
"JL6P0","11111331","ORTH-90","SGC4C","summer22","asynch","Male",62,"English",NA,"USA","I tried my best on each question","3","5","5","I enjoyed completing these tasks.  It was a bit challenging.","No, I have no impairments or disabilities.",37.9449333333333,"1","chrome","1569","721","90","ORTH"
"ND7BY","11111221","ORTH-45","SGC4C","summer22","asynch","Female",49,"English",NA,"United States","I tried my best on each question","2","5","5","n/a","no",12.90985,"1","chrome","1920","969","45","ORTH"
"MYWDQ","11311331","TRI-90","SGC4C","summer22","asynch","Male",26,"English",NA,"USA","I tried my best on each question","4","3","5","Some of the buttons in the far right column I could not click. I had to tab over and press space bar to get it to check the box. It was a very interesting test, that was the only issue I ran into. I thought determining the breaks were the most difficult part of the quiz.","",10.9687833333333,"3","chrome","1920","969","90","TRI"
"4QQY9","11111331","ORTH-90","SGC4C","summer22","asynch","Female",31,"English",NA,"U.S.A.","I tried my best on each question","5","1","3","","",20.2884666666667,"2","chrome","1366","768","90","ORTH"
"JO5VM","113112","TRI-45","SGC4C","summer22","asynch","Female",25,"English",NA,"United States","I tried my best on each question","3","4","2","","nope!",13.0340333333333,"4","chrome","1440","789","45","TRI"
"SFZHQ","11111221","ORTH-45","SGC4C","summer22","asynch","Female",53,"English",NA,"USA","I tried my best on each question","5","3","5","I felt like I was doing great at the beginning, but then somewhere toward the end I felt like I was interpreting the graph entirely wrong. ","I had my glasses on, but still couldn't see the faint tiny gray lettering very well. Had to squint.",22.7183,"1","chrome","1200","750","45","ORTH"
"6YNOF","113112","TRI-45","SGC4C","summer22","asynch","Male",42,"English",NA,"United States","I tried my best on each question","4","4","4","It was a challenge understanding how the graph operated at first.","None",12.4537666666667,"1","chrome","1536","714","45","TRI"
"TDBLB","11111331","ORTH-90","SGC4C","summer22","asynch","Male",33,"English",NA,"United States","I tried my best on each question","4","4","2","At the beginning I didnt really understand the graph and it was very hard, but after the first 4 or so I finally had an epiphany and figured it out and was able to determine the graph and figure out the answer to the questions","I have none",21.6181833333333,"3","chrome","1536","746","90","ORTH"
"1D1GY","11311331","TRI-90","SGC4C","summer22","asynch","Female",40,"English",NA,"United States","I tried my best on most questions","5","1","3","I had no clue what I was doing.","no",10.9755,"3","chrome","1920","937","90","TRI"
"V32EY","11311331","TRI-90","SGC4C","summer22","asynch","Male",69,"English",NA,"USA","I tried my best on each question","3","3","4","None","none",18.1317166666667,"2","chrome","1682","897","90","TRI"
"QBNNC","11111221","ORTH-45","SGC4C","summer22","asynch","Female",19,"English",NA,"United States","I tried my best on each question","5","3","3","","",10.0384,"2","chrome","1920","937","45","ORTH"
"0CY2P","11311221","TRI-45","SGC4C","summer22","asynch","Female",42,"English",NA,"United States","I tried my best on each question","2","4","4","","I have ADHD and may have looked away from the screen once or twice.",23.6320166666667,"1","chrome","1536","714","45","TRI"
"395C5","113112","TRI-45","SGC4C","summer22","asynch","Female",24,"English",NA,"United States","I tried my best on each question","5","1","1","","",9.08995,"1","chrome","1352","794","45","TRI"
"JS5YC","11311221","TRI-45","SGC4C","summer22","asynch","Male",30,"English",NA,"USA","I tried my best on most questions","3","2","1","I don't have any background in shift scheduling.","No",9.90781666666667,"1","chrome","1366","768","45","TRI"
"OFEK9","11311221","TRI-45","SGC4C","summer22","asynch","Female",23,"English",NA,"United States","I tried my best on each question","3","3","3","","No",14.5864833333333,"1","chrome","1440","687","45","TRI"
"FBHRA","11111221","ORTH-45","SGC4C","summer22","asynch","Other-Not Listed",20,"English",NA,"United States","I tried my best on each question","2","4","5","","No",9.22125,"3","chrome","1418","798","45","ORTH"
"F62ZV","11111331","ORTH-90","SGC4C","summer22","asynch","Other-Not Listed",38,"English",NA,"US","I tried my best on each question","5","2","3","","",5.10408333333333,"1","chrome","3440","1289","90","ORTH"
"C61LK","11111221","ORTH-45","SGC4C","summer22","asynch","Male",22,"English",NA,"USA","I tried my best on most questions","4","3","1","","",15.6457,"4","chrome","1920","969","45","ORTH"
"BQ01X","11311221","TRI-45","SGC4C","summer22","asynch","Female",64,"English",NA,"United States","I tried my best on each question","3","5","3","","no",19.78135,"1","chrome","1366","697","45","TRI"
"F1E89","113112","TRI-45","SGC4C","summer22","asynch","Male",25,"English",NA,"United States","I tried my best on each question","2","5","5","That was a really cool visual representation of shifts. I enjoyed learning the system","No",6.84158333333333,"1","chrome","1127","764","45","TRI"
"DZPDP","11111331","ORTH-90","SGC4C","summer22","asynch","Male",31,"English",NA,"United States","I tried my best on each question","4","3","2","","",20.3913833333333,"5.5","chrome","1600","789","90","ORTH"
"BH9QU","11111221","ORTH-45","SGC4C","summer22","asynch","Male",24,"English",NA,"United States","I tried my best on each question","4","5","4","","no",27.9848166666667,"4","chrome","1920","947","45","ORTH"
"KKR6H","11311221","TRI-45","SGC4C","summer22","asynch","Male",36,"English",NA,"USA","I tried my best on each question","4","4","5","","No",9.55671666666667,"2","chrome","1618","782","45","TRI"
"YCBP2","11311331","TRI-90","SGC4C","summer22","asynch","Female",21,"English",NA,"United States","I tried my best on most questions","4","3","3","","",11.6251166666667,"2","chrome","1536","714","90","TRI"
"8W8HA","11111221","ORTH-45","SGC4C","summer22","asynch","Male",34,"English",NA,"United States","I tried my best on each question","4","4","3","It was very interesting to see the scheduling arranged in that specific grid formation. It made it pretty easy to visualize the timing of each shift.","No impairments or disabilities.",19.3251,"2","chrome","1920","1007","45","ORTH"
"H7C1B","11111331","ORTH-90","SGC4C","summer22","asynch","Female",59,"English",NA,"United States","I tried my best on each question","4","3","3","Nothing I can think of. ","no",16.39245,"3.5","chrome","1920","969","90","ORTH"
"CT1PY","113112","TRI-45","SGC4C","summer22","asynch","Female",19,"English",NA,"United States","I tried my best on each question","4","2","3","","",8.6733,"2","chrome","1440","821","45","TRI"
"XZ8SA","11311221","TRI-45","SGC4C","summer22","asynch","Female",23,"English",NA,"United States","I tried my best on each question","3","5","3","","",13.8541666666667,"3","chrome","1920","929","45","TRI"
"3N2D2","11111331","ORTH-90","SGC4C","summer22","asynch","Male",43,"English",NA,"USA","I tried my best on each question","3","5","5","Nice study","No",15.9865166666667,"1","chrome","1517","694","90","ORTH"
"US0G1","11111221","ORTH-45","SGC4C","summer22","asynch","Female",50,"English",NA,"United States","I tried my best on each question","3","5","3","","",15.6882333333333,"2","chrome","1920","1049","45","ORTH"
"YZN1M","111112","ORTH-45","SGC4C","summer22","asynch","Female",27,"English",NA,"US","I tried my best on each question","3","4","3","","no",7.18823333333333,"1","chrome","1920","969","45","ORTH"
"WMGCF","11311331","TRI-90","SGC4C","summer22","asynch","Male",37,"English",NA,"USA","I tried my best on each question","2","5","2","I was unable to click on any response in the right hand column of answers, the first and third question should have been answered ""F"", the 4th, ""O"", and the one asking about starting at 12 is L. I am using Chrome browser, fullscreen (as required), Windows 10 home, 4k monitor (1 of dual 4k monitors).","N/A",10.7980166666667,"1","chrome","1459","791","90","TRI"
"CQD99","11111331","ORTH-90","SGC4C","summer22","asynch","Female",20,"English",NA,"us","I tried my best on most questions","4","4","5","I thought it was interesting and a fun way to test graphic reading skills.","no",7.22695,"1","chrome","1200","691","90","ORTH"
"S0VP4","11311331","TRI-90","SGC4C","summer22","asynch","Male",51,"English",NA,"United States","I tried my best on most questions","3","4","3","I'm puzzled by the possibility that someone who writes schedules wouldn't simply write the start and end times next to each shift, keeping the identifying shift letters in alphabetical order.","No.",22.9381166666667,"1","chrome","1893","894","90","TRI"
"8KUFV","11111221","ORTH-45","SGC4C","summer22","asynch","Male",45,"English",NA,"USA","I tried my best on each question","3","4","5","","",8.86205,"1","chrome","1536","722","45","ORTH"
"NARNW","11111331","ORTH-90","SGC4C","summer22","asynch","Male",28,"English",NA,"USA","I tried my best on each question","3","4","4","It was really difficult trying to figure out how to read the graph and I pretty much just had to guess on the 1st question, but once I figured it out, all of the questions were very easy. ","",20.4409,"1","chrome","1536","722","90","ORTH"
"4TVOM","11311331","TRI-90","SGC4C","summer22","asynch","Female",20,"English",NA,"United States","I tried my best on each question","4","2","4","","no",15.3461833333333,"2","chrome","1440","726","90","TRI"
"23D03","11111331","ORTH-90","SGC4C","summer22","asynch","Female",20,"English",NA,"USA","I tried my best on most questions","3","2","1","I noticed that some of the questions I couldn't answer because I wasn't able to click on certain letters. ","I do have ADHD. I don't know if if affected me though for this task.",13.0194666666667,"3","chrome","1920","961","90","ORTH"
"0PAWH","111112","ORTH-45","SGC4C","summer22","asynch","Male",21,"English",NA,"United States","I tried my best on each question","3","4","5","","",11.6479833333333,"4","chrome","2558","1369","45","ORTH"
"SR3BY","11111331","ORTH-90","SGC4C","summer22","asynch","Female",27,"English",NA,"United States","I tried my best on each question","5","1","2","","",6.9368,"1","chrome","1920","1081","90","ORTH"
"60FOH","11311221","TRI-45","SGC4C","summer22","asynch","Female",24,"English",NA,"USA","I tried my best on each question","5","2","3","It was really hard to comprehend the graph, I tried my best but I'm not good at graphs.","No",8.0982,"1","chrome","1920","969","45","TRI"
"XL3JA","11311331","TRI-90","SGC4C","summer22","asynch","Male",61,"English",NA,"United States","I tried my best on each question","5","3","4","As I answered more questions, I also started to learn how to read the graph as intended.  Without instructions and no familiarity with this kind of graph, it was a learn as you go experience.","none",17.4399333333333,"1","chrome","1280","720","90","TRI"
"QYK0J","11311221","TRI-45","SGC4C","summer22","asynch","Female",24,"English",NA,"United States","I tried my best on each question","3","4","4","","",5.33031666666667,"1","chrome","1280","720","45","TRI"
"110ML","11311331","TRI-90","SGC4C","summer22","asynch","Female",22,"English",NA,"United States","I tried my best on most questions","3","2","3","","",13.2607333333333,"1","chrome","1366","768","90","TRI"
"L5L85","111112","ORTH-45","SGC4C","summer22","asynch","Male",31,"English",NA,"USA","I tried my best on each question","4","5","3","There was slight confusion in selecting the shifts","None at all",13.19215,"1","chrome","1536","746","45","ORTH"
"91UX7","11111331","ORTH-90","SGC4C","summer22","asynch","Female",55,"English",NA,"USA","I tried my best on each question","5","2","3","","no",11.51825,"1","chrome","1600","781","90","ORTH"
"WQNHB","11111331","ORTH-90","SGC4C","summer22","asynch","Female",26,"English",NA,"USA","I tried my best on each question","4","2","3","I don't think I did a very good job, but I swear I tried and paid close attention.","I'm a little tipsy eek",11.5844833333333,"1","chrome","1280","720","90","ORTH"
"NY17O","11111331","ORTH-90","SGC4C","summer22","asynch","Male",21,"English",NA,"United States","I tried my best on each question","5","2","1","","",3.56646666666667,"1","chrome","1373","736","90","ORTH"
"LTGRR","11311331","TRI-90","SGC4C","summer22","asynch","Other-Not Listed",19,"English",NA,"usa","I tried my best on each question","5","3","5","","",17.84565,"3","chrome","1440","721","90","TRI"
"WA1P6","11311331","TRI-90","SGC4C","summer22","asynch","Male",29,"English",NA,"USA","I tried my best on each question","4","5","5","","no",17.2466833333333,"4","chrome","1600","762","90","TRI"
"QOHN7","113112","TRI-45","SGC4C","summer22","asynch","Female",32,"English",NA,"United States","I tried my best on most questions","4","2","1","","",12.3229666666667,"1","chrome","1334","1000","45","TRI"
"2FBFN","11311221","TRI-45","SGC4C","summer22","asynch","Male",34,"English",NA,"United states","I tried my best on each question","3","4","3","","No i don't have any ",10.0559166666667,"1","chrome","1440","821","45","TRI"
"L4D30","11311221","TRI-45","SGC4C","summer22","asynch","Male",27,"English",NA,"United States ","I tried my best on most questions","3","5","3","","",18.8152,"2","chrome","1366","768","45","TRI"
"NCPSF","11111331","ORTH-90","SGC4C","summer22","asynch","Female",28,"English",NA,"united states","I tried my best on each question","5","1","2","I didn't understand the graph","no",7.72958333333333,"1","chrome","1536","804","90","ORTH"
"SCB5T","111112","ORTH-45","SGC4C","summer22","asynch","Male",20,"English",NA,"United States","I tried my best on each question","4","4","3","","",16.40225,"2","chrome","1366","695","45","ORTH"
"0V2GP","11111331","ORTH-90","SGC4C","summer22","asynch","Male",24,"English",NA,"USA","I tried my best on most questions","4","3","1","I deal in graphs that are a bit more user friendly","no",12.9837333333333,"1","chrome","1280","689","90","ORTH"
"CGLFH","11311221","TRI-45","SGC4C","summer22","asynch","Female",42,"English",NA,"United States","I tried my best on each question","3","3","3","","",9.4944,"1","chrome","1440","789","45","TRI"
"HWR64","11311331","TRI-90","SGC4C","summer22","asynch","Female",45,"English",NA,"United States","I tried my best on each question","2","4","4","","no",18.64745,"1","chrome","1536","849","90","TRI"
"TNR4D","11111331","ORTH-90","SGC4C","summer22","asynch","Female",57,"English",NA,"United States","I tried my best on each question","4","3","3","The last 3 boxes would not allow me to click in them.  ","No",15.8668666666667,"1","chrome","1842","1009","90","ORTH"
"27YEC","11311331","TRI-90","SGC4C","summer22","asynch","Female",27,"English",NA,"US","I tried my best on most questions","4","1","4","","",13.21445,"1","chrome","1440","789","90","TRI"
"5ECY7","11111331","ORTH-90","SGC4C","summer22","asynch","Male",34,"English",NA,"United States","I tried my best on each question","4","4","4","","No",26.32265,"2","chrome","1440","714","90","ORTH"
"V0BZG","11311221","TRI-45","SGC4C","summer22","asynch","Female",23,"English",NA,"united states","I tried my best on most questions","4","3","2","","",15.5603666666667,"2","chrome","1368","761","45","TRI"
"FCKFQ","11111221","ORTH-45","SGC4C","summer22","asynch","Male",41,"English",NA,"USA","I tried my best on most questions","4","4","2","","",21.34595,"3","chrome","1832","885","45","ORTH"
"MUOW0","11111331","ORTH-90","SGC4C","summer22","asynch","Male",36,"English",NA,"USA","I tried my best on each question","4","2","3","The graph could be more user friendly.","N/A",12.25015,"1","chrome","1600","789","90","ORTH"
"MLNH1","111112","ORTH-45","SGC4C","summer22","asynch","Female",22,"English",NA,"United States","I tried my best on each question","3","5","4","","No",12.1469666666667,"1","chrome","1440","764","45","ORTH"
"4N2R9","11111331","ORTH-90","SGC4C","summer22","asynch","Other-Not Listed",27,"English",NA,"United States","I tried my best on each question","4","4","4","","No",28.8214833333333,"5","chrome","1504","860","90","ORTH"
"SSKFO","113112","TRI-45","SGC4C","summer22","asynch","Female",53,"English",NA,"USA","I tried my best on each question","3","4","4","The shape of the chart was interesting, but I would have found it a bit easier if the text on the axis was aligned upright for reading instead of tilted.","no",18.26795,"2","chrome","1280","689","45","TRI"
"9BACG","11111331","ORTH-90","SGC4C","summer22","asynch","Female",31,"English",NA,"United States","I tried my best on each question","5","2","3","It was very hard to decipher the graph","N/A",7.21173333333333,"1","chrome","1280","688","90","ORTH"
"BMTZS","11111221","ORTH-45","SGC4C","summer22","asynch","Male",64,"English",NA,"US","I tried my best on each question","3","5","4","","no",9.75605,"3","chrome","1478","691","45","ORTH"
"3MSRJ","11111221","ORTH-45","SGC4C","summer22","asynch","Male",43,"English",NA,"United States","I tried my best on each question","2","5","2","","NA",25.3803333333333,"1.5","chrome","2560","1289","45","ORTH"
"2LAYF","11111331","ORTH-90","SGC4C","summer22","asynch","Male",28,"English",NA,"USA","I tried my best on each question","2","5","3","I found the label along the Y-axis confusing because it identifies as the Shift Start and Shift End times. I assumed for the purpose of the experiment that the position of the dots was indicative of the start time. I do not understand how the shift end times were graphically represented. ","NA",16.3693833333333,"4","chrome","1680","977","90","ORTH"
"MXTH1","11111221","ORTH-45","SGC4C","summer22","asynch","Female",19,"English",NA,"United States","I tried my best on most questions","4","3","2","","",7.74053333333333,"1","chrome","1440","821","45","ORTH"
"FU00K","11111331","ORTH-90","SGC4C","summer22","asynch","Male",56,"English",NA,"United States","I tried my best on each question","3","2","3","I have never seen a time chart like that one","none",13.0468166666667,"1","chrome","1366","768","90","ORTH"
"0ZQNF","11311221","TRI-45","SGC4C","summer22","asynch","Male",25,"English",NA,"USA","I tried my best on each question","3","4","4","","",9.80126666666667,"1","chrome","1368","840","45","TRI"
"ONW0D","11111331","ORTH-90","SGC4C","summer22","asynch","Female",30,"English",NA,"United States","I tried my best on each question","3","2","4","","",13.2109833333333,"1","chrome","1728","892","90","ORTH"
"0KDXV","111112","ORTH-45","SGC4C","summer22","asynch","Male",21,"English",NA,"United States of America","I tried my best on each question","5","2","1","","No",7.48658333333333,"3.5","chrome","1920","929","45","ORTH"
"0CH4N","11111221","ORTH-45","SGC4C","summer22","asynch","Female",63,"English",NA,"United States","I tried my best on most questions","5","2","1","","no",6.8792,"2","chrome","1600","757","45","ORTH"
"2QOKZ","11111221","ORTH-45","SGC4C","summer22","asynch","Female",36,"English",NA,"USA","I tried my best on each question","3","5","4","It took a minute to understand the graph.","no",23.3956333333333,"1","chrome","1600","722","45","ORTH"
"S4ZA5","11111331","ORTH-90","SGC4C","summer22","asynch","Male",61,"English",NA,"U.S.A.","I tried my best on each question","1","5","4","The presentation of the shifts was fascinating.  The graphical presentation definitely helped in very quickly solving most of the problems but there were one or two that seemed surprisingly difficult.  Sadly I cannot remember the particulars of the problematic ones.  Hopefully you can tell by the amount of time I spent on them.  ","No.",9.69918333333333,"1","chrome","3072","1586","90","ORTH"
"A9XC1","11311331","TRI-90","SGC4C","summer22","asynch","Female",19,"English",NA,"United States","I tried my best on each question","3","4","4","The graph was not very clear. One axis being labeled ""start and end times"" was confusing.","No",7.07165,"1","chrome","1536","810","90","TRI"
"U7EBF","11111331","ORTH-90","SGC4C","summer22","asynch","Female",56,"English",NA,"USA","I tried my best on each question","4","4","3","It was difficult to see the letters, it would have been easier to finish, instead I used a magnifying glass.","Tough to see the charts.",15.9392833333333,"1","chrome","1512","735","90","ORTH"
"XY3OZ","11311331","TRI-90","SGC4C","summer22","asynch","Male",52,"English",NA,"United States","I tried my best on each question","5","3","4","It wasn't very easy.","no",16.824,"1","chrome","1280","881","90","TRI"
"YS9FT","113112","TRI-45","SGC4C","summer22","asynch","Female",21,"English",NA,"United States","I tried my best on each question","3","4","5","","no",6.13001666666667,"1","chrome","1440","821","45","TRI"
"58GQN","11111331","ORTH-90","SGC4C","summer22","asynch","Female",58,"English",NA,"United States","I tried my best on each question","5","1","2","I really didn't know how to read the schedule. An example would have been helpful.","",14.6265166666667,"1","chrome","1600","757","90","ORTH"
"UE69U","11311331","TRI-90","SGC4C","summer22","asynch","Male",20,"English",NA,"USA","I tried my best on each question","4","3","2","Even though it took some getting used to, I found the diagram to be somewhat useful in determining time frames and such","",7.85086666666667,"1","chrome","1440","821","90","TRI"
"WLJ66","11311331","TRI-90","SGC4C","summer22","asynch","Female",28,"English",NA,"USA","I tried my best on each question","4","4","3","","No",14.4747666666667,"3","chrome","1422","720","90","TRI"
"FO7NT","11311331","TRI-90","SGC4C","summer22","asynch","Male",20,"English",NA,"United States","I tried my best on each question","5","2","5","I didn't understand the start/end thing at first, but got it over time","",11.9552833333333,"1","chrome","2560","1321","90","TRI"
"CE3VH","11311331","TRI-90","SGC4C","summer22","asynch","Female",27,"English",NA,"USA","I tried my best on each question","4","2","5","","",21.1977166666667,"1","chrome","1366","768","90","TRI"
"8SWVG","113112","TRI-45","SGC4C","summer22","asynch","Male",38,"English",NA,"USA","I tried my best on each question","4","2","1","","",7.54585,"1","chrome","2560","1304","45","TRI"
"URHUE","11111221","ORTH-45","SGC4C","summer22","asynch","Female",32,"X-Other",NA,"US","I tried my best on each question","3","4","5","","",13.8535666666667,"1","chrome","1536","746","45","ORTH"
"6K8C3","11311221","TRI-45","SGC4C","summer22","asynch","Male",67,"English",NA,"Unite States of America","I tried my best on each question","5","5","4","This representation was intuitively hard, but the ability to make use of it improved with practice.","I have no impairments or disabilities that I believe may have influenced my performance.",16.5466166666667,"1","chrome","1280","800","45","TRI"
"WHNRQ","111112","ORTH-45","SGC4C","summer22","asynch","Female",32,"English",NA,"USA","I tried my best on each question","5","4","5","The graph confused me but I did what I thought was correct.","",20.9412666666667,"2","chrome","1366","768","45","ORTH"
"0P0PJ","11111221","ORTH-45","SGC4C","summer22","asynch","Female",37,"English",NA,"USA","I tried my best on each question","5","2","1","","No",11.0485833333333,"1","chrome","1536","746","45","ORTH"
"5EXHC","11111331","ORTH-90","SGC4C","summer22","asynch","Female",25,"English",NA,"USA","I tried my best on most questions","3","2","3","Nothing comes to mind.","NO.",9.91253333333333,"1","chrome","1920","969","90","ORTH"
"PMPVE","11311331","TRI-90","SGC4C","summer22","asynch","Female",42,"English",NA,"USA","I tried my best on each question","5","2","4","The instructions were a little confusing, perhaps on purpose? I think a more detailed tutorial would have been helpful.","no",10.83105,"1","chrome","1815","984","90","TRI"
"LLPS7","11311331","TRI-90","SGC4C","summer22","asynch","Male",39,"English",NA,"United States","I tried my best on each question","4","2","4","","",10.726,"2","chrome","1536","714","90","TRI"
"J7392","11111331","ORTH-90","SGC4C","summer22","asynch","Male",24,"English",NA,"United States","I tried my best on each question","4","2","2","explain the graph better","N/A",10.0672333333333,"3.5","chrome","1920","977","90","ORTH"
"F24DY","111112","ORTH-45","SGC4C","summer22","asynch","Male",32,"English",NA,"USA","I tried my best on each question","4","1","5","","",15.0908,"1","chrome","1280","743","45","ORTH"
"56DR6","11311331","TRI-90","SGC4C","summer22","asynch","Female",56,"English",NA,"USA","I tried my best on each question","5","2","1","I could never do that job.  It was very confusing.  Early on, I wanted to click on and answer and the box wouldn't light up... just fyi.","No",14.6121666666667,"1","chrome","1707","738","90","TRI"
"DA399","11311221","TRI-45","SGC4C","summer22","asynch","Female",37,"English",NA,"United States","I tried my best on each question","4","4","5","I'm not sure honestly. ","ADHD (but I took my meds today so it shouldn't have affected much)",9.86051666666667,"1","chrome","1920","969","45","TRI"
"2CKLU","11311331","TRI-90","SGC4C","summer22","asynch","Female",20,"English",NA,"USA","I tried my best on each question","5","1","2","This chart was very confusing. I think I figured out how to read it by the end, but still not sure.","no",13.1994,"1","chrome","1440","708","90","TRI"
"NUFZK","11311331","TRI-90","SGC4C","summer22","asynch","Female",20,"English",NA,"United States","I tried my best on each question","4","2","3","","no",6.62896666666667,"2","chrome","1440","789","90","TRI"
"Z4OEO","11111221","ORTH-45","SGC4C","summer22","asynch","Female",40,"English",NA,"USA","I tried my best on each question","4","3","2","I had a difficult time understanding the graph as the lines were going at an angle ","None",17.7377,"3.5","chrome","1821","833","45","ORTH"
"RZDXV","11111331","ORTH-90","SGC4C","summer22","asynch","Male",20,"English",NA,"USA","I tried my best on each question","3","5","4","It was a tedious task that kept me occupied.","N/A",9.26018333333333,"1","chrome","1200","691","90","ORTH"
"XQ2VB","11111221","ORTH-45","SGC4C","summer22","asynch","Female",21,"English",NA,"United States","I tried my best on each question","3","4","5","i was confused at first but then I got into the hang of it
","no",7.41738333333333,"1","chrome","1267","707","45","ORTH"
"8U9S4","11311221","TRI-45","SGC4C","summer22","asynch","Male",38,"English",NA,"usa","I tried my best on each question","3","1","2","","no...though i'm clearly unable to properly read a weird triangular shift map",6.88436666666667,"3","chrome","1536","722","45","TRI"
"TSE1Z","11311221","TRI-45","SGC4C","summer22","asynch","Female",20,"English",NA,"United States","I tried my best on each question","3","4","3","","",9.70956666666667,"1","chrome","1536","754","45","TRI"
"CEDLM","11311331","TRI-90","SGC4C","summer22","asynch","Male",40,"English",NA,"United States","I tried my best on each question","4","4","5","","None",10.7083833333333,"2","chrome","1920","969","90","TRI"
