"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"VT3ZX","mike","fall17","121",3,8,11,0,1,1,"1","2","full",510609,716153,255493,255116,1,"Other","Second","Social Sciences (incl. CogSci)","USA","Female",19
"HKSU4","charlie","fall17","121",1,3,4,0,5,5,"1","2","full",454187,580262,216055,238132,1,"English","Second","Natural Sciences","USA","Female",19
"FGMSN","juliet","fall17","121",0,1,1,0,7,7,"1","2","full",584329,713896,324411,259918,1,"English","Fourth","Social Sciences (incl. CogSci)","U.A.E","Female",33
"5EWM2","mike","fall17","121",0,2,2,0,8,8,"1","2","full",395432,589822,175310,220122,1,"English","Fifth","Biomedical & Health Sciences","United States","Male",25
"ZZYXF","hotel","fall17","121",0,2,2,0,10,10,"1","2","full",604171,877798,270227,333944,1,"English","Third","Humanities","usa","Female",20
"2BBZ9","india","fall17","111",0,2,2,5,10,15,"1","1","full",600156,743451,357250,242906,1,"English","Second","Natural Sciences","United States ","Female",19
"N2UK6","juliet","fall17","111",0,2,2,5,10,15,"1","1","full",562082,719366,272515,289567,1,"English","Fifth","Biomedical & Health Sciences","USA","Female",22
"EN7PB","echo","fall17","111",0,1,1,2,8,10,"1","1","full",435059,710165,214997,220062,1,"English","Third","Biomedical & Health Sciences","USA","Male",19
"GF1FQ","india","fall17","121",0,2,2,0,7,7,"1","2","full",437470,1131157,203163,234307,1,"English","Fourth","Social Sciences (incl. CogSci)","United States","Male",21
"3OTEP","hotel","fall17","121",5,9,14,0,1,1,"1","2","full",400142,652463,178504,221638,1,"English","Fourth","Natural Sciences","United States of America","Male",21
"XQZYP","lima","fall17","111",1,6,7,2,3,5,"1","1","full",669446,811001,344214,325232,1,"English","Fifth","Biomedical & Health Sciences","USA","Male",22
"3B1TL","mike","fall17","111",4,10,14,0,2,2,"1","1","full",934728,1230256,531905,402823,1,"English","Second","Humanities","United States","Female",19
"3QO3J","bravo","fall17","111",1,3,4,1,5,6,"1","1","full",226248,472251,84055,142193,1,"English","First","Humanities","USA","Female",18
"EC0K7","lima","fall17","111",0,2,2,5,9,14,"1","1","full",579484,752040,275709,303775,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"FUV6R","delta","fall17","121",3,8,11,0,4,4,"1","2","full",519447,786654,249470,269977,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"QB8G8","hotel","fall17","121",1,2,3,0,7,7,"1","2","full",470728,724943,186201,284527,1,"Mandarin or Cantonese","Second","Social Sciences (incl. CogSci)","United States","Female",19
"0ZCT1","mike","fall17","121",5,10,15,0,2,2,"1","2","full",413795,623923,181417,232378,1,"English","First","Humanities","US","Male",19
"6G1ZR","lima","fall17","111",0,2,2,5,9,14,"1","1","full",356773,499301,129320,227453,1,"English","Third","Social Sciences (incl. CogSci)","US","Female",20
"KLYG7","golf","fall17","111",0,2,2,1,4,5,"1","1","full",723636,1004294,279611,444025,1,"English","Second","Fine Arts","Vietnam ","Male",18
"1THJX","mike","fall17","121",0,2,2,0,10,10,"1","2","full",480579,679842,281738,198841,1,"English","Third","Biomedical & Health Sciences","US","Male",20
"PO9J4","kilo","fall17","121",0,2,2,0,10,10,"1","2","full",472205,650309,271869,200336,1,"English","Third","Social Sciences (incl. CogSci)","US","Female",20
"YGEAY","foxtrot","fall17","111",0,3,3,4,8,12,"1","1","full",672669,904374,374312,298357,1,"English","First","Natural Sciences","United States of America","Female",18
"R0GKA","india","fall17","121",4,8,12,0,1,1,"1","2","full",382053,537640,199677,182376,1,"English","First","Social Sciences (incl. CogSci)","USA","Female",18
"G0CPA","lima","fall17","111",0,2,2,4,10,14,"1","1","full",398545,553141,171521,227024,1,"English","Fifth","Biomedical & Health Sciences","USA","Male",23
"1FO1D","india","fall17","121",1,6,7,0,4,4,"1","2","full",447254,1110591,264098,183156,1,"English","First","Fine Arts","USA","Male",18
"ASEGP","kilo","fall17","121",0,2,2,0,10,10,"1","2","full",491309,665690,285396,205913,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Male",21
"OTVZR","golf","fall17","121",2,5,7,0,2,2,"1","2","full",621377,892668,332661,288716,1,"English","First","Social Sciences (incl. CogSci)","United States","Female",18
"F49JC","mike","fall17","121",4,7,11,0,1,1,"1","2","full",562970,784550,344941,218029,1,"Mandarin or Cantonese","First","Math or Computer Sciences","Taiwan","Male",18
"2JRT6","mike","fall17","111",2,3,5,1,1,2,"1","1","full",1197239,1431322,325095,872144,1,"English","Third","Social Sciences (incl. CogSci)","United States","Female",20
"7L4J4","hotel","fall17","111",0,2,2,4,10,14,"1","1","full",599353,826911,299297,300056,1,"Other","Third","Biomedical & Health Sciences","USA","Female",20
"M675E","bravo","fall17","121",4,9,13,0,1,1,"1","2","full",402010,543556,158069,243941,1,"English","Third","Social Sciences (incl. CogSci)","US","Female",21
"QSGCP","juliet","fall17","111",0,2,2,5,10,15,"1","1","full",350937,531635,114962,235975,1,"English","Second","Humanities","United States of America","Female",19
"L0M3H","kilo","fall17","121",1,2,3,0,10,10,"1","2","full",369752,536606,155458,214294,1,"English","Third","Social Sciences (incl. CogSci)","United States","Female",20
"DC2Y0","juliet","fall17","121",4,7,11,0,2,2,"1","2","full",580608,749945,238348,342260,1,"English","Third","Biomedical & Health Sciences","United States of America","Male",22
"X0PRP","mike","fall17","111",0,2,2,4,10,14,"1","1","full",504826,693916,268419,236407,1,"English","Third","Social Sciences (incl. CogSci)","United States","Male",20
"8V51R","hotel","fall17","111",0,1,1,5,8,13,"1","1","full",523784,856089,226529,297255,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"B3OKB","hotel","fall17","111",0,7,7,5,4,9,"1","1","full",550860,807137,256455,294405,1,"English","First","Engineering","India","Male",19
"EENOM","lima","fall17","111",0,2,2,3,10,13,"1","1","full",510340,662410,193447,316893,1,"English","Second","Math or Computer Sciences","usa","Female",19
"EFTYS","XTRA","fall17","111",0,2,2,5,9,14,"1","1","full",488877,658130,241283,247594,1,"English","Second","Biomedical & Health Sciences","USA","Male",19
"HH4FP","hotel","fall17","111",0,2,2,5,9,14,"1","1","full",460936,724426,239382,221554,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"AJZV2","golf","fall17","121",4,10,14,0,2,2,"1","2","full",656137,917485,284326,371811,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"JFFAY","bravo","fall17","111",0,2,2,4,10,14,"1","1","full",767021,1035425,388455,378566,1,"English","First","Engineering","United States","Female",18
