"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","violations","browser","width","height","pretty_condition","pretty_mode"
"94FR9","111","winter22","asynch","Female",27,"English","Fourth","USA","I tried my best on each question","4","3","2","","I have astigmatism in both eyes and find black text on a white background hard to read; I also have ADHD",11.2995166666667,"1","chrome","1440","704","control","online-replication"
"M3E87","121","winter22","asynch","Female",19,"English","Second","United States","I tried my best on most questions","4","2","3","I didn't know at all how to interpret the first set of questions about the graph. I left some blank if I couldn't see any that satisfied the condition and guessed on some others. The second set when Korrin (I think?) took over scheduling made sense and was much easier. I hope I answered more of those correctly.","no",18.0362166666667,"1","chrome","1440","821","impasse","online-replication"
"91D56","111","winter22","asynch","Female",20,"English","Third","USA","I tried my best on most questions","3","2","3","","",8.31815,"1","chrome","1440","789","control","online-replication"
"JMZMZ","121","winter22","asynch","Male",21,"English","Third","United States","I tried my best on most questions","4","3","2","I think it would have been helpful to know that it was possible to move on without selecting an answer from the beginning. ","No",12.6038833333333,"1","chrome","1440","731","impasse","online-replication"
"WZFMC","111","winter22","asynch","Female",20,"English","Second","US","I tried my best on each question","5","1","3","I was very confused, perhaps if you all used a different spread sheet, I think its hard to see if they times are lined up.","nope",9.45061666666667,"1.5","chrome","1382","692","control","online-replication"
"04YXZ","111","winter22","asynch","Female",22,"English","Fourth","USA","I tried my best on most questions","4","1","2","I was being distracted by my environment unwillingly ","no",9.67681666666667,"1","chrome","1189","735","control","online-replication"
"1HLEP","121","winter22","asynch","Female",21,"Spanish","Fourth","United States","I tried my best on each question","4","2","3","","",44.3193,"3","chrome","1500","857","impasse","online-replication"
"FPSQJ","121","winter22","asynch","Female",21,"Spanish","Fourth","United States","I tried my best on each question","4","3","5","N/A","No",5.9331,"1","chrome","1600","752","impasse","online-replication"
"TCS5Z","121","winter22","asynch","Female",19,"English","Second","United States","I tried my best on most questions","5","3","5","","",6.15418333333333,"1","chrome","1280","681","impasse","online-replication"
"T8OB0","111","winter22","asynch","Male",18,"English","First","United States","I tried my best on each question","2","5","4","I initially read the graph differently than I did in the end and did not understand the triangle structure at first.","",11.8846333333333,"2","chrome","2048","1042","control","online-replication"
"9XEMK","111","winter22","asynch","Male",20,"English","Third","United States","I tried my best on each question","2","4","3","Wasn't sure how to sue the graph at first, though that may be part of the experiment.","No",10.2299833333333,"1","chrome","1920","969","control","online-replication"
"4KH27","111","winter22","asynch","Female",19,"English","First","United States","I tried my best on each question","3","3","2","","no",11.13715,"1","chrome","1427","698","control","online-replication"
"ZMRMB","121","winter22","asynch","Male",21,"Korean","Fourth","South Korea","I tried my best on most questions","4","2","3","","",12.3185166666667,"1","chrome","1128","702","impasse","online-replication"
"ML0PA","121","winter22","asynch","Female",21,"Arabic","Third","Syria","I tried my best on each question","4","2","1","the overall diagram is hard to interpret.","No",9.5144,"1","chrome","1261","729","impasse","online-replication"
"ZDA7B","121","winter22","asynch","Male",20,"Spanish","Third","USA","I tried my best on each question","4","2","2","I was kind of confused for most of it because some questions didn't line up with what I interpreted of the graph. ","none",12.6443833333333,"2","chrome","1536","754","impasse","online-replication"
"YV1XZ","111","winter22","asynch","Female",18,"English","First","Hong Kong","I tried my best on most questions","4","2","4","","",9.0071,"1","chrome","1303","725","control","online-replication"
"HF78R","121","winter22","asynch","Male",21,"English","Fourth","United States of America","I tried my best on each question","3","3","4","","no",35.6469833333333,"2","chrome","1440","821","impasse","online-replication"
"BDQEZ","121","winter22","asynch","Female",20,"English","Third","USA","I tried my best on each question","2","4","3","","no",9.78451666666667,"3","chrome","1536","714","impasse","online-replication"
"V9JKJ","111","winter22","asynch","Male",21,"Cantonese","Fourth","USA","I tried my best on each question","2","4","4","it made me realize using colored bars on calendars to schedule things with people is better than this","no",13.0894166666667,"1","chrome","1920","979","control","online-replication"
"PVRS1","121","winter22","asynch","Female",22,"English","Fourth","United States","I tried my best on each question","5","3","5","I feel like I just realized a different way to read the darn graph- and I did everything wrong! Hopefully other people feel that too lol, very interesting experience!","no",17.1345833333333,"1","chrome","1366","768","impasse","online-replication"
"7OYPU","111","winter22","asynch","Other-Not Listed",23,"X-Other","Fourth","United States","I tried my best on each question","1","5","1","","",4.09963333333333,"1","chrome","2560","1307","control","online-replication"
"N53LC","111","fall17","lab-synch","Female",21,"English","Fourth","US","NULL","NULL","NULL","NULL","NULL","NULL",12.2737666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"LJTDL","121","fall17","lab-synch","Male",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",15.5134833333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"5WPCV","121","fall17","lab-synch","Male",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",17.8298,"NULL","NULL","NULL","NULL","impasse","laboratory"
"KBQPW","121","fall17","lab-synch","Male",27,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.0541,"NULL","NULL","NULL","NULL","impasse","laboratory"
"KUHF1","121","fall17","lab-synch","Male",19,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.06356666666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"R8PM2","111","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",8.41973333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"OQB9V","111","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.21741666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"MABX4","121","fall17","lab-synch","Male",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.72021666666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"TX10R","111","fall17","lab-synch","Male",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.4999,"NULL","NULL","NULL","NULL","control","laboratory"
"M1REU","111","fall17","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.8817666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"SAAFX","121","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",10.2311666666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"4GSTQ","111","fall17","lab-synch","Male",22,"English","Fifth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",13.4211833333333,"NULL","NULL","NULL","NULL","control","laboratory"
"VT3ZX","121","fall17","lab-synch","Female",19,"Other","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9358833333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"HKSU4","121","fall17","lab-synch","Female",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.67103333333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"FGMSN","121","fall17","lab-synch","Female",33,"English","Fourth","U.A.E","NULL","NULL","NULL","NULL","NULL","NULL",11.8982666666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"5EWM2","121","fall17","lab-synch","Male",25,"English","Fifth","United States","NULL","NULL","NULL","NULL","NULL","NULL",9.83036666666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"ZZYXF","121","fall17","lab-synch","Female",20,"English","Third","usa","NULL","NULL","NULL","NULL","NULL","NULL",14.6299666666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"2BBZ9","111","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.39085,"NULL","NULL","NULL","NULL","control","laboratory"
"N2UK6","111","fall17","lab-synch","Female",22,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9894333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"EN7PB","111","fall17","lab-synch","Male",19,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.8360833333333,"NULL","NULL","NULL","NULL","control","laboratory"
"GF1FQ","121","fall17","lab-synch","Male",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",18.8526166666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"3OTEP","121","fall17","lab-synch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",10.8743833333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"XQZYP","111","fall17","lab-synch","Male",22,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.5166833333333,"NULL","NULL","NULL","NULL","control","laboratory"
"3B1TL","111","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",20.5042666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"3QO3J","111","fall17","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",7.87085,"NULL","NULL","NULL","NULL","control","laboratory"
"EC0K7","111","fall17","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.534,"NULL","NULL","NULL","NULL","control","laboratory"
"FUV6R","121","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",13.1109,"NULL","NULL","NULL","NULL","impasse","laboratory"
"QB8G8","121","fall17","lab-synch","Female",19,"Mandarin or Cantonese","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",12.0823833333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"0ZCT1","121","fall17","lab-synch","Male",19,"English","First","US","NULL","NULL","NULL","NULL","NULL","NULL",10.3987166666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"6G1ZR","111","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",8.32168333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"KLYG7","111","fall17","lab-synch","Male",18,"English","Second","Vietnam","NULL","NULL","NULL","NULL","NULL","NULL",16.7382333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"1THJX","121","fall17","lab-synch","Male",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",11.3307,"NULL","NULL","NULL","NULL","impasse","laboratory"
"PO9J4","121","fall17","lab-synch","Female",20,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",10.8384833333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"YGEAY","111","fall17","lab-synch","Female",18,"English","First","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",15.0729,"NULL","NULL","NULL","NULL","control","laboratory"
"R0GKA","121","fall17","lab-synch","Female",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",8.96066666666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"G0CPA","111","fall17","lab-synch","Male",23,"English","Fifth","USA","NULL","NULL","NULL","NULL","NULL","NULL",9.21901666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"1FO1D","121","fall17","lab-synch","Male",18,"English","First","USA","NULL","NULL","NULL","NULL","NULL","NULL",18.50985,"NULL","NULL","NULL","NULL","impasse","laboratory"
"ASEGP","121","fall17","lab-synch","Male",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.0948333333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"OTVZR","121","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.8778,"NULL","NULL","NULL","NULL","impasse","laboratory"
"F49JC","121","fall17","lab-synch","Male",18,"Mandarin or Cantonese","First","Taiwan","NULL","NULL","NULL","NULL","NULL","NULL",13.0758333333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"2JRT6","111","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",23.8553666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"7L4J4","111","fall17","lab-synch","Female",20,"Other","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.78185,"NULL","NULL","NULL","NULL","control","laboratory"
"M675E","121","fall17","lab-synch","Female",21,"English","Third","US","NULL","NULL","NULL","NULL","NULL","NULL",9.05926666666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"QSGCP","111","fall17","lab-synch","Female",19,"English","Second","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",8.86058333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"L0M3H","121","fall17","lab-synch","Female",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",8.94343333333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"DC2Y0","121","fall17","lab-synch","Male",22,"English","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",12.4990833333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"X0PRP","111","fall17","lab-synch","Male",20,"English","Third","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.5652666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"8V51R","111","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",14.26815,"NULL","NULL","NULL","NULL","control","laboratory"
"B3OKB","111","fall17","lab-synch","Male",19,"English","First","India","NULL","NULL","NULL","NULL","NULL","NULL",13.4522833333333,"NULL","NULL","NULL","NULL","control","laboratory"
"EENOM","111","fall17","lab-synch","Female",19,"English","Second","usa","NULL","NULL","NULL","NULL","NULL","NULL",11.0401666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"EFTYS","111","fall17","lab-synch","Male",19,"English","Second","USA","NULL","NULL","NULL","NULL","NULL","NULL",10.9688333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"HH4FP","111","fall17","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",12.0737666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"AJZV2","121","fall17","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.2914166666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"JFFAY","111","fall17","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",17.2570833333333,"NULL","NULL","NULL","NULL","control","laboratory"
"GQ35Z","111","spring18","lab-synch","Male",19,"Other","First","Israel","NULL","NULL","NULL","NULL","NULL","NULL",12.6798666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"PQN6T","111","spring18","lab-synch","Female",20,"English","Third","India","NULL","NULL","NULL","NULL","NULL","NULL",7.08263333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"67NP2","121","spring18","lab-synch","Male",20,"English","Third","India","NULL","NULL","NULL","NULL","NULL","NULL",14.1253333333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"781AU","111","spring18","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",16.52815,"NULL","NULL","NULL","NULL","control","laboratory"
"BKTUJ","111","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.0787833333333,"NULL","NULL","NULL","NULL","control","laboratory"
"QGQ61","121","spring18","lab-synch","Female",19,"English","Second","United States","NULL","NULL","NULL","NULL","NULL","NULL",16.4982333333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"TVQKD","121","spring18","lab-synch","Female",21,"English","Fourth","usa","NULL","NULL","NULL","NULL","NULL","NULL",13.3419666666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"QY1F7","121","spring18","lab-synch","Female",20,"Other","Second","U.S.","NULL","NULL","NULL","NULL","NULL","NULL",10.4081,"NULL","NULL","NULL","NULL","impasse","laboratory"
"YE3VQ","121","spring18","lab-synch","Female",21,"Mandarin or Cantonese","Second","China","NULL","NULL","NULL","NULL","NULL","NULL",10.5178166666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"CKRHQ","121","spring18","lab-synch","Female",20,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.3070333333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"4RGO3","111","spring18","lab-synch","Male",21,"English","Fourth","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",20.2828166666667,"NULL","NULL","NULL","NULL","control","laboratory"
"D3LUH","121","spring18","lab-synch","Male",20,"Other","Third","Iraq","NULL","NULL","NULL","NULL","NULL","NULL",10.5063333333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"J1JP6","111","spring18","lab-synch","Male",25,"English","Other","USA","NULL","NULL","NULL","NULL","NULL","NULL",22.1772333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"X9PTQ","111","spring18","lab-synch","Female",18,"English","First","United States","NULL","NULL","NULL","NULL","NULL","NULL",15.2223,"NULL","NULL","NULL","NULL","control","laboratory"
"X9GRY","121","spring18","lab-synch","Female",23,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",11.9721833333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"R06S6","121","spring18","lab-synch","Female",21,"English","Third","USA\n","NULL","NULL","NULL","NULL","NULL","NULL",10.2600833333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"W7EBS","111","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","China","NULL","NULL","NULL","NULL","NULL","NULL",12.8092333333333,"NULL","NULL","NULL","NULL","control","laboratory"
"DOQRP","121","spring18","lab-synch","Male",21,"English","Fourth","u.S.","NULL","NULL","NULL","NULL","NULL","NULL",9.20731666666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"DKL3R","121","spring18","lab-synch","Female",19,"Mandarin or Cantonese","First","China","NULL","NULL","NULL","NULL","NULL","NULL",12.19505,"NULL","NULL","NULL","NULL","impasse","laboratory"
"9393C","121","spring18","lab-synch","Female",20,"English","Second","united states","NULL","NULL","NULL","NULL","NULL","NULL",14.18255,"NULL","NULL","NULL","NULL","impasse","laboratory"
"JZWPZ","121","spring18","lab-synch","Female",21,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",6.13415,"NULL","NULL","NULL","NULL","impasse","laboratory"
"8LGZ4","111","spring18","lab-synch","Male",21,"English","Third","USA","NULL","NULL","NULL","NULL","NULL","NULL",14.0189666666667,"NULL","NULL","NULL","NULL","control","laboratory"
"QOJ6L","121","spring18","lab-synch","Male",22,"Mandarin or Cantonese","Fifth","China","NULL","NULL","NULL","NULL","NULL","NULL",15.4029666666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"808YR","121","spring18","lab-synch","Female",20,"Other","Third","United States of America","NULL","NULL","NULL","NULL","NULL","NULL",14.2720833333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"H1RGT","121","spring18","lab-synch","Female",21,"Other","Fourth","Thailand","NULL","NULL","NULL","NULL","NULL","NULL",9.18488333333333,"NULL","NULL","NULL","NULL","impasse","laboratory"
"4FETN","121","spring18","lab-synch","Female",21,"English","Fourth","United States","NULL","NULL","NULL","NULL","NULL","NULL",11.7670166666667,"NULL","NULL","NULL","NULL","impasse","laboratory"
"KYTVX","111","spring18","lab-synch","Male",22,"English","Fourth","USA","NULL","NULL","NULL","NULL","NULL","NULL",13.7712333333333,"NULL","NULL","NULL","NULL","control","laboratory"
