"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","discriminant_score","tri_score","orth_score","other_score","blank_score","totaltime_m"
"GWGN0","SGC4A","11111","wi22sona","2218","40402","sona","asynch","TRUE","The line going in the positive x,y direction at 12 pm. Any points that that line intercepts will start at 12 pm","I tried my best on most questions",5,2,1,"",19,"United States","English","Second","Engineering","Male","Not an impairment, but i misinterpreted the graph for the first question","chrome",1858,964,"Windows 10","2022-03-07T00:53:39.637Z","success","winter22",3,8,6.83333333333333,12,2,0,0,6.74855
"HXCRV","SGC4A","11111","wi22sona","2218","41969","sona","asynch","TRUE","Find 12 on the x-axis and see which events align","I tried my best on each question",4,3,5,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1920,842,"Mac OS","2022-03-08T09:44:39.152Z","success","winter22",1.5,0,-11,1,15,0,0,7.64068333333333
"11XCH","SGC4A","11111","wi22sona","2218","37682","sona","asynch","TRUE","Place finger on ""12"" on the X axis and move it straight up. all of those shifts start at 12pm.","I tried my best on most questions",3,2,5,"Really fun but frustrating lol",21,"United States","Arabic","Fourth","Social Sciences (incl. CogSci)","Male","no","chrome",2195,1092,"Windows 10","2022-03-09T02:05:32.085Z","success","winter22",3,0,-7.58333333333333,0,10,7,1,32.6356
"ON3CS","SGC4A","11111","wi22sona","2218","41187","sona","asynch","TRUE","You can determine what events start at 12 pm by looking at the points on the graph that indicate their start time at 12 pm. ","I tried my best on most questions",4,1,3,"Maybe give some more background on the graph. ",19,"US","English","First","Social Sciences (incl. CogSci)","Female","No","chrome",1440,821,"Mac OS","2022-03-09T04:29:23.631Z","success","winter22",1,0,-9.16666666666667,0,11,2,1,12.5077333333333
"545HR","SGC4A","11111","wi22sona","2218","42247","sona","asynch","TRUE","find 12 on the x axis and then follow the points up in a straight line until you reach a dot that intercepts your vertical line at x=12","I tried my best on each question",4,3,3,"that i did not fully understand the directions until about a third of the way through so a lot of my earlier answers were based on faulty logic.",19,"USA","English","First","Social Sciences (incl. CogSci)","Female","NO","chrome",1440,821,"Mac OS","2022-03-08T23:07:04.691Z","success","winter22",2,1,-7.33333333333333,1,11,4,0,10.5891333333333
"OWOFE","SGC4A","11111","wi22sona","2218","39970","sona","asynch","TRUE","Look at the diagonal line that leans to the right sprouting from 12 pm on the bottom. Anything on that line starts at 12. ","I tried my best on each question",5,1,4,"",20,"US","English","Second","Social Sciences (incl. CogSci)","Other-Not Listed","ASD","chrome",1440,821,"Mac OS","2022-03-09T03:44:35.680Z","success","winter22",1,7,5.66666666666667,10,3,3,1,13.96805
"BKASK","SGC4A","11111","wi22sona","2218","43112","sona","asynch","TRUE","The events that are in the vertical line extending up from the 12pm marking on the graph start at 12pm.","I tried my best on most questions",2,3,2,"",19,"United States","English","First","Natural Sciences","Other-Not Listed","no","chrome",1440,788,"Mac OS","2022-03-09T06:51:04.321Z","success","winter22",1,0,-12,0,15,0,0,11.1538333333333
"TD1J6","SGC4A","11111","wi22sona","2218","42448","sona","asynch","TRUE","To determine what starts at 12, locate the 12 pm on the x axis and follow upwards to see what letters correspond.","I started out trying hard, but gave up at some point",3,3,4,"The basic questions such as ""what shifts start at 12"" I enjoyed answering. Others such as, ""what shifts ended at 12"" or "" what shifts share a coffee break, were harder and less enjoyable. ",18,"USA","English","First","Social Sciences (incl. CogSci)","Female","No","chrome",1600,762,"Windows 10","2022-03-07T06:59:29.115Z","success","winter22",1,1,-6.91666666666667,2,11,4,0,12.3538833333333
"03DH0","SGC4A","11111","wi22sona","2218","31862","sona","asynch","TRUE","Look at 12pm on the x axis, then follow the line going up and to the right until you see a data point.","I tried my best on each question",1,5,4,"At first I didn't understand the graph, but after about a minute of looking at it, it started to make more and more sense.
",20,"United States","Spanish","Third","Social Sciences (incl. CogSci)","Male","no","chrome",1536,722,"Windows 10","2022-03-08T19:38:05.156Z","success","winter22",1,12,12,15,0,0,0,9.61305
"SFGM1","SGC4A","11111","wi22sona","2218","39756","sona","asynch","TRUE","I look at the x-axis and find '12 PM'. Then, I look vertically to find labels on the same y-axis as '12 PM'.","I tried my best on each question",4,2,3,"N/A",19,"Republic of Korea","English","Second","Social Sciences (incl. CogSci)","Male","N/A","chrome",1440,714,"Mac OS","2022-03-09T01:07:26.093Z","success","winter22",1,2,-4.66666666666667,3,8,8,3,8.1803
"EK0VG","SGC4A","11111","wi22sona","2217","42299","sona","asynch","TRUE","We can determine by looking at the graph.","I tried my best on each question",2,3,5,"This task was really interesting",20,"Pakistan","X-Other","Third","Social Sciences (incl. CogSci)","Female","","chrome",1600,789,"Windows 7","2022-03-09T21:21:46.998Z","success","winter22",1,1,-4.08333333333333,2,7,6,0,3.46805
"VRDL9","SGC4A","11111","wi22sona","2218","43038","sona","asynch","TRUE","by looking at what is vertically above the 12pm mark on the x axis","I tried my best on most questions",5,2,5,"What was the point of the diagonal lines?",18,"United States","English","First","Engineering","Male","NO","chrome",1536,754,"Windows 10","2022-03-09T01:59:00.214Z","success","winter22",1,0,-8.5,1,12,5,1,12.4851666666667
"GWVWK","SGC4A","11111","wi22sona","2218","41915","sona","asynch","TRUE","looking at the x axis, it tell start time","I tried my best on each question",4,5,4,"it was interesting adjusting to how the graph worked.",20,"United States","English","Third","Social Sciences (incl. CogSci)","Male","n/a","chrome",1184,711,"Mac OS","2022-03-06T23:34:33.694Z","success","winter22",1,0,-12,0,15,0,0,10.2843333333333
"VL4EY","SGC4A","11111","wi22sona","2218","41746","sona","asynch","FALSE","look at the intersection of X asix and Yaxis","I started out trying hard, but gave up at some point",2,2,1,"",19,"China","Mandarin","Third","Humanities","Female","no","chrome",1400,718,"Mac OS","2022-03-09T00:30:53.483Z","success","winter22",1,0,-3.16666666666667,1,3,7,0,8.76915
"Z1Z1O","SGC4A","11111","wi22sona","2218","38789","sona","asynch","TRUE","Look at the bottom of the graph (the x-axis), and look for the dots directly above the 12pm line.","I tried my best on most questions",4,3,2,"",20,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1366,768,"Chrome OS","2022-03-07T06:47:53.493Z","success","winter22",1,0,-11.1666666666667,0,13,2,0,13.5330666666667
"AAOLH","SGC4A","11111","wi22sona","2218","36209","sona","asynch","TRUE","Where it vertically aligns with 12 pm on the graph.","I tried my best on most questions",4,2,5,"",19,"United States","English","Second","Biomedical & Health Sciences","Female","I have ADHD. ","chrome",1440,821,"Mac OS","2022-03-09T06:59:15.873Z","success","winter22",1,1,-6.41666666666667,1,10,5,0,6.24411666666667
"T71Z3","SGC4A","11111","wi22sona","2218","43104","sona","asynch","TRUE","The dot connects to two lines in which the left one points to the start time and the right one points to the end time. To find events that start at 12 pm, you have to look at the right-leaning line that is rooted at 12 pm and find dots on that line. (I totally did not realize this for the entire first part) ","I tried my best on each question",3,2,4,"I did not fully understand the graph for the first half of the survey and I only thought the dot is about the start time and did not think through the lines connecting to dots. Maybe it will be better if there is an example or practice question? ",18,"China","Mandarin","First","Social Sciences (incl. CogSci)","Female","N/A","chrome",1440,789,"Mac OS","2022-03-09T03:57:35.326Z","success","winter22",3,5,-1.16666666666667,7,7,2,0,36.4228833333333
"9RNM2","SGC4A","11111","wi22sona","2218","30405","sona","asynch","FALSE","Use the x axis at 12pm and go up to see which shifts have one there","I tried my best on most questions",5,3,3,"It was very tricky",22,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1254,718,"Mac OS","2022-03-08T19:55:12.477Z","success","winter22",1,1,-4.83333333333333,1,6,10,0,7.3762
"04TE9","SGC4A","11111","wi22sona","2218","41811","sona","asynch","TRUE","If the dot is aligned to the time then that is when it starts.","I tried my best on most questions",3,3,2,"",20,"United States","English","Third","Math or Computer Sciences","Female","No","chrome",1357,706,"Mac OS","2022-03-08T16:56:18.351Z","success","winter22",1,0,-10.6666666666667,0,13,2,0,9.90221666666667
"Y81GX","SGC4A","11111","wi22sona","2218","40841","sona","asynch","TRUE","I look at the x-axis which is the time. I look at which points are at x=12 pm. ","I tried my best on each question",3,4,2,"The graph was understandable enough to complete the questions but the triangle format slightly confused me.",19,"United States","English","Second","Social Sciences (incl. CogSci)","Male","No","chrome",1440,745,"Mac OS","2022-03-09T02:49:20.580Z","success","winter22",1,0,-12,0,15,0,0,18.2329833333333
"7UM6W","SGC4A","11111","wi22sona","2218","26009","sona","asynch","TRUE","Locate ""12 PM"" on the x-axis and move up the y-axis to find intersecting points that align. ","I tried my best on each question",4,4,3,"The activity was strenuous on my eyes. ",23,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1440,733,"Mac OS","2022-03-07T06:33:11.198Z","success","winter22",2,0,-12,0,15,0,0,29.8159333333333
"L9124","SGC4A","11111","wi22sona","2218","40597","sona","asynch","FALSE","F shifts","I started out trying hard, but gave up at some point",3,3,3,"",18,"US","Mandarin","First","Social Sciences (incl. CogSci)","Female","","chrome",1200,736,"Mac OS","2022-03-09T00:15:33.817Z","success","winter22",2,0,-5.08333333333333,0,5,4,0,21.3454666666667
"SBKOJ","SGC4A","11111","wi22sona","2218","36062","sona","asynch","TRUE","Find 12pm on X-axis and follow the diagonal line ascending rightward from that position.","I tried my best on each question",3,1,3,"I'm not sure if I read the schedules correctly, but I tried. ",28,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","No","chrome",1280,800,"Mac OS","2022-03-06T22:39:29.454Z","success","winter22",2,9,11.75,15,0,0,0,17.4187833333333
"781AJ","SGC4A","11111","wi22sona","2218","41205","sona","asynch","TRUE","depending on what the time is at the bottom x axis, the point is added to the duration in hours
","I tried my best on most questions",4,2,3,"I quite honestly was pretty confused due to the triangles and lines.",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","No ","chrome",1190,734,"Mac OS","2022-03-09T00:31:09.883Z","success","winter22",1.5,0,-7.75,0,8,14,0,7.64015
"52QNH","SGC4A","11111","wi22sona","2217","43341","sona","asynch","FALSE","dot before 12pm","I tried my best on most questions",4,4,3,"",23,"hk","Cantonese","Third","Engineering","Male","na","chrome",1536,713,"Windows 10","2022-03-09T20:55:19.383Z","success","winter22",1,1,-6.83333333333333,1,10,3,1,7.875
"W6U86","SGC4A","11111","wi22sona","2218","41759","sona","asynch","TRUE","imagine a vertical line perpendicular to the Start and End Time Axis at 12 pm. Whichever point falls on that vertical line, the corresponding event starts at 12 pm.","I tried my best on most questions",3,1,3,"",23,"china","Mandarin","Third","Social Sciences (incl. CogSci)","Female","","chrome",1920,1089,"Mac OS","2022-03-08T19:20:47.515Z","success","winter22",7,0,-10,1,14,0,1,47.14325
"HF4J5","SGC4A","11111","wi22sona","2218","43316","sona","asynch","TRUE","if they are above 12
","I tried my best on most questions",2,2,1,"",19,"United States","X-Other","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1440,733,"Mac OS","2022-03-09T02:17:29.116Z","success","winter22",1,1,-7.41666666666667,1,11,5,0,9.47928333333333
"F3GNF","SGC4A","11111","wi22sona","2218","34098","sona","asynch","TRUE","Find 12 PM on the x axis and follow the line heading to the right and identify the points that are on the line.","I tried my best on most questions",3,3,3,"",20,"United States","Korean","Third","Biomedical & Health Sciences","Female","","chrome",1536,746,"Windows 10","2022-03-07T06:45:52.686Z","success","winter22",1,11,10.9166666666667,14,0,1,0,9.6488
"BCLOS","SGC4A","11111","wi22sona","2217","32378","sona","asynch","TRUE","look at 12pm on the x axis and draw a vertical line","I tried my best on most questions",4,2,2,"I think some of the later questions revealed that I may have been looking at the chart entirely wrong :(",20,"United States","English","Third","Social Sciences (incl. CogSci)","Male","no","chrome",1440,722,"Mac OS","2022-03-09T21:01:38.391Z","success","winter22",1,0,-12.1666666666667,0,15,2,0,10.6031666666667
"37106","SGC4A","11111","wi22sona","2218","34819","sona","asynch","TRUE","look at the x axis, find 12pm, and look which shifts align at that x","I tried my best on most questions",4,4,5,"I dont know",20,"Mexico","Spanish","Third","Social Sciences (incl. CogSci)","Female","None","chrome",1440,789,"Mac OS","2022-03-07T00:24:39.760Z","success","winter22",1,0,-11.1666666666667,0,14,2,0,9.8757
"JGQL7","SGC4A","11111","wi22sona","2218","38096","sona","asynch","TRUE","To determine what event(s) start at 12pm, check the x axis for the time at 12pm and find the shifts that are organized at that time.","I tried my best on each question",4,3,3,"I was confused about the x-axis being labeled as ""start and end times."" I calculated the end times by adding the duration to the hour labeled on the x-axis but I'm honestly not sure if that was the correct way to go about it since the ""end times"" was labeled there as well.",20,"United States","English","Second","Biomedical & Health Sciences","Female","No","chrome",1536,722,"Windows 10","2022-03-09T01:15:09.404Z","success","winter22",1,0,-12,0,15,0,0,11.4689666666667
"6JZMM","SGC4A","11111","wi22sona","2218","37892","sona","asynch","TRUE","Look at the X axis of a certain time and see which letter is right above it","I tried my best on most questions",2,3,1,"",19,"United States","X-Other","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,820,"Mac OS","2022-03-07T00:54:24.496Z","success","winter22",1,0,-7,0,8,11,0,8.14766666666667
"ZWF7Z","SGC4A","11111","wi22sona","2218","42692","sona","asynch","TRUE","By looking at the x-axis","I tried my best on most questions",3,3,1,"",22,"US","Arabic","Fourth","Biomedical & Health Sciences","Female","","chrome",1184,703,"Windows 10","2022-03-09T03:08:49.010Z","success","winter22",2,0,-8.91666666666667,0,11,5,0,8.3721
"O6BKW","SGC4A","11111","wi22sona","2218","43171","sona","asynch","TRUE","draw a vertical line passing through 12 pm and find the dots intersecting with drawn line. ","I tried my best on each question",4,4,4,"",19,"South Korea","Korean","First","Engineering","Male","No","chrome",2560,1297,"Windows 10","2022-03-06T07:09:49.667Z","success","winter22",5,0,-11.1666666666667,2,15,2,0,24.4456166666667
"R41WF","SGC4A","11111","wi22sona","2218","41287","sona","asynch","TRUE","i look at the x axis go to 12 pm and make an imaginary vertical line to see what it intersects. the points that it does start at 12 pm.","I tried my best on most questions",3,3,2,"the layout of the time schedule was very... interesting. ",19,"USA ","English","First","Humanities","Male","no","chrome",1536,754,"Windows 10","2022-03-09T02:57:09.280Z","success","winter22",1,0,-11.5833333333333,1,15,6,0,17.5958333333333
"CHF7E","SGC4A","11111","wi22sona","2218","36858","sona","asynch","TRUE","following the line at 12pm to the right, every event point along the line started at 12pm","I tried my best on each question",2,4,4,"none",23,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","none","chrome",1440,900,"Mac OS","2022-03-08T08:28:32.400Z","success","winter22",1,11,11,13,0,0,1,8.29803333333333
"XTT38","SGC4A","11111","wi22sona","2218","36470","sona","asynch","TRUE","Points above 12pm","I started out trying hard, but gave up at some point",4,2,1,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1920,937,"Windows 10","2022-03-09T04:54:52.903Z","success","winter22",1,0,-5.16666666666667,1,7,8,0,7.2994
"8PJT2","SGC4A","11111","wi22sona","2218","27946","sona","asynch","FALSE","You have to look at the graph to see what letter correspond to 12pm","I tried my best on most questions",3,2,2,"",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1440,725,"Mac OS","2022-03-07T05:08:38.916Z","success","winter22",1,0,-4.5,1,3,29,1,3.59216666666667
"DJARF","SGC4A","11111","wi22sona","2218","39038","sona","asynch","TRUE","go to 12pm and follow line up and to the right ","I tried my best on most questions",2,3,5,"",20,"United States","Spanish","Third","Biomedical & Health Sciences","Female","No","chrome",1195,712,"Mac OS","2022-03-06T22:59:00.596Z","success","winter22",1,11,10.8333333333333,13,0,2,0,3.31913333333333
"LD29H","SGC4A","11111","wi22sona","2218","41188","sona","asynch","TRUE","Locate 12pm on x- axis and hours on y-axis.","I tried my best on each question",2,3,4,"It was engaging.
",18,"United States of America","English","First","Social Sciences (incl. CogSci)","Female","None.","chrome",1440,697,"Mac OS","2022-03-09T03:38:16.539Z","success","winter22",1,2,-6,3,9,6,0,7.47158333333333
"H4GUE","SGC4A","11111","wi22sona","2218","31782","sona","asynch","TRUE","Look for 12pm on the x-axis and go up the chart to find dots that aligns with 12pm.","I tried my best on each question",3,4,5,"Everything was great! I just had a little trouble loading in at first. After the screen introducing my task and Alex, I was given a blank screen. I thought the test had started so I waited a while before I decided to refresh the page. But after I did refresh the page, the questions showed up so that was that. :D",21,"U.S","Mandarin","Fourth","Biomedical & Health Sciences","Female","no","chrome",1920,969,"Windows 10","2022-03-09T06:38:00.491Z","success","winter22",1,0,-12,0,15,0,0,15.5467666666667
"UA1V5","SGC4A","11111","wi22sona","2218","36842","sona","asynch","TRUE","B and F","I tried my best on each question",2,5,5,"It was interesting and unique. Short and simple. A great experiment. ",22,"United States","X-Other","Fourth","Social Sciences (incl. CogSci)","Male","No","chrome",1680,971,"Mac OS","2022-03-09T06:15:00.978Z","success","winter22",1,1,-7.75,1,11,2,1,11.4198833333333
"3B3KO","SGC4A","11111","wi22sona","2218","42047","sona","asynch","TRUE","Follow the line vertically ","I started out trying hard, but gave up at some point",5,1,3,"",20,"united states","English","Third","Social Sciences (incl. CogSci)","Female","2 houra of sleep and an eight hour work shift ","chrome",1440,726,"Mac OS","2022-03-07T02:47:32.060Z","success","winter22",2,0,-4.91666666666667,1,5,10,0,10.73135
"63XK4","SGC4A","11111","wi22sona","2217","41189","sona","asynch","TRUE","You go to 12pm and look up till you find a data point, in this case it is B and F","I tried my best on each question",3,4,3,"It was interesting because I felt like the 1st set of questions were harder than the second
",20,"United States","English","Third","Social Sciences (incl. CogSci)","Male","NO","chrome",1920,979,"Windows 10","2022-03-09T21:01:24.459Z","success","winter22",1,0,-10.3333333333333,0,13,3,0,12.1010666666667
"QW2F9","SGC4A","11111","wi22sona","2218","36097","sona","asynch","TRUE","look at the time below and follow the 12pm line to the dots above","I tried my best on most questions",4,3,1,"",20,"United States","Spanish","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1536,754,"Windows 10","2022-03-08T08:29:37.171Z","success","winter22",1.5,1,-3.83333333333333,2,6,9,1,29.6743833333333
"ZB711","SGC4A","11111","wi22sona","2218","34705","sona","asynch","TRUE","I am not too sure","I started out trying hard, but gave up at some point",3,3,3,"",21,"United States","English","Third","Biomedical & Health Sciences","Female","","chrome",1440,703,"Mac OS","2022-03-09T07:06:54.189Z","success","winter22",2,2,0.416666666666667,3,1,11,0,6.29756666666667
"AKU7D","SGC4A","11111","wi22sona","2217","42542","sona","asynch","TRUE","Which plots are placed in line with 12pm start time","I tried my best on most questions",3,4,4,"Darker Graph",23,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1440,789,"Mac OS","2022-03-09T21:28:12.229Z","success","winter22",1,0,-10.5,0,13,0,1,14.8384333333333
"XP9E6","SGC4A","11111","wi22sona","2218","42214","sona","asynch","TRUE","find 12 on the x axis and go up until you hit a dot","I tried my best on each question",4,4,2,"",19,"USA","English","First","Social Sciences (incl. CogSci)","Female","no","chrome",1200,777,"Mac OS","2022-03-06T23:32:00.064Z","success","winter22",1,0,-11,0,14,0,1,11.5730166666667
"STC1Z","SGC4A","11111","wi22sona","2218","43113","sona","asynch","TRUE","you look at the x axis and look for points who's x would be 12. for example, f and b. ","I tried my best on most questions",2,3,3,"",18,"USA","Spanish","First","Natural Sciences","Female","no","chrome",1440,746,"Mac OS","2022-03-09T01:44:38.529Z","success","winter22",3,0,-9.83333333333333,0,12,4,0,21.7610833333333
"PZWZ9","SGC4A","11111","wi22sona","2218","26850","sona","asynch","TRUE","You look at the x-axis to find 12 pm and then go up the graph to see which shift is directly in line with 12 pm","I tried my best on most questions",3,3,2,"I made sure there was zero background noise while doing this task.",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","None.","chrome",1440,789,"Mac OS","2022-03-06T23:28:59.523Z","success","winter22",1,0,-9.08333333333333,2,14,1,0,16.6185166666667
