"subject","study","condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","discriminant_score","tri_score","orth_score","other_score","blank_score","totaltime_m"
"TZWD6","SGC4A","114","wi22sona","2218","27773","sona","asynch","TRUE","The event(s) that start at 12pm are the one's where the half-time point is on the line of 12pm. So M for instance has it's break at 12:30 pm and ends at 1pm but the start time is 12pm. L also starts at 12pm, and it's half-way mark is at 3:30 pm and then ends at 7pm.","I tried my best on each question",3,4,4,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1430,707,"Mac OS","2022-03-03T20:16:09.442Z","success","winter22",1,9,6.91666666666667,12,2,0,0,11.0312833333333
"WDBTE","SGC4A","113","wi22sona","2217","36814","sona","asynch","TRUE","I check where the triangle begins after a point.","I tried my best on each question",3,3,5,"",19,"United States","Spanish","Second","Humanities","Female","","chrome",1440,821,"Mac OS","2022-03-09T19:28:27.446Z","success","winter22",1.5,9,8.16666666666667,11,1,3,0,8.91781666666667
"48K15","SGC4A","114","wi22sona","2218","30128","sona","asynch","TRUE","Two events start at 12. To determine which ones, I looked for the time of day and moved up","I tried my best on each question",4,3,4,"N/A",22,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Male","N/A","chrome",1137,734,"Mac OS","2022-03-02T16:24:41.826Z","success","winter22",1,0,-7.16666666666667,1,9,8,0,11.5273833333333
"TV3OW","SGC4A","115","wi22sona","2217","34967","sona","asynch","TRUE","Look at the vertical line at 12 PM","I tried my best on each question",4,4,3,"",21,"US","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-09T07:33:43.808Z","success","winter22",1,0,-10.1666666666667,1,14,2,1,12.5494166666667
"GKW6O","SGC4A","115","wi22sona","2218","35954","sona","asynch","TRUE","look the 12pm on x axis, and look the right line start from 12pm","I tried my best on each question",3,4,4,"no",20,"China","Mandarin","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1398,796,"Mac OS","2022-02-28T23:48:39.200Z","success","winter22",3,9,10.75,14,0,2,0,9.55321666666667
"EJOHQ","SGC4A","113","wi22sona","2218","28357","sona","asynch","TRUE","Look at the x-axis and look for what shifts start at 12pm","I tried my best on each question",4,3,5,"",21,"US","English","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",1422,800,"Windows 10","2022-03-05T03:48:41.507Z","success","winter22",1,1,-5.5,1,9,5,0,10.7957666666667
"FPNC8","SGC4A","115","wi22sona","2218","42049","sona","asynch","TRUE","points that are located above 12pm ","I tried my best on each question",4,2,1,"",21,"USA","Cantonese","Third","Natural Sciences","Female","","chrome",1680,874,"Mac OS","2022-03-02T23:35:39.878Z","success","winter22",2,2,-5.33333333333333,3,9,3,0,7.58351666666667
"EMTF9","SGC4A","114","wi22sona","2218","38882","sona","asynch","TRUE","","I tried my best on each question",5,2,3,"",21,"USA","X-Other","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-07T22:06:49.314Z","success","winter22",1.5,1,-2.33333333333333,2,3,9,0,5.13536666666667
"L1F8V","SGC4A","113","wi22sona","2218","27353","sona","asynch","TRUE","you go to 12pm on the x axis, and then go up to the right. so m and l start at 12pm","I tried my best on each question",4,3,2,"the graph was sort of hard to look at for me, all the lines felt like they were. moving and intersecting some",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,764,"Mac OS","2022-03-04T05:33:41.065Z","success","winter22",1,8,7.5,12,1,5,0,11.12595
"HW7XP","SGC4A","113","wi22sona","2218","32615","sona","asynch","TRUE","The events that are on the rightwards diagonal line from 12pm","I tried my best on each question",3,4,4,"",20,"Canada","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1368,769,"Windows 10","2022-03-05T00:57:35.256Z","success","winter22",1,11,11.9166666666667,15,0,1,0,7.75665
"HKBZP","SGC4A","114","wi22sona","2218","43281","sona","asynch","TRUE","The dots that line up vertically with the 12 pm on the horizontal axis","I tried my best on each question",2,4,3,"",18,"USA","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-08T04:44:54.136Z","success","winter22",1,0,-12,0,15,0,0,11.8608166666667
"R6HT7","SGC4A","114","wi22sona","2218","27548","sona","asynch","TRUE","To determine what events start at 12 pm, we must look along the axis of the start and end time and navigate upward from the tick labeled 12 pm. ","I tried my best on each question",4,3,3,"It could help to create the study with a format that fits smaller laptop screens.",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",2488,1306,"Linux","2022-03-06T01:14:06.057Z","success","winter22",3,0,-11.5,0,14,0,0,14.0271333333333
"1TMX1","SGC4A","114","wi22sona","2218","37353","sona","asynch","TRUE","You can go to the x axis and see what time the event starts. At 12pm is where you can see which event starts.","I tried my best on each question",4,3,2,"",21,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","No.","chrome",1289,796,"Mac OS","2022-03-04T03:29:38.020Z","success","winter22",1.5,0,-10.1666666666667,0,13,2,0,7.5839
"LUAJV","SGC4A","114","wi22sona","2218","33871","sona","asynch","TRUE","Look at the 12pm at the x-axis and then go straight up to see if any event points line up.","I tried my best on most questions",5,4,2,"",20,"USA","English","Third","Engineering","Male","","chrome",1536,722,"Windows 10","2022-03-08T05:45:57.469Z","success","winter22",1,0,-10.6666666666667,0,13,2,0,6.92908333333333
"MC1SJ","SGC4A","115","wi22sona","2217","43337","sona","asynch","TRUE","Find ""12pm"" on the x-axis and follow the line upwards until you see if any dots fall on that line. ","I tried my best on each question",3,2,4,"I realize now that I answered each question as if the graph did not have diagonal lines. When finding events, I went directly straight up from the x-axis, not following the line to the left/right.",19,"USA","English","First","Social Sciences (incl. CogSci)","Male","","chrome",1440,821,"Mac OS","2022-03-09T18:37:55.394Z","success","winter22",1,0,-11.6666666666667,0,14,2,0,11.1872166666667
"WKLV8","SGC4A","114","wi22sona","2218","40620","sona","asynch","TRUE","Look at 12 pm and go upwards and see which dots land on that time ","I tried my best on each question",4,4,4,"",23,"United States","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1440,789,"Mac OS","2022-03-03T04:27:00.421Z","success","winter22",1,0,-6.83333333333333,0,9,4,2,7.28548333333333
"0YUQD","SGC4A","115","wi22sona","2218","41261","sona","asynch","TRUE","Look at the diamond that has the bottom corner at 12 pm on the x axis; look at any points that are on the ends of the diamonds on top of it","I tried my best on each question",5,3,5,"",22,"North America","Korean","Third","Natural Sciences","Female","","chrome",1440,789,"Mac OS","2022-03-02T00:01:39.066Z","success","winter22",1,0,-11.0833333333333,0,14,1,0,6.32101666666667
"P4CNG","SGC4A","114","wi22sona","2217","43333","sona","asynch","TRUE","move vertically from 12","I tried my best on each question",3,3,4,"It was difficult to read the graph ",18,"USA","English","First","Engineering","Female","no","chrome",1200,696,"Mac OS","2022-03-09T15:27:41.212Z","success","winter22",1,2,-7.08333333333333,2,12,1,0,10.50175
"5N02T","SGC4A","115","wi22sona","2218","36153","sona","asynch","TRUE","look at the x axis","I tried my best on most questions",1,3,3,"",21,"romania","X-Other","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1440,821,"Mac OS","2022-02-28T03:32:29.834Z","success","winter22",1,1,-2.66666666666667,1,3,8,1,4.70271666666667
"U9386","SGC4A","113","wi22sona","2218","41633","sona","asynch","TRUE","I looked for 12pm on the x-axis then followed what was directly above it","I tried my best on each question",4,3,2,"",18,"USA","English","First","Social Sciences (incl. CogSci)","Female","no","chrome",1440,789,"Mac OS","2022-03-06T04:54:09.550Z","success","winter22",1,0,-7.58333333333333,2,11,1,1,13.53355
"FGQ0U","SGC4A","115","wi22sona","2217","34155","sona","asynch","TRUE","Look at the x axis for time and follow it up the y axis","I tried my best on each question",2,4,2,"",22,"United States","Spanish","Fourth","Social Sciences (incl. CogSci)","Female","na","chrome",1504,803,"Windows 10","2022-03-09T07:31:37.298Z","success","winter22",1,0,-10.8333333333333,0,13,4,0,11.5009
"O3FRB","SGC4A","113","wi22sona","2218","30576","sona","asynch","TRUE","follow the right line dividing from 12pm at the bottom and look at the shifts sharing the line ","I tried my best on each question",1,4,5,"I accidently didn't press one thing on one question (don't remember the exact question, but it was asking what shift(s) were in the condition and I only pressed one) ",21,"Korea","Korean","Third","Humanities","Female","","chrome",1438,687,"Mac OS","2022-02-28T00:47:49.980Z","success","winter22",1,9,9.33333333333333,13,1,1,0,5.74901666666667
"LYQ1C","SGC4A","114","wi22sona","2218","34285","sona","asynch","TRUE","Look at the 12 pm mark on the x axis and move your cursor up to see which points land on it","I tried my best on most questions",2,3,2,"",20,"United States","Spanish","Third","Biomedical & Health Sciences","Female","","chrome",1440,821,"Mac OS","2022-03-08T02:03:59.466Z","success","winter22",1,1,-10,1,14,0,0,11.0680666666667
"W6JFA","SGC4A","115","wi22sona","2218","35736","sona","asynch","TRUE","Find 12PM on the x-axis and then draw a perpendicular line to the x-axis at 12pm point. All points that intercept with the perpendicular line are the events.","I tried my best on each question",3,4,3,"",21,"China","Mandarin","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,683,"Mac OS","2022-03-06T01:25:17.964Z","success","winter22",1,0,-9.58333333333333,1,12,1,0,12.7336
"ZP1H3","SGC4A","113","wi22sona","2218","36855","sona","asynch","TRUE","i check the letter thats diagonally from the start time and check the other before it by looking at start time and duration hours to determine all","I tried my best on most questions",4,3,3,"",21,"us","Spanish","Third","Social Sciences (incl. CogSci)","Female","","chrome",1280,689,"Mac OS","2022-03-01T19:31:46.550Z","success","winter22",1,6,4.66666666666667,8,1,3,3,8.98795
"VM0LE","SGC4A","114","wi22sona","2218","38766","sona","asynch","TRUE","if the dot is at the 12pm point","I tried my best on most questions",5,1,3,"",20,"United States","English","Second","Fine Arts","Female","","chrome",1409,719,"Mac OS","2022-03-03T20:54:19.968Z","success","winter22",1,2,-4.75,3,8,8,2,9.791
"LS40A","SGC4A","114","wi22sona","2217","42061","sona","asynch","TRUE","By looking at which black dot falls on the horizontal line of the graph","I tried my best on most questions",3,3,3,"",22,"Hong Kong","Cantonese","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1440,789,"Mac OS","2022-03-09T07:46:24.423Z","success","winter22",2,1,-8.25,1,12,2,0,11.73595
"XSQFF","SGC4A","115","wi22sona","2218","34750","sona","asynch","TRUE","go up from 12 PM at the x=axis and you see that both F and B points fall on that line","I tried my best on each question",2,5,1,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,689,"Mac OS","2022-03-01T22:02:37.734Z","success","winter22",2,0,-12,0,15,0,0,6.87391666666667
"65T7K","SGC4A","115","wi22sona","2217","43117","sona","asynch","TRUE","You have to look at the x-axis which is what time of day the shifts start/finish. Once you find 12pm, you look straight up and see which letters start at 12. ","I tried my best on most questions",3,3,3,"",19,"USA","English","First","Math or Computer Sciences","Male","","chrome",1323,710,"Mac OS","2022-03-09T19:46:19.893Z","success","winter22",1,1,-6.08333333333333,1,9,6,0,8.42523333333333
"2XJVP","SGC4A","115","wi22sona","2218","38353","sona","asynch","TRUE","look at x axis and find the 12 pm follow up to view point that start at that time","I tried my best on most questions",3,1,3,"",19,"United States","Spanish","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1440,789,"Mac OS","2022-03-02T06:36:41.781Z","success","winter22",1,0,-9.16666666666667,2,13,1,0,14.99165
"O22H1","SGC4A","113","wi22sona","2218","34750","sona","asynch","TRUE","look at 12 PM on the x-axis and move straight up from there","I tried my best on most questions",2,5,1,"",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1920,896,"Windows 10","2022-03-04T18:38:49.378Z","success","winter22",1,0,-12,0,15,0,0,4.21043333333333
"B29JJ","SGC4A","114","wi22sona","2218","40413","sona","asynch","TRUE","Find 12pm, follow right diagonal line upwards","I tried my best on each question",2,3,5,"Difficult at first, took a few questions to understand how the graph worked exactly.",29,"United States","English","Third","Social Sciences (incl. CogSci)","Female","very black and white thinking, graph instruction not clear which led to difficulty at first","chrome",1512,834,"Mac OS","2022-03-03T21:59:43.848Z","success","winter22",2,7,2,9,6,0,0,17.4377166666667
"X96N8","SGC4A","113","wi22sona","2218","41823","sona","asynch","TRUE","reading the titles of the x and y axis","I tried my best on each question",3,2,2,"It was ok",37,"United States","English","Third","Social Sciences (incl. CogSci)","Male","No","chrome",1440,789,"Mac OS","2022-03-02T02:07:15.884Z","success","winter22",2,2,-1.66666666666667,3,4,6,0,5.92116666666667
"2CD0Y","SGC4A","114","wi22sona","2217","43298","sona","asynch","TRUE","By looking at the starting and end times line (x-axis).","I tried my best on each question",2,4,4,"",19,"U.S.","Spanish","First","Social Sciences (incl. CogSci)","Female","","chrome",1440,764,"Mac OS","2022-03-09T09:38:20.179Z","success","winter22",1,0,-9.58333333333333,1,12,1,0,12.4818333333333
"LC4NL","SGC4A","114","wi22sona","2218","33424","sona","asynch","TRUE","M and L start at 12 because the line moves upwards diagonally","I tried my best on each question",3,4,3,"I'm not sure how well I did. I feel like I may have done better on when shifts started and ended, but I don't feel as confident with the questions on breaks. I feel like those confused me and my brain couldn't figure it out.",21,"US","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1504,892,"Windows 10","2022-03-01T08:11:10.847Z","success","winter22",3,9,8.75,12,1,3,0,23.9754833333333
"WVFVS","SGC4A","113","wi22sona","2218","34807","sona","asynch","TRUE","You follow the diagonal line slanting to the right that is starting at the 12pm marker; all nodes along that line begin at 12pm.","I tried my best on each question",4,5,5,"N/A",21,"United States","English","Fourth","Biomedical & Health Sciences","Female","I have ADHD.","chrome",1440,789,"Mac OS","2022-03-02T21:51:27.547Z","success","winter22",1,10,11.8333333333333,15,0,1,0,6.64438333333333
"G1N7P","SGC4A","114","wi22sona","2218","43187","sona","asynch","TRUE","You look at 12 pm and draw a line straight up","I tried my best on each question",4,3,2,"",19,"United States","English","Second","Social Sciences (incl. CogSci)","Male","No","chrome",1440,704,"Mac OS","2022-03-03T19:33:52.610Z","success","winter22",1,0,-10.1666666666667,0,13,2,0,10.44865
"MJQ8K","SGC4A","114","wi22sona","2218","43123","sona","asynch","TRUE","Just look at the points above 12pm on the x axis","I tried my best on each question",3,3,3,"",20,"United States","Korean","Second","Math or Computer Sciences","Male","No","chrome",1440,726,"Mac OS","2022-02-28T09:22:16.094Z","success","winter22",1,0,-10.0833333333333,0,12,1,2,6.3628
"WA4UC","SGC4A","113","wi22sona","2218","37150","sona","asynch","TRUE","By looking at the x-axis, which is where it tells the start and end time of the day and where there are bullets with letters to determine the the start of shifts.","I tried my best on each question",2,4,3,"",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","N/A","chrome",1367,695,"Mac OS","2022-02-27T21:56:02.310Z","success","winter22",1,0,-11.1666666666667,0,14,1,0,21.0459666666667
"20LM4","SGC4A","113","wi22sona","2217","28660","sona","asynch","TRUE","Go straight up from 12 pm and count (F and B)","I tried my best on each question",4,4,2,"",22,"USA","English","Fourth","Social Sciences (incl. CogSci)","Male","No","chrome",1920,937,"Windows 10","2022-03-09T09:13:39.511Z","success","winter22",2,0,-12.25,0,15,0,0,13.8327833333333
"07FGZ","SGC4A","114","wi22sona","2218","27944","sona","asynch","TRUE","scan directly above 12pm on the x axis","I tried my best on most questions",3,2,3,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1326,690,"Mac OS","2022-03-07T22:38:59.766Z","success","winter22",1,0,-11.5,0,14,0,0,8.332
"FTSLP","SGC4A","114","wi22sona","2218","41769","sona","asynch","TRUE","12pm X-axis, a dot at that point means it starts at 12pm","I tried my best on each question",4,2,3,"",28,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1436,794,"Mac OS","2022-03-05T06:44:31.145Z","success","winter22",1,0,-11.1666666666667,0,14,1,0,8.82803333333333
"GE074","SGC4A","113","wi22sona","2217","32860","sona","asynch","TRUE","find 12pm on the bottom axis and follow the diagonal line that goes up and to the right. all points on this line start at 12pm","I tried my best on each question",1,5,5,"there was one question where i miss-clicked!",22,"USA","English","Fourth","Social Sciences (incl. CogSci)","Female","no","chrome",1293,720,"Mac OS","2022-03-09T19:22:58.359Z","success","winter22",1,11,11.5,14,0,0,0,7.11766666666667
"9VRD5","SGC4A","115","wi22sona","2218","43168","sona","asynch","TRUE","I look at the x-axis (which is labelled with Start and End Time) and identify which point says 12 PM and look at the points whose x-coordinate is 12 PM (which is F and B)","I tried my best on each question",4,3,3,"",19,"Indonesia","X-Other","Second","Social Sciences (incl. CogSci)","Female","","chrome",1344,735,"Mac OS","2022-03-02T06:24:33.699Z","success","winter22",1,0,-11.0833333333333,0,14,1,0,23.7634166666667
"EK80Y","SGC4A","113","wi22sona","2218","40152","sona","asynch","TRUE","Follow where the dots are all the way down to the point on the x-axis, for example B and F both line up at 12PM vertically","I tried my best on each question",3,3,5,"",22,"United States","English","Fourth","Biomedical & Health Sciences","Female","n/a","chrome",1440,721,"Mac OS","2022-03-06T05:38:46.987Z","success","winter22",1,0,-9.83333333333333,0,12,4,1,23.4908
"0W4LT","SGC4A","115","wi22sona","2218","40954","sona","asynch","TRUE","Draw a vertical line at the 12pm mark (x-axis) then see which points meet the vertical line.","I tried my best on most questions",2,2,3,"",26,"Syria","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1257,712,"Mac OS","2022-03-03T05:17:34.372Z","success","winter22",2,0,-1.5,0,2,5,6,8.8216
"MWKLJ","SGC4A","115","wi22sona","2217","41611","sona","asynch","TRUE","You look at the bottom, where it says Start and End Time (Time of Day). From there, look for 12pm and find on the graph going up the y axis.","I tried my best on each question",4,2,5,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1440,789,"Mac OS","2022-03-09T19:03:27.597Z","success","winter22",1,0,-9.41666666666667,0,12,4,0,14.4241
"THY2W","SGC4A","114","wi22sona","2218","42911","sona","asynch","TRUE","Whichever letters are above the 12pm tick","I tried my best on each question",2,4,5,"",22,"US","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1536,746,"Windows 10","2022-03-06T01:25:49.528Z","success","winter22",1,0,-12,0,15,0,0,10.9721
"E9RR1","SGC4A","114","wi22sona","2218","42874","sona","asynch","TRUE","Look at the graph.","I tried my best on each question",4,2,5,"It took me so long at some points, and I thought there were no correct answers for some.",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1590,984,"Mac OS","2022-03-01T23:49:43.640Z","success","winter22",2,1,-8.08333333333333,1,12,1,1,14.06175
"VB72C","SGC4A","114","wi22sona","2217","41345","sona","asynch","TRUE","Look at x = 12 and find the number of points located there","I tried my best on most questions",1,4,3,"",20,"SA","Arabic","Second","Math or Computer Sciences","Male","","chrome",1512,806,"Mac OS","2022-03-09T19:13:02.946Z","success","winter22",1,0,-11.3333333333333,0,14,3,0,11.6978333333333
"2Q16G","SGC4A","113","wi22sona","2218","34537","sona","asynch","TRUE","I look at the 12pm on X axis and follow the line upward and count the dots in that ""line"" I make with my finger","I tried my best on most questions",4,2,2,"This graph hurts my brain",20,"United States","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1194,710,"Mac OS","2022-03-03T22:12:44.076Z","success","winter22",1,0,-9.41666666666667,2,12,11,0,15.2078833333333
"XAV9T","SGC4A","114","wi22sona","2218","26825","sona","asynch","TRUE","Check the X axis and then see which one aligns vertically with 12pm","I tried my best on each question",1,3,5,"",21,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1440,706,"Mac OS","2022-03-01T00:48:42.146Z","success","winter22",1,0,-10.25,0,13,3,0,7.36453333333333
"CSJL3","SGC4A","113","wi22sona","2217","43334","sona","asynch","TRUE","Look at the horizontal axis where the graph says 'start and end time'","I tried my best on most questions",3,3,4,"Interesting wording, was confused at times by what the question was asking. ",19,"USA","English","Second","Social Sciences (incl. CogSci)","Female","No","chrome",1440,821,"Mac OS","2022-03-09T18:37:34.777Z","success","winter22",2,0,-11.1666666666667,0,14,2,0,8.64423333333333
"7116F","SGC4A","113","wi22sona","2218","42213","sona","asynch","TRUE","The two that are vertically positioned above 12 (F and B)","I tried my best on most questions",3,2,3,"",18,"United States","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1536,722,"Windows 10","2022-02-28T22:39:31.753Z","success","winter22",1,0,-11,0,14,0,1,10.35535
"0L78J","SGC4A","113","wi22sona","2218","42043","sona","asynch","TRUE","we have to consider the duration of shifts that have started prior to 12 pm to see if anyone is due for their coffee break","I tried my best on each question",4,2,3,"",22,"America","X-Other","Third","Biomedical & Health Sciences","Female","","chrome",1440,735,"Mac OS","2022-03-06T05:28:46.578Z","success","winter22",1,5,3.75,7,1,9,0,18.5825666666667
"3UG8D","SGC4A","113","wi22sona","2218","37376","sona","asynch","TRUE","You find the 12pm mark on the horizontal axis, any points on the vertical line going up from that 12pm mark represent events that start then.","I tried my best on most questions",2,3,3,"",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-05T23:20:06.384Z","success","winter22",1,0,-10.0833333333333,1,13,0,1,19.8237
