"subject","condition","term","mode","gender","age","language","schoolyear","country","effort","difficulty","confidence","enjoyment","other","disability","totaltime_m","absolute_score"
"H1PJT","11115","winter22","asynch","Female",21,"X-Other","Third","Chinese","I tried my best on each question",2,4,4,"","",11.6036666666667,0
"ES98M","11115","winter22","asynch","Female",20,"English","Second","US","I tried my best on most questions",4,2,3,"","no",6.89286666666667,0
"OLFCD","11115","winter22","asynch","Male",22,"English","Third","United States","I tried my best on each question",1,5,3,"","",12.0008666666667,0
"K4OUL","11115","winter22","asynch","Female",20,"English","Third","USA","I tried my best on each question",2,2,3,"For half of the questions I was reading the chart wrong and thought the start was wherever the points were and the end was wherever the line reached the x axis. Until the last 2 or so questions I realized the start was the bottom left point of the triangle and the point was the middle of the shift. I think explaining the graph a bit more might be beneficial so you can get better results to the task. ","No. ",16.3308333333333,0
"NHP4G","11115","winter22","asynch","Female",26,"English","Third","USA","I tried my best on each question",4,2,1,"this was a good straightforward experiment.","no",6.70443333333333,0
"9T8HW","11115","winter22","asynch","Female",18,"X-Other","First","Burma","I tried my best on each question",3,4,4,"","none",9.62376666666667,0
"VWB05","11115","winter22","asynch","Female",19,"Cantonese","Second","United States","I tried my best on each question",2,4,4,"","",6.1188,0
"NU1ZQ","11115","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question",2,4,5,"The diagonal lines helped a lot with finding halfway points and similar end time between points. However, the x-axis label was very confusing because the graph never plotted end times. We had to calculate end times on our own.","N/A",12.0719833333333,0
"TMVAO","11115","winter22","asynch","Male",20,"English","Third","United States","I tried my best on most questions",2,3,3,"","",13.69265,0
"XHMNM","11115","winter22","asynch","Female",22,"English","Fourth","Hong Kong","I tried my best on each question",3,3,4,"nil","no ",39.0318333333333,0
"T2MAH","11115","winter22","asynch","Male",22,"English","Fourth","United States","I tried my best on each question",2,5,4,"","no",9.74798333333333,0
"BCPEC","11115","winter22","asynch","Female",36,"English","Fourth","Philippines","I tried my best on each question",5,3,5,"I think these questions are enough.","No",11.4041666666667,0
"31386","11115","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question",4,3,5,"","no",12.4850833333333,0
"ZKG07","11115","winter22","asynch","Female",19,"X-Other","First","america","I tried my best on each question",2,4,5,"","",6.96933333333333,0
"UV0QH","11115","winter22","asynch","Female",19,"English","Second","US","I tried my best on each question",4,4,4,"","no",7.83931666666667,0
"YV5WY","11115","winter22","asynch","Male",22,"English","Fourth","USA","I tried my best on each question",4,5,4,"I thought this was definitely an interesting way to keep track of time and shifts, however, I think if I was a worker who had to decipher this schedule every few weeks I would become a bit irritated. Overall, interesting experience and challenge to perform this task. ","No.",8.0421,0
"6TQE3","11115","winter22","asynch","Female",21,"Mandarin","Second","China","I tried my best on each question",4,2,4,"I think the graph is a bit confusing for me.","",5.69321666666667,0
"5CNJR","11115","winter22","asynch","Female",22,"English","Fifth","United States","I tried my best on each question",2,4,5,"","",8.74393333333333,0
"KZOE9","11115","winter22","asynch","Male",21,"Korean","Third","U.S.","I tried my best on each question",3,3,1,"","no",15.3657,0
"J3FYJ","11115","winter22","asynch","Female",29,"English","Fourth","United States","I tried my best on most questions",4,3,1,"The mental math required while looking at the graph was difficult without the use of anything external like pen and paper.","No",13.44885,0
"11NFO","11115","winter22","asynch","Female",19,"English","First","kenya","I tried my best on most questions",3,2,5,"","",14.61165,0
"GNP7O","11115","winter22","asynch","Female",21,"English","Third","United States","I tried my best on most questions",4,3,4,"The break questions are super confusing and its hard to focus with the diamonds on the graph","NOPE",7.07843333333333,0
"F37T6","11115","winter22","asynch","Male",21,"Mandarin","Fourth","USA","I tried my best on each question",4,3,4,"It was confusing at first, which I think I got some questions wrong at first.","",8.34758333333333,0
"Z84ZV","11115","winter22","asynch","Female",19,"English","Second","US","I tried my best on each question",4,3,3,"It was a little tricky reading the graph, but i did try my best","No",5.58926666666667,0
"QMZ24","11115","winter22","asynch","Male",20,"Spanish","Third","United States","I tried my best on each question",4,3,4,"I think that the time that it took me to complete the experiment was perfect, since it didn't become repetitive.","No",32.4731166666667,0
"YCA39","11115","winter22","asynch","Male",20,"English","Second","United States","I tried my best on each question",3,4,4,"The way the graph was structured definitely affected my performance and accuracy.","N/A",13.1584833333333,0
"OU3SL","11115","winter22","asynch","Male",21,"English","Third","United States","I tried my best on each question",4,3,3,"","",16.1176666666667,0
"7OBDZ","11115","winter22","asynch","Female",20,"Spanish","Third","United States","I tried my best on each question",3,3,3,"","no",12.49575,0
"OFP8T","11115","winter22","asynch","Male",21,"English","Fourth","USA","I tried my best on each question",3,3,5,"I liked the encourgements","Nope",5.55376666666667,0
"C8QAW","11115","winter22","asynch","Male",19,"English","First","United States","I tried my best on each question",3,4,4,"The diamond shape of the graph was more confusing than helpful","no",12.0754833333333,0
"FOMHO","11115","winter22","asynch","Female",20,"Spanish","Second","USA","I tried my best on each question",3,3,2,"n/a","n/a",9.63741666666667,0
"R1K0J","11115","winter22","asynch","Male",18,"English","First","USA","I tried my best on each question",4,4,3,"At first I didn't understand how this worked, but after 5 or so questions I understood it","No",5.8292,0
"MNLNJ","11115","winter22","asynch","Female",19,"English","Second","United States","I tried my best on most questions",4,3,3,"","",9.06528333333333,0
"61XQA","11115","winter22","asynch","Male",20,"English","Second","United States","I tried my best on most questions",2,3,3,"","",10.33445,0
"S4EK0","11115","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question",2,4,3,"","no",8.17085,0
"4XWJ9","11115","winter22","asynch","Female",21,"Mandarin","Third","China","I tried my best on each question",3,3,3,"","",11.2240333333333,0
"Z6CB2","11115","winter22","asynch","Male",21,"X-Other","Third","USA","I tried my best on each question",4,3,5,"I wouldn't say a practice example, but some time to familiarize yourself with the graph and decipher it in your head before getting asked the questions. ","N/A",21.9146833333333,0
"8NURS","11115","winter22","asynch","Male",19,"English","Second","US","I tried my best on each question",3,5,5,"n/a","",5.94463333333333,0
"K83ZA","11115","winter22","asynch","Female",18,"Spanish","First","United States","I tried my best on each question",2,4,3,"","",14.9615666666667,0
"F91EW","11115","winter22","asynch","Male",23,"English","Fifth","United States","I tried my best on most questions",4,3,2,"","",11.6435666666667,0
"3SG1K","11115","winter22","asynch","Female",20,"Mandarin","Third","China","I tried my best on each question",3,4,5,"","",9.51946666666667,0
"OW65D","11115","winter22","asynch","Male",21,"Arabic","Fourth","Uniter Arab Emirates","I tried my best on each question",2,5,5,"This task is mind stimulating I like it!","None.",12.8641166666667,0
"6XY80","11115","winter22","asynch","Female",22,"Spanish","Fourth","USA","I tried my best on each question",3,3,3,"Have a practice graph example to show us how you want us to answer. ","N/A",9.94838333333333,0
"9OEG6","11115","winter22","asynch","Male",18,"Mandarin","First","China","I tried my best on each question",4,4,3,"N/A","No",6.85385,0
"0AXM8","11115","winter22","asynch","Female",21,"English","Third","United States","I tried my best on most questions",5,2,2,"","",13.1043333333333,0
"1JPFK","11115","winter22","asynch","Other-Not Listed",20,"English","Third","United States of America","I tried my best on each question",3,2,4,"N/A","N/A",11.4479,0
"WEFE3","11115","winter22","asynch","Female",19,"English","First","America","I tried my best on most questions",3,2,1,"make graph bigger to see points","No",10.54565,0
"MXPYU","11115","winter22","asynch","Male",20,"English","Second","United States","I tried my best on each question",4,2,3,"","",11.2761666666667,0
"520AG","11115","winter22","asynch","Female",21,"Mandarin","Fourth","USA","I tried my best on each question",3,4,3,"","",24.6500666666667,0
"QAU26","11115","winter22","asynch","Male",21,"English","Third","United States","I tried my best on most questions",3,4,2,"I dont think i did good at first but it started to make sense later","none",9.65421666666667,0
"XNRRS","11115","winter22","asynch","Other-Not Listed",21,"English","Third","US","I tried my best on each question",4,4,2,"The grid lines did not correlate with the actual end time of the shifts. It would be thought that we just follow the diagonal straight down to find the time but it wasn't even accurate, making this harder than it should've been.","",9.58261666666667,0
"NU6LU","11115","winter22","asynch","Male",21,"Korean","Third","United States","I tried my best on most questions",4,3,4,"","None",8.4035,0
"Z39WH","11115","winter22","asynch","Female",22,"English","Third","USA","I tried my best on each question",4,3,5,"NA","No",12.2818333333333,0
"CNMNJ","11115","winter22","asynch","Male",20,"English","Second","USA","I tried my best on most questions",1,4,2,"","",9.33348333333333,0
"6Q1UC","11115","winter22","asynch","Female",20,"English","Second","United States","I tried my best on each question",3,4,4,"The graph was cool to look at!","n/a",11.2317,0
"PTMPD","11115","winter22","asynch","Female",18,"Spanish","First","USA","I tried my best on each question",3,3,4,"nothing!","Nope!",12.36375,0
"MCJ0W","11115","winter22","asynch","Female",21,"English","Third","United States","I tried my best on each question",4,3,3,"Nothing","No",14.14525,0
"2ZH12","11115","winter22","asynch","Female",18,"Spanish","First","United States","I tried my best on most questions",3,3,4,"","",14.9749833333333,0
"GYGOR","11115","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question",4,2,5,"N/A","N/A",9.87671666666667,0
"WEG15","11115","winter22","asynch","Female",26,"English","Fourth","United States","I tried my best on each question",4,3,3,"N/A","No",11.4089333333333,0
"EUUV1","11115","winter22","asynch","Male",20,"English","Third","USA","I tried my best on each question",3,4,1,"","",4.7344,0
"XV09T","11115","winter22","asynch","Female",21,"English","Third","United States","I tried my best on each question",3,3,5,"","No",7.16075,0
"XLH9B","11115","winter22","asynch","Male",21,"English","Fourth","United States","I tried my best on each question",3,3,3,"","No.",12.7335333333333,0
"KQBZN","11115","winter22","asynch","Male",19,"English","Second","USA","I tried my best on most questions",2,4,1,"","",26.5053666666667,0
"47G4D","11115","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on most questions",3,3,4,""," NO",6.7302,0
"GQX64","11115","winter22","asynch","Female",20,"Mandarin","Second","china ","I tried my best on most questions",1,3,1,"","",7.64733333333333,0
"9DK63","11115","winter22","asynch","Female",21,"X-Other","Third","Mongolia","I tried my best on each question",2,4,3,"","no ",11.5772166666667,0
"6FM91","11115","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question",4,2,5,"","",11.52305,0
"64VZS","11115","winter22","asynch","Female",21,"Mandarin","Fourth","China","I tried my best on each question",2,5,5,"","None",12.9173166666667,0
"4BCUB","11115","winter22","asynch","Female",20,"X-Other","Third","United States","I tried my best on each question",2,4,1,"Nothing.","No.",24.31175,0
"QGTVP","11115","winter22","asynch","Male",20,"Mandarin","Third","China","I tried my best on each question",3,4,2,"","",10.3842333333333,0
"Q10C6","11115","winter22","asynch","Female",21,"Mandarin","Second","China","I tried my best on most questions",3,2,2,"no","no",8.04953333333333,0
"MTFDT","11115","winter22","asynch","Female",21,"English","Third","USA","I tried my best on most questions",2,3,4,"","",6.0814,0
"O9K5K","11115","winter22","asynch","Female",21,"English","Third","United States","I tried my best on each question",3,3,4,"","",9.68088333333333,0
"3QQX3","11115","winter22","asynch","Male",19,"English","Second","US","I tried my best on most questions",4,2,2,"I originally thought I should follow slanted lines to find the start times (in opposition to straight up), but half way through the questions led me to believe that it should be straight above the lines.","",15.2533333333333,0
"N8UV7","11115","winter22","asynch","Female",20,"Mandarin","First","Taiwan","I tried my best on each question",1,5,3,"","",6.55208333333333,0
"3N5PQ","11115","winter22","asynch","Male",18,"English","First","United States","I tried my best on each question",3,4,4,"It was an interesting experience, it is nice to see how graphs can be demonstrated and also interpreted. ","N/A",9.92216666666667,0
"VPBE4","11115","winter22","asynch","Female",21,"Spanish","Fourth","Spain","I tried my best on each question",2,4,4,"","",10.8529,0
"B8HA2","11115","winter22","asynch","Female",21,"English","Third","United States","I tried my best on each question",4,4,4,"","",17.1005,0
"WF1M3","11115","winter22","asynch","Female",21,"English","Fourth","India","I tried my best on most questions",2,4,4,"","No",11.1800833333333,0
"LOGAL","11115","winter22","asynch","Male",18,"English","First","United States","I tried my best on each question",2,5,5,"","None",11.0259,0
"9PH05","11115","winter22","asynch","Male",19,"English","Second","USA","I tried my best on each question",4,2,3,"","No",12.40915,0
"ADRO0","11115","winter22","asynch","Female",20,"English","Third","United States of America","I tried my best on each question",3,4,4,"N/A","No",21.2346333333333,0
"HNM67","11115","winter22","asynch","Male",26,"Spanish","Fourth","United States of America","I tried my best on each question",5,3,2,"","",12.2191,0
"3H75M","11115","winter22","asynch","Male",18,"Mandarin","First","China","I tried my best on each question",5,1,3,"","",7.60953333333333,0
"0A9WN","11115","winter22","asynch","Female",20,"X-Other","Third","USA","I tried my best on most questions",5,2,3,"","no",21.2460666666667,0
"F6V09","11115","winter22","asynch","Female",24,"Spanish","Fourth","USA","I tried my best on each question",3,4,4,"being able to zoom in would be a plus when you're cursing around the graph","",9.48796666666667,0
"LNEF7","11115","winter22","asynch","Female",20,"English","Third","United States","I tried my best on each question",4,3,3,"I think I got better at it along the way.","ADHD",8.01355,0
"NOXYV","11115","winter22","asynch","Female",18,"English","First","United States","I tried my best on most questions",4,3,2,"","",5.45838333333333,0
"KW3D0","11115","winter22","asynch","Female",19,"Mandarin","First","China","I tried my best on each question",4,3,2,"","",10.1381,0
"F6QWV","11115","winter22","asynch","Female",19,"English","Second","America","I tried my best on each question",3,4,2,"","",7.26366666666667,0
"XJLSB","11115","winter22","asynch","Male",27,"English","Fourth","United States","I tried my best on each question",4,3,3,"was difficult to read the graph with limited instruction","n/a",6.83665,0
"FFHE0","11115","winter22","asynch","Other-Not Listed",19,"Spanish","Second","Mexico","I tried my best on most questions",4,3,5,"","",8.9307,0
"ZRRZW","11115","winter22","asynch","Female",21,"English","Fourth","United States","I tried my best on each question",4,2,4,"","",9.59708333333333,0
"7SV52","11115","winter22","asynch","Male",18,"English","First","United States","I tried my best on most questions",3,3,2,"I was confused at the beginning so most of my first answers are wrong.","No.",13.0848333333333,0
"D6P9K","11115","winter22","asynch","Female",19,"English","Second","United States","I tried my best on each question",4,3,5,"At first I didnt understand how to read the graph so my first answers were probably wrong, but after a certain question I understood that I was supposed to be reading the graph a different way then how I was","",10.2759666666667,0
"6B6X6","11115","winter22","asynch","Male",24,"Cantonese","Third","USA","I tried my best on each question",5,1,5,"The task is interesting but the graph got me so confused reading it so i had to guess most of the time on how the graph works.","",6.91948333333333,0
