"subject","study","condition","pretty_condition","session","exp_id","sona_id","pool","mode","attn_check","explanation","effort","difficulty","confidence","enjoyment","other","age","country","language","schoolyear","major","gender","disability","browser","width","height","os","starttime","status","term","violations","absolute_score","totaltime_m"
"MJ2W9","SGC5A","11115","point-click","wi22sona","2217","28943","sona","asynch","FALSE","look at 12 pm on the x axis and look up from that line","I tried my best on each question",3,3,4,"",22,"United States","English","Fourth","Biomedical & Health Sciences","Female","no","chrome",1280,800,"Mac OS","2022-03-08T01:30:28.613Z","success","winter22",1,0,5.80906666666667
"AEEBQ","SGC5A","11115","point-click","wi22sona","2217","42998","sona","asynch","FALSE","look at the label on the X axis to see those numbers indicate start and end time","I tried my best on each question",3,4,2,"",20,"United States of America","Spanish","Third","Social Sciences (incl. CogSci)","Female","N/A","chrome",1440,821,"Mac OS","2022-03-09T01:32:00.866Z","success","winter22",1,0,15.341
"3TPYE","SGC5A","11115","point-click","wi22sona","2217","32618","sona","asynch","FALSE","","I tried my best on most questions",4,3,1,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-09T05:30:59.988Z","success","winter22",2,0,8.93703333333333
"LV82T","SGC5A","11115","point-click","wi22sona","2217","35324","sona","asynch","FALSE","Look for dots that lie on the line x=12pm","I tried my best on each question",3,4,4,"It would be easier if you could allow users to create vertical lines since (at least for me) it was a little tough with the triangles to make sure I was where I wanted to be when checking for stuff. or maybe use a grid with the hour marks being more bold than the half hour marks, but i figure the triangles were chosen for a reason lol",27,"USA","Spanish","Fifth","Natural Sciences","Male","No","chrome",1517,694,"Windows 10","2022-03-09T00:52:39.095Z","success","winter22",2,0,21.2504
"S3JZD","SGC5A","11115","point-click","wi22sona","2217","41260","sona","asynch","FALSE","On the x axis, find the tick mark for 12 pm. Any letters that correspond to that location on the x axis begin at 12 pm.","I tried my best on each question",2,4,4,"",19,"United States","English","Second","Biomedical & Health Sciences","Female","","chrome",1920,937,"Windows 10","2022-03-08T05:29:45.499Z","success","winter22",1,0,10.0823833333333
"SLYYU","SGC5A","11115","point-click","wi22sona","2217","42564","sona","asynch","FALSE","F&B same x axis 12 pm","I tried my best on each question",4,3,5,"The Triangle was helpful",22,"United States","X-Other","Fourth","Biomedical & Health Sciences","Female","","chrome",1371,795,"Mac OS","2022-03-08T07:40:08.788Z","success","winter22",1,0,8.1672
"Y82VR","SGC5A","11115","point-click","wi22sona","2217","41935","sona","asynch","FALSE","you go on the x axis and find 12pm, then go straight up and run into shifts B and F","I tried my best on most questions",2,4,3,"",21,"United States","Spanish","Third","Social Sciences (incl. CogSci)","Female","","chrome",1600,712,"Windows 10","2022-03-08T06:50:31.406Z","success","winter22",1,0,25.6886
"KPQ31","SGC5A","11115","point-click","wi22sona","2217","38352","sona","asynch","FALSE","both B and F line up with 12 vertically ","I tried my best on each question",4,2,2,"",20,"US","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",1440,821,"Mac OS","2022-03-07T23:54:12.559Z","success","winter22",1,0,10.6783666666667
"H1PJT","SGC5A","11115","point-click","wi22sona","2217","37211","sona","asynch","FALSE","the right line for the up downside triangle (at 12pm) indicates the shifts start.(M,L) The vertical points above 12pm indicate the coffee break for B and F","I tried my best on each question",2,4,4,"",21,"Chinese","X-Other","Third","Biomedical & Health Sciences","Female","","chrome",1536,707,"Windows 10","2022-03-09T06:39:42.859Z","success","winter22",3,0,11.6036666666667
"ES98M","SGC5A","11115","point-click","wi22sona","2217","39920","sona","asynch","FALSE","Look at the y axis, it will tell you whose shift starts at 12","I tried my best on most questions",4,2,3,"",20,"US","English","Second","Social Sciences (incl. CogSci)","Female","no","chrome",1440,821,"Mac OS","2022-03-08T06:17:45.027Z","success","winter22",1,0,6.89286666666667
"OLFCD","SGC5A","11115","point-click","wi22sona","2217","43175","sona","asynch","FALSE","x axis","I tried my best on each question",1,5,3,"",22,"United States","English","Third","Biomedical & Health Sciences","Male","","chrome",1504,860,"Windows 10","2022-03-08T06:52:50.371Z","success","winter22",1,0,12.0008666666667
"K4OUL","SGC5A","11115","point-click","wi22sona","2217","38107","sona","asynch","FALSE"," To determine what events start at 12, I would go to 12 pm and follow that line up towards the right and whatever points are on that line are events that start at 12. ","I tried my best on each question",2,2,3,"For half of the questions I was reading the chart wrong and thought the start was wherever the points were and the end was wherever the line reached the x axis. Until the last 2 or so questions I realized the start was the bottom left point of the triangle and the point was the middle of the shift. I think explaining the graph a bit more might be beneficial so you can get better results to the task. ",20,"USA","English","Third","Social Sciences (incl. CogSci)","Female","No. ","chrome",1440,821,"Mac OS","2022-03-09T01:04:36.909Z","success","winter22",1,0,16.3308333333333
"NHP4G","SGC5A","11115","point-click","wi22sona","2217","40699","sona","asynch","FALSE","look at the x axis","I tried my best on each question",4,2,1,"this was a good straightforward experiment.",26,"USA","English","Third","Social Sciences (incl. CogSci)","Female","no","chrome",1440,789,"Mac OS","2022-03-07T20:09:03.626Z","success","winter22",1,0,6.70443333333333
"9T8HW","SGC5A","11115","point-click","wi22sona","2217","42968","sona","asynch","FALSE","B and F starts shift at 12pm. ","I tried my best on each question",3,4,4,"",18,"Burma","X-Other","First","Biomedical & Health Sciences","Female","none","chrome",1153,742,"Mac OS","2022-03-08T18:24:17.933Z","success","winter22",1,0,9.62376666666667
"VWB05","SGC5A","11115","point-click","wi22sona","2217","42846\","sona","asynch","FALSE","It should line up at 12 pm","I tried my best on each question",2,4,4,"",19,"United States","Cantonese","Second","Biomedical & Health Sciences","Female","","chrome",1536,746,"Windows 10","2022-03-07T22:10:11.154Z","success","winter22",2,0,6.1188
"NU1ZQ","SGC5A","11115","point-click","wi22sona","2217","43282","sona","asynch","FALSE","Find 12PM on the x-axis, then find any points on vertical at 12PM and that should give start times of 12PM.","I tried my best on each question",2,4,5,"The diagonal lines helped a lot with finding halfway points and similar end time between points. However, the x-axis label was very confusing because the graph never plotted end times. We had to calculate end times on our own.",21,"United States","English","Fourth","Biomedical & Health Sciences","Male","N/A","chrome",1440,726,"Mac OS","2022-03-08T19:26:30.262Z","success","winter22",1,0,12.0719833333333
"TMVAO","SGC5A","11115","point-click","wi22sona","2217","38545","sona","asynch","FALSE","Go to the x axis, find 12 pm and go up vertically to see what points lie on that axis. ","I tried my best on most questions",2,3,3,"",20,"United States","English","Third","Biomedical & Health Sciences","Male","","chrome",1920,969,"Windows 10","2022-03-08T22:15:26.595Z","success","winter22",1,0,13.69265
"XHMNM","SGC5A","11115","point-click","wi22sona","2217","36519","sona","asynch","FALSE","check the x axis and look for data points that lay on x= 12pm ","I tried my best on each question",3,3,4,"nil",22,"Hong Kong","English","Fourth","Social Sciences (incl. CogSci)","Female","no ","chrome",1440,704,"Mac OS","2022-03-08T04:31:38.339Z","success","winter22",1.5,0,39.0318333333333
"T2MAH","SGC5A","11115","point-click","wi22sona","2217","35606","sona","asynch","FALSE","any shifts which vertically correspond to 12 pm on the x axis","I tried my best on each question",2,5,4,"",22,"United States","English","Fourth","Social Sciences (incl. CogSci)","Male","no","chrome",1536,792,"Windows 10","2022-03-08T05:52:12.283Z","success","winter22",2,0,9.74798333333333
"BCPEC","SGC5A","11115","point-click","wi22sona","2217","37206","sona","asynch","FALSE","F and B will start","I tried my best on each question",5,3,5,"I think these questions are enough.",36,"Philippines","English","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1280,721,"Mac OS","2022-03-07T22:07:23.734Z","success","winter22",1,0,11.4041666666667
"31386","SGC5A","11115","point-click","wi22sona","2217","30237","sona","asynch","FALSE","follow the positively sloped line at 12 and it will tell you who starts their shift at that time.","I tried my best on each question",4,3,5,"",21,"United States","English","Fourth","Natural Sciences","Male","no","chrome",1440,789,"Mac OS","2022-03-07T21:33:16.816Z","success","winter22",1,0,12.4850833333333
"ZKG07","SGC5A","11115","point-click","wi22sona","2217","43056","sona","asynch","FALSE","you look at the x axis to find 12pm, and then follow the diagonal line with a positive slope that starts at the x of 12pm ","I tried my best on each question",2,4,5,"",19,"america","X-Other","First","Natural Sciences","Female","","chrome",1512,777,"Mac OS","2022-03-09T00:31:46.515Z","success","winter22",1,0,6.96933333333333
"UV0QH","SGC5A","11115","point-click","wi22sona","2217","43287","sona","asynch","FALSE","the dot must correspond to 12pm on the x axis","I tried my best on each question",4,4,4,"",19,"US","English","Second","Natural Sciences","Female","no","chrome",1440,821,"Mac OS","2022-03-08T05:16:34.958Z","success","winter22",1,0,7.83931666666667
"YV5WY","SGC5A","11115","point-click","wi22sona","2217","43015","sona","asynch","FALSE","Find the 12 PM on the X-axis and find the shifts that begin there by going up.","I tried my best on each question",4,5,4,"I thought this was definitely an interesting way to keep track of time and shifts, however, I think if I was a worker who had to decipher this schedule every few weeks I would become a bit irritated. Overall, interesting experience and challenge to perform this task. ",22,"USA","English","Fourth","Biomedical & Health Sciences","Male","No.","chrome",1920,975,"Windows 10","2022-03-08T03:38:16.072Z","success","winter22",1,0,8.0421
"6TQE3","SGC5A","11115","point-click","wi22sona","2217","37633","sona","asynch","FALSE","look at the y axis and find the dot start with 12pm","I tried my best on each question",4,2,4,"I think the graph is a bit confusing for me.",21,"China","Mandarin","Second","Humanities","Female","","chrome",1440,789,"Mac OS","2022-03-08T06:28:16.938Z","success","winter22",1,0,5.69321666666667
"5CNJR","SGC5A","11115","point-click","wi22sona","2217","28191","sona","asynch","FALSE","look at the x axis where it says 12pm and go up the right line, that's when events start.","I tried my best on each question",2,4,5,"",22,"United States","English","Fifth","Social Sciences (incl. CogSci)","Female","","chrome",1383,711,"Mac OS","2022-03-09T05:21:01.034Z","success","winter22",2,0,8.74393333333333
"KZOE9","SGC5A","11115","point-click","wi22sona","2217","43245","sona","asynch","FALSE","imaginary line going up vertically from the ""12 PM"" hash","I tried my best on each question",3,3,1,"",21,"U.S.","Korean","Third","Social Sciences (incl. CogSci)","Male","no","chrome",1440,821,"Mac OS","2022-03-08T01:14:47.391Z","success","winter22",1.5,0,15.3657
"J3FYJ","SGC5A","11115","point-click","wi22sona","2217","36602","sona","asynch","FALSE","Go to the x axis and locate 12pm, then move up the y axis until you reach data points","I tried my best on most questions",4,3,1,"The mental math required while looking at the graph was difficult without the use of anything external like pen and paper.",29,"United States","English","Fourth","Social Sciences (incl. CogSci)","Female","No","chrome",1536,792,"Windows 10","2022-03-09T06:57:19.555Z","success","winter22",1,0,13.44885
"11NFO","SGC5A","11115","point-click","wi22sona","2217","40795","sona","asynch","FALSE","whichever points are alligned with 12pm ","I tried my best on most questions",3,2,5,"",19,"kenya","English","First","Social Sciences (incl. CogSci)","Female","","chrome",1414,698,"Mac OS","2022-03-08T07:23:11.415Z","success","winter22",1,0,14.61165
"GNP7O","SGC5A","11115","point-click","wi22sona","2217","35451","sona","asynch","FALSE","IF the points are on at 12 PM on the x axis","I tried my best on most questions",4,3,4,"The break questions are super confusing and its hard to focus with the diamonds on the graph",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","NOPE","chrome",1440,821,"Mac OS","2022-03-07T23:25:05.476Z","success","winter22",1,0,7.07843333333333
"F37T6","SGC5A","11115","point-click","wi22sona","2217","42936","sona","asynch","FALSE","Look at all the dots lies on x=12 pm (horizontal axis)","I tried my best on each question",4,3,4,"It was confusing at first, which I think I got some questions wrong at first.",21,"USA","Mandarin","Fourth","Social Sciences (incl. CogSci)","Male","","chrome",2560,1280,"Windows 10","2022-03-08T01:23:02.164Z","success","winter22",1,0,8.34758333333333
"Z84ZV","SGC5A","11115","point-click","wi22sona","2217","41634","sona","asynch","FALSE","look at the bottom and if it is vertically above 12pm then it begins at that time","I tried my best on each question",4,3,3,"It was a little tricky reading the graph, but i did try my best",19,"US","English","Second","Social Sciences (incl. CogSci)","Female","No","chrome",1536,753,"Windows 10","2022-03-09T02:33:36.427Z","success","winter22",1,0,5.58926666666667
"QMZ24","SGC5A","11115","point-click","wi22sona","2217","37962","sona","asynch","FALSE","I look at the x-axis where x=12 and follow the line that starts there and increases in duration as increases.","I tried my best on each question",4,3,4,"I think that the time that it took me to complete the experiment was perfect, since it didn't become repetitive.",20,"United States","Spanish","Third","Social Sciences (incl. CogSci)","Male","No","chrome",1536,721,"Windows 10","2022-03-09T06:37:04.154Z","success","winter22",3,0,32.4731166666667
"YCA39","SGC5A","11115","point-click","wi22sona","2217","37580","sona","asynch","FALSE","Observe where 12pm is on the graph and look up to see which plot points are on the 12pm line","I tried my best on each question",3,4,4,"The way the graph was structured definitely affected my performance and accuracy.",20,"United States","English","Second","Social Sciences (incl. CogSci)","Male","N/A","chrome",2560,1329,"Windows 10","2022-03-09T03:56:59.417Z","success","winter22",2,0,13.1584833333333
"OU3SL","SGC5A","11115","point-click","wi22sona","2217","32414","sona","asynch","FALSE","Look at the X axis and go up.","I tried my best on each question",4,3,3,"",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","","chrome",2048,1023,"Windows 10","2022-03-07T21:29:05.822Z","success","winter22",2,0,16.1176666666667
"7OBDZ","SGC5A","11115","point-click","wi22sona","2217","32998","sona","asynch","FALSE","by looking at 12 on the x axis and moving up","I tried my best on each question",3,3,3,"",20,"United States","Spanish","Third","Engineering","Female","no","chrome",1440,764,"Mac OS","2022-03-08T16:01:08.779Z","success","winter22",1,0,12.49575
"OFP8T","SGC5A","11115","point-click","wi22sona","2217","30000","sona","asynch","FALSE","See what letters are above the 12pm slot","I tried my best on each question",3,3,5,"I liked the encourgements",21,"USA","English","Fourth","Social Sciences (incl. CogSci)","Male","Nope","chrome",1427,779,"Mac OS","2022-03-08T22:25:28.399Z","success","winter22",1,0,5.55376666666667
"C8QAW","SGC5A","11115","point-click","wi22sona","2217","42340","sona","asynch","FALSE","Go to the x-axis at 12pm and go up to each of the points directly above it ","I tried my best on each question",3,4,4,"The diamond shape of the graph was more confusing than helpful",19,"United States","English","First","Biomedical & Health Sciences","Male","no","chrome",1600,892,"Windows 10","2022-03-08T01:45:07.249Z","success","winter22",1,0,12.0754833333333
"FOMHO","SGC5A","11115","point-click","wi22sona","2217","38046","sona","asynch","FALSE","Look at the bottom and see where the dot is on 12 pm
","I tried my best on each question",3,3,2,"n/a",20,"USA","Spanish","Second","Social Sciences (incl. CogSci)","Female","n/a","chrome",1440,789,"Mac OS","2022-03-08T02:50:05.467Z","success","winter22",1,0,9.63741666666667
"R1K0J","SGC5A","11115","point-click","wi22sona","2217","43283","sona","asynch","FALSE","Go to 12pm, then follow the diagonal line that goes up and right until you find a dot","I tried my best on each question",4,4,3,"At first I didn't understand how this worked, but after 5 or so questions I understood it",18,"USA","English","First","Social Sciences (incl. CogSci)","Male","No","chrome",1440,764,"Mac OS","2022-03-08T02:18:39.332Z","success","winter22",2.5,0,5.8292
"MNLNJ","SGC5A","11115","point-click","wi22sona","2217","35897","sona","asynch","FALSE","X axis indicates where 12 PM is, then you look at the points which land on 12 pm on the x axis
","I tried my best on most questions",4,3,3,"",19,"United States","English","Second","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-09T00:46:27.379Z","success","winter22",1.5,0,9.06528333333333
"61XQA","SGC5A","11115","point-click","wi22sona","2217","38676","sona","asynch","FALSE","looking at the x axis","I tried my best on most questions",2,3,3,"",20,"United States","English","Second","Biomedical & Health Sciences","Male","","chrome",1440,788,"Mac OS","2022-03-09T06:03:32.503Z","success","winter22",1,0,10.33445
"S4EK0","SGC5A","11115","point-click","wi22sona","2217","38143","sona","asynch","FALSE","Find 12 PM on the horizontal axis and look at all the points above it. ","I tried my best on each question",2,4,3,"",19,"United States","English","Second","Biomedical & Health Sciences","Female","no","chrome",1792,1009,"Mac OS","2022-03-08T21:24:57.627Z","success","winter22",1,0,8.17085
"4XWJ9","SGC5A","11115","point-click","wi22sona","2217","43265","sona","asynch","FALSE","Because both of events start at the 12 pm","I tried my best on each question",3,3,3,"",21,"China","Mandarin","Third","Natural Sciences","Female","","chrome",1368,801,"Windows 10","2022-03-09T05:02:02.250Z","success","winter22",3,0,11.2240333333333
"Z6CB2","SGC5A","11115","point-click","wi22sona","2217","38605","sona","asynch","FALSE","In the beginning the graph was hard to interpret, however, now it makes more sense. At 12pm, (B) will start their shift until 3pm, and (F) will start their shift until 4pm. ","I tried my best on each question",4,3,5,"I wouldn't say a practice example, but some time to familiarize yourself with the graph and decipher it in your head before getting asked the questions. ",21,"USA","X-Other","Third","Social Sciences (incl. CogSci)","Male","N/A","chrome",1440,706,"Mac OS","2022-03-07T23:23:48.432Z","success","winter22",1,0,21.9146833333333
"8NURS","SGC5A","11115","point-click","wi22sona","2217","39717","sona","asynch","FALSE","Look at x-axis","I tried my best on each question",3,5,5,"n/a",19,"US","English","Second","Engineering","Male","","chrome",1920,969,"Windows 10","2022-03-08T02:10:57.705Z","success","winter22",2,0,5.94463333333333
"K83ZA","SGC5A","11115","point-click","wi22sona","2217","42756","sona","asynch","FALSE","Go to the x axis and find 12 PM then go straight up and the points on that line are the events that start at that time","I tried my best on each question",2,4,3,"",18,"United States","Spanish","First","Social Sciences (incl. CogSci)","Female","","chrome",1440,821,"Mac OS","2022-03-09T03:25:02.183Z","success","winter22",3,0,14.9615666666667
"F91EW","SGC5A","11115","point-click","wi22sona","2217","35783","sona","asynch","FALSE","Scan bottom row of start and end times. Stop at 12pm. Scan straight up from 12pm point","I tried my best on most questions",4,3,2,"",23,"United States","English","Fifth","Social Sciences (incl. CogSci)","Male","","chrome",1280,720,"Mac OS","2022-03-09T05:21:20.101Z","success","winter22",2,0,11.6435666666667
"3SG1K","SGC5A","11115","point-click","wi22sona","2217","34070","sona","asynch","FALSE","B and F are on the break; M and L start on their shift.","I tried my best on each question",3,4,5,"",20,"China","Mandarin","Third","Math or Computer Sciences","Female","","chrome",1440,820,"Mac OS","2022-03-08T20:33:10.815Z","success","winter22",1,0,9.51946666666667
"OW65D","SGC5A","11115","point-click","wi22sona","2217","30210","sona","asynch","FALSE","Look at the x-axis and determine which events have their dots at 12 pm","I tried my best on each question",2,5,5,"This task is mind stimulating I like it!",21,"Uniter Arab Emirates","Arabic","Fourth","Biomedical & Health Sciences","Male","None.","chrome",1504,931,"Windows 10","2022-03-08T20:28:11.063Z","success","winter22",1,0,12.8641166666667
"6XY80","SGC5A","11115","point-click","wi22sona","2217","38476","sona","asynch","FALSE","","I tried my best on each question",3,3,3,"Have a practice graph example to show us how you want us to answer. ",22,"USA","Spanish","Fourth","Biomedical & Health Sciences","Female","N/A","chrome",1440,821,"Mac OS","2022-03-08T21:57:12.217Z","success","winter22",1,0,9.94838333333333
"9OEG6","SGC5A","11115","point-click","wi22sona","2217","43255","sona","asynch","FALSE","If we look at the x-axis, it says 12 pm. We just need to find the points that land above 12 pm for x-axis","I tried my best on each question",4,4,3,"N/A",18,"China","Mandarin","First","Social Sciences (incl. CogSci)","Male","No","chrome",1920,929,"Windows 10","2022-03-08T01:36:09.715Z","success","winter22",1,0,6.85385
"0AXM8","SGC5A","11115","point-click","wi22sona","2217","32830","sona","asynch","FALSE","the x-axis provides the start time ","I tried my best on most questions",5,2,2,"",21,"United States","English","Third","Biomedical & Health Sciences","Female","","chrome",1600,761,"Windows 10","2022-03-08T04:47:32.685Z","success","winter22",1,0,13.1043333333333
"1JPFK","SGC5A","11115","point-click","wi22sona","2217","38651","sona","asynch","FALSE","I go across the bottom axis that has all the start and end times and look for the 12pm tick mark. Then I follow the line that goes to the right of  the 12pm tick mark and see of there are any dots. If there is a dot on the line then that event starts at 12pm.","I tried my best on each question",3,2,4,"N/A",20,"United States of America","English","Third","Social Sciences (incl. CogSci)","Other-Not Listed","N/A","chrome",1280,720,"Windows 10","2022-03-08T22:27:14.408Z","success","winter22",1,0,11.4479
"WEFE3","SGC5A","11115","point-click","wi22sona","2217","43223","sona","asynch","FALSE","the dot starts on 12","I tried my best on most questions",3,2,1,"make graph bigger to see points",19,"America","English","First","Social Sciences (incl. CogSci)","Female","No","chrome",1295,734,"Mac OS","2022-03-08T06:35:23.151Z","success","winter22",1,0,10.54565
"MXPYU","SGC5A","11115","point-click","wi22sona","2217","40257","sona","asynch","FALSE","You look at what time it starts at first then you have to add on the duration of the shift on to that so you can figure out when the shift ends as well as the midway point of the shift","I tried my best on each question",4,2,3,"",20,"United States","English","Second","Biomedical & Health Sciences","Male","","chrome",1920,851,"Mac OS","2022-03-08T22:09:18.467Z","success","winter22",1,0,11.2761666666667
"520AG","SGC5A","11115","point-click","wi22sona","2217","29699","sona","asynch","FALSE","The X axis indicates what time events start and end. Moving vertically up from the 12pm mark, events B and F are found to start at 12pm.","I tried my best on each question",3,4,3,"",21,"USA","Mandarin","Fourth","Social Sciences (incl. CogSci)","Female","","chrome",1536,881,"Windows 10","2022-03-09T00:27:03.532Z","success","winter22",1,0,24.6500666666667
"QAU26","SGC5A","11115","point-click","wi22sona","2217","41933","sona","asynch","FALSE","the line will be on the left side of the letter, so M and L start at 12","I tried my best on most questions",3,4,2,"I dont think i did good at first but it started to make sense later",21,"United States","English","Third","Social Sciences (incl. CogSci)","Male","none","chrome",1920,969,"Windows 10","2022-03-07T21:22:41.334Z","success","winter22",1,0,9.65421666666667
"XNRRS","SGC5A","11115","point-click","wi22sona","2217","32055","sona","asynch","FALSE","Find 12pm on the X axis and see which points align.","I tried my best on each question",4,4,2,"The grid lines did not correlate with the actual end time of the shifts. It would be thought that we just follow the diagonal straight down to find the time but it wasn't even accurate, making this harder than it should've been.",21,"US","English","Third","Social Sciences (incl. CogSci)","Other-Not Listed","","chrome",1920,937,"Windows 10","2022-03-09T06:08:08.583Z","success","winter22",1,0,9.58261666666667
"NU6LU","SGC5A","11115","point-click","wi22sona","2217","41860","sona","asynch","FALSE","Go to the x-axis and find the 12PM tick and go up from there and see what data points are over that tick","I tried my best on most questions",4,3,4,"",21,"United States","Korean","Third","Humanities","Male","None","chrome",1440,743,"Mac OS","2022-03-07T21:38:41.479Z","success","winter22",1,0,8.4035
"Z39WH","SGC5A","11115","point-click","wi22sona","2217","28217","sona","asynch","FALSE","To determine what events start at 12pm, you look at the X axis (Start and End Time (time of day)) and you find ""12pm"" and see which points are above ""12pm"".","I tried my best on each question",4,3,5,"NA",22,"USA","English","Third","Biomedical & Health Sciences","Female","No","chrome",1406,740,"Mac OS","2022-03-07T23:21:48.337Z","success","winter22",1,0,12.2818333333333
"CNMNJ","SGC5A","11115","point-click","wi22sona","2217","37105","sona","asynch","FALSE","Shifts above the 12pm section start at 12.
Shifts with a break starting at 12pm will have their start time plus half their shift time equate to 12 pm.","I tried my best on most questions",1,4,2,"",20,"USA","English","Second","Engineering","Male","","chrome",1536,714,"Windows 10","2022-03-08T00:46:21.703Z","success","winter22",1,0,9.33348333333333
"6Q1UC","SGC5A","11115","point-click","wi22sona","2217","36989","sona","asynch","FALSE","Bottom of the graph shows when the shifts start (and end, so the points that align with 12pm start at that time.","I tried my best on each question",3,4,4,"The graph was cool to look at!",20,"United States","English","Second","Social Sciences (incl. CogSci)","Female","n/a","chrome",1440,723,"Mac OS","2022-03-07T22:15:23.144Z","success","winter22",1,0,11.2317
"PTMPD","SGC5A","11115","point-click","wi22sona","2217","41278","sona","asynch","FALSE","i look at the X axis and see what points are plotted at 12PM","I tried my best on each question",3,3,4,"nothing!",18,"USA","Spanish","First","Social Sciences (incl. CogSci)","Female","Nope!","chrome",1440,821,"Mac OS","2022-03-08T03:06:50.887Z","success","winter22",1,0,12.36375
"MCJ0W","SGC5A","11115","point-click","wi22sona","2217","40345","sona","asynch","FALSE","Look at the tick mark on the x-axis for 12PM, and follow the line upward. Any dots along that line correspond to events that start at 12PM.","I tried my best on each question",4,3,3,"Nothing",21,"United States","English","Third","Social Sciences (incl. CogSci)","Female","No","chrome",1504,860,"Windows 10","2022-03-08T09:12:40.389Z","success","winter22",1,0,14.14525
"2ZH12","SGC5A","11115","point-click","wi22sona","2217","43264","sona","asynch","FALSE","The x-axis is labeled as the start and end time of a shift, so all points in the 12pm column are shifts that begin then.","I tried my best on most questions",3,3,4,"",18,"United States","Spanish","First","Biomedical & Health Sciences","Female","","chrome",1475,757,"Windows 10","2022-03-09T05:06:12.733Z","success","winter22",1,0,14.9749833333333
