"subject","session","term","condition","ts_n","tt_n","triangular_score","os_n","ot_n","orthogonal_score","explicit","impasse","axis","triangular_time","totalTime","ts_t","tt_t","attn_check","native_language","year","major","country","sex","age"
"Z461O","a16608791","fall21","111",0,2,2,4,8,12,"1","1","Orthogonal-XInside-YFull",555948,656702,105835,450113,1,"English","Fourth","Social Sciences (incl. CogSci)","United States","Female",21
"FDRWD","a16675361","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",806566,922505,276111,530455,1,"English","Second","Biomedical & Health Sciences","United States","Male",19
"XO4JG","a16924586","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",269619,337201,80621,188998,1,"Mandarin or Cantonese","First","Social Sciences (incl. CogSci)","CHINA","Male",18
"776UX","a15987011","fall21","111",0,1,1,5,5,10,"1","1","Orthogonal-XInside-YFull",1566717,1644082,434819,1131898,1,"English","Third","Biomedical & Health Sciences","United states","Female",20
"98R7E","a16148682","fall21","111",5,8,13,0,1,1,"1","1","Orthogonal-XInside-YFull",469217,769016,106025,363192,1,"Spanish","Third","Biomedical & Health Sciences","United States of America","Female",20
"F4XPD","a16138265","fall21","111",0,2,2,4,10,14,"1","1","Orthogonal-XInside-YFull",475545,567606,158776,316769,1,"English","Third","Social Sciences (incl. CogSci)","United States","Male",20
"77SKE","a16329216","fall21","111",2,2,4,1,6,7,"1","1","Orthogonal-XInside-YFull",572306,711405,270031,302275,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",20
"431GR","a16797648","fall21","111",4,9,13,0,2,2,"1","1","Orthogonal-XInside-YFull",426518,557465,130618,295900,1,"English","First","Social Sciences (incl. CogSci)","United States","Female",18
"TD0NU","a15428815","fall21","111",0,2,2,4,9,13,"1","1","Orthogonal-XInside-YFull",452568,584711,163825,288743,1,"English","Fourth","Social Sciences (incl. CogSci)","United States","Female",21
"WYZCU","a09436222","fall21","111",1,3,4,2,8,10,"1","1","Orthogonal-XInside-YFull",383985,481224,66693,317292,1,"Other","Fourth","Social Sciences (incl. CogSci)","United States","Male",31
"STJP3","a15530049","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",459046,554606,202355,256691,1,"English","Fourth","Biomedical & Health Sciences","USA","Male",21
"S8NY4","a16553672","fall21","111",1,2,3,3,6,9,"1","1","Orthogonal-XInside-YFull",526429,653732,140639,385790,1,"Other","Fourth","Social Sciences (incl. CogSci)","China","Male",22
"K7HM9","a16906699","fall21","111",5,10,15,0,2,2,"1","1","Orthogonal-XInside-YFull",872200,2040169,200344,671856,1,"English","First","Math or Computer Sciences","United States","Male",18
"YUWCZ","a16578015","fall21","111",4,7,11,0,1,1,"1","1","Orthogonal-XInside-YFull",733542,834031,213597,519945,1,"Spanish","Fourth","Social Sciences (incl. CogSci)","United States","Female",22
"LPY8N","a16194024","fall21","111",0,2,2,5,9,14,"1","1","Orthogonal-XInside-YFull",492461,624600,213030,279431,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"KNH2B","a16683922","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",574927,930712,166706,408221,1,"English","Second","Social Sciences (incl. CogSci)","United States","Female",19
"GB4TH","a15454598","fall21","111",1,5,6,2,3,5,"1","1","Orthogonal-XInside-YFull",347867,438398,157873,189994,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Female",21
"UN6MT","a17174133","fall21","111",0,2,2,5,9,14,"1","1","Orthogonal-XInside-YFull",542328,644217,176105,366223,1,"English","Third","Social Sciences (incl. CogSci)","United States of America","Male",21
"WWMDF","a17213518","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",555816,838353,210305,345511,1,"English","Third","Social Sciences (incl. CogSci)","\nUnited States","Male",25
"PQA54","a15558540","fall21","111",0,2,2,3,10,13,"1","1","Orthogonal-XInside-YFull",707172,927830,340072,367100,1,"Spanish","Fourth","Social Sciences (incl. CogSci)","United States","Female",21
"SG6TQ","w17156565","fall21","111",1,3,4,2,5,7,"1","1","Orthogonal-XInside-YFull",530923,608728,178809,352114,1,"Other","Third","Social Sciences (incl. CogSci)","Vietnam","Male",21
"L6X0K","a16900930","fall21","111",0,4,4,2,4,6,"1","1","Orthogonal-XInside-YFull",615553,684091,131858,483695,1,"Spanish","First","Fine Arts","United States","Female",18
"9S5Z0","a16528837","fall21","111",0,2,2,5,8,13,"1","1","Orthogonal-XInside-YFull",1115078,1404111,191912,923166,1,"Other","Fourth","Social Sciences (incl. CogSci)","USA","Male",23
"EA6YH","a17147364","fall21","111",0,2,2,3,6,9,"1","1","Orthogonal-XInside-YFull",674544,861525,175422,499122,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"8BB1M","a16950015","fall21","111",0,2,2,4,8,12,"1","1","Orthogonal-XInside-YFull",591960,712487,183925,408035,1,"English","First","Humanities","USA","Female",18
"OHLRP","a17203114","fall21","111",0,1,1,0,1,1,"1","1","Orthogonal-XInside-YFull",348764,490022,70313,278451,1,"English","Third","Social Sciences (incl. CogSci)","us","Female",24
"XCK4Q","a15497274","fall21","111",1,2,3,3,6,9,"1","1","Orthogonal-XInside-YFull",420535,515393,137153,283382,1,"English","Fourth","Humanities","US","Female",21
"K5PDZ","a15897677","fall21","111",5,9,14,0,1,1,"1","1","Orthogonal-XInside-YFull",400067,507339,98544,301523,1,"English","Third","Social Sciences (incl. CogSci)","United States","Other",20
"QLO9H","a14821119","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",463588,594055,216835,246753,1,"Other","Fifth","Humanities","thailand","Female",22
"5TXOT","a14821119","fall21","111",0,2,2,4,10,14,"1","1","Orthogonal-XInside-YFull",209881,269796,46638,163243,1,"Other","Fifth","Social Sciences (incl. CogSci)","Thailand\nThailand","Female",22
"BK0TH","a16324253","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",489682,618472,171708,317974,1,"Mandarin or Cantonese","Second","Math or Computer Sciences","China","Male",20
"E6KMK","a16074760","fall21","111",0,2,2,2,8,10,"1","1","Orthogonal-XInside-YFull",1107260,1558678,257520,849740,1,"Spanish","Fifth","Biomedical & Health Sciences","Mexico","Female",25
"EZ7J5","a16109769","fall21","111",1,7,8,2,4,6,"1","1","Orthogonal-XInside-YFull",458399,584089,74123,384276,1,"English","Fifth","Social Sciences (incl. CogSci)","United States","Male",25
"LAZ3T","a16885269","fall21","111",5,10,15,0,2,2,"1","1","Orthogonal-XInside-YFull",623603,736443,137699,485904,1,"Other","First","Biomedical & Health Sciences","USA","Female",18
"0F1A8","a15404283","fall21","111",0,2,2,4,8,12,"1","1","Orthogonal-XInside-YFull",671639,814827,316085,355554,1,"Other","Fourth","Social Sciences (incl. CogSci)","Iraq","Female",21
"M9WY5","a15767120","fall21","111",0,2,2,4,10,14,"1","1","Orthogonal-XInside-YFull",901143,991579,250902,650241,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"802RA","a16924586","fall21","111",0,2,2,5,8,13,"1","1","Orthogonal-XInside-YFull",353581,408664,155865,197716,1,"Mandarin or Cantonese","First","Social Sciences (incl. CogSci)","China","Male",18
"N5NRY","a15526867","fall21","111",3,9,12,2,2,4,"1","1","Orthogonal-XInside-YFull",567178,679475,175221,391957,1,"English","Fourth","Social Sciences (incl. CogSci)","United States ","Female",21
"DGJQ3","a1770579","fall21","111",2,2,4,0,2,2,"1","1","Orthogonal-XInside-YFull",211818,288953,68275,143543,1,"English","Fourth","Social Sciences (incl. CogSci)","United States\nUnited States","Female",21
"VRHYF","a16664786","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",271196,322002,112346,158850,1,"English","Second","Social Sciences (incl. CogSci)","United States of America","Male",19
"PFFEV","a16145321","fall21","111",0,2,2,4,9,13,"1","1","Orthogonal-XInside-YFull",858775,1037756,318717,540058,1,"Other","Third","Social Sciences (incl. CogSci)","France","Female",19
"YK2A6","15862635","fall21","111",0,2,2,4,8,12,"1","1","Orthogonal-XInside-YFull",271660,356059,96086,175574,1,"English","Third","Social Sciences (incl. CogSci)","usa\n","Female",20
"NTSOK","a16900930","fall21","111",1,2,3,1,4,5,"1","1","Orthogonal-XInside-YFull",1716500,2153231,444645,1271855,1,"Spanish","First","Fine Arts","United States","Female",18
"XV7KZ","a15826500","fall21","111",0,2,2,5,8,13,"1","1","Orthogonal-XInside-YFull",443898,513007,169461,274437,1,"English","Third","Natural Sciences","United States of America","Female",20
"77W0T","a15585339","fall21","111",0,2,2,5,9,14,"1","1","Orthogonal-XInside-YFull",985027,1076925,480011,505016,1,"English","Fourth","Biomedical & Health Sciences","USA","Male",21
"XG38D","a15865479","fall21","111",0,1,1,5,6,11,"1","1","Orthogonal-XInside-YFull",522095,641445,192487,329608,1,"English","Third","Social Sciences (incl. CogSci)","United States","Female",20
"694WT","a15853813","fall21","111",0,2,2,3,8,11,"1","1","Orthogonal-XInside-YFull",1672371,1769805,747312,925059,1,"Mandarin or Cantonese","Third","Social Sciences (incl. CogSci)","Taiwan ","Female",20
"8V8HJ","a16229507","fall21","111",0,2,2,3,8,11,"1","1","Orthogonal-XInside-YFull",571669,688446,207808,363861,1,"Spanish","Second","Social Sciences (incl. CogSci)","U.S.A","Female",19
"OFOB1","17012262","fall21","111",0,6,6,2,3,5,"1","1","Orthogonal-XInside-YFull",593093,749430,216832,376261,1,"English","First","Social Sciences (incl. CogSci)","USA","Female",18
"SV1K5","a17170924","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",479777,560573,139773,340004,1,"English","Third","Social Sciences (incl. CogSci)","United States","Male",21
"QADB9","a17091192","fall21","111",0,2,2,3,9,12,"1","1","Orthogonal-XInside-YFull",810123,1167070,369782,440341,1,"Other","First","Humanities","Philippines","Female",18
"7BV0L","a15513832","fall21","111",0,2,2,5,8,13,"1","1","Orthogonal-XInside-YFull",633899,755583,205502,428397,1,"English","Fourth","Social Sciences (incl. CogSci)","USA","Male",21
"WB4HC","a16847802","fall21","111",0,2,2,5,8,13,"1","1","Orthogonal-XInside-YFull",1111365,1253084,304592,806773,1,"Mandarin or Cantonese","First","Math or Computer Sciences","United States","Male",18
"DMUWM","a6125989","fall21","111",0,1,1,2,5,7,"1","1","Orthogonal-XInside-YFull",740622,1227960,95197,645425,1,"Mandarin or Cantonese","Fourth","Social Sciences (incl. CogSci)","China","Female",24
"TE76G","a15449379","fall21","111",0,2,2,4,10,14,"1","1","Orthogonal-XInside-YFull",542054,623277,227653,314401,1,"English","Fourth","Humanities","United States of America","Male",21
"ZL796","a16333285","fall21","111",0,2,2,4,9,13,"1","1","Orthogonal-XInside-YFull",580882,692483,209374,371508,1,"English","Second","Social Sciences (incl. CogSci)","USA","Female",19
"LNVKO","a16143137","fall21","111",5,10,15,0,2,2,"1","1","Orthogonal-XInside-YFull",353296,511343,81166,272130,1,"English","Third","Social Sciences (incl. CogSci)","USA","Male",20
"U820R","a15867428","fall21","111",0,2,2,4,9,13,"1","1","Orthogonal-XInside-YFull",711379,833991,318990,392389,1,"English","Third","Social Sciences (incl. CogSci)","USA","Female",20
"ZZNSP","a16686690","fall21","111",0,2,2,5,10,15,"1","1","Orthogonal-XInside-YFull",816182,1134603,167588,648594,1,"English","Fourth","Humanities","US","Male",25
"KEMWH","a16122200","fall21","111",1,2,3,4,7,11,"1","1","Orthogonal-XInside-YFull",398805,493852,143779,255026,1,"Other","Third","Social Sciences (incl. CogSci)","Iran","Female",20
"2CZP7","a16681470","fall21","111",0,2,2,4,7,11,"1","1","Orthogonal-XInside-YFull",1065157,1144775,270885,794272,1,"English","Second","Social Sciences (incl. CogSci)","Untied States of America","Female",19
"F86ZM","a16348868","fall21","111",0,2,2,0,9,9,"1","1","Orthogonal-XInside-YFull",598723,739556,356432,242291,1,"Mandarin or Cantonese","Second","Social Sciences (incl. CogSci)","China","Female",19
"G0O8S","a15049392","fall21","111",4,7,11,0,1,1,"1","1","Orthogonal-XInside-YFull",772255,891954,291051,481204,1,"Spanish","Fourth","Social Sciences (incl. CogSci)","US","Female",22
"XOZJ7","a17243733","fall21","111",0,3,3,2,4,6,"1","1","Orthogonal-XInside-YFull",353928,462176,140178,213750,1,"Other","Fifth","Social Sciences (incl. CogSci)","Morocco","Female",22
"GY85V","a15461338","fall21","111",0,2,2,3,10,13,"1","1","Orthogonal-XInside-YFull",721448,835081,419139,302309,1,"English","Fourth","Biomedical & Health Sciences","US","Male",21
